变量名,huodongID,numText,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,icon,iconSpecial,frameType,type,times,position,frontWay,preID,duration,cd,cost,target1,params1,target2,params2,target3,params3,spTarget,spParams,extraAward,extraTime,award
19,101056,19,生命之源,生命之源,Source of Life,Nguồn sống,생명의 근원,A fonte da vida,แหล่งที่มาของชีวิต,小智一行不停的赶路口渴至极，终于看见路边有郁葱的植物了，就用它们获取一些生命之源吧,小智一行不停的趕路口渴至極，終於看見路邊有郁蔥的植物了，就用它們獲取一些生命之源吧,Ash and his party were extremely thirsty after traveling nonstop. They finally saw lush plants on the roadside and decided to use them to get some source of life.,"Ash và nhóm bạn đi đường không ngừng và khát khô cả họng. Cuối cùng, họ cũng thấy những cây cối xanh tươi ven đường và quyết định dùng chúng để lấy một ít nguồn sống.","지우 일행은 쉬지 않고 길을 가다 목이 말라 죽을 지경이었다. 마침내 길가에 무성한 식물을 보고, 그것들을 이용해 생명의 원천을 얻기로 했다.","Ash e seus companheiros estavam com muita sede depois de viajar tanto tempo. Finalmente, eles viram algumas plantas exuberantes na beira da estrada. Eles as usaram para obter alguma fonte de vida.",แอชและเพื่อนของเขากระหายน้ำมากหลังจากเดินทางตลอดเวลา ในที่สุดพวกเขาก็เห็นต้นไม้เขียวชอุ่มริมถนน พวกเขาใช้ต้นไม้เหล่านี้เพื่อหาแหล่งกำเนิดชีวิต,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=4630;y=652},<<4480;320>;<4512;426>;<4514;480>;<4534;534>;<4538;570>;<4580;608>;<4630;652>>,18,360,,{8118=10},2,<4;3>,9,<35;1>,,,,,,,{gold=300000;2416=1}
20,101056,20,岔路Ⅰ,岔路Ⅰ,Fork in the Road I,Ngã rẽ I,갈림길 I,Bifurcação na estrada I,ทางแยกที่ 1,初入大漠，就碰上了岔路，小路细窄，但隐约可见风光不错，小智打算派一个探险小分队查看,初入大漠，就碰上了岔路，小路細窄，但隱約可見風光不錯，小智打算派一個探險小分隊查看,"Upon entering the desert, they encountered a fork in the road. The path was narrow, but the scenery seemed nice. Ash decided to send a small exploration team to check it out.","Vừa vào sa mạc đã gặp ngã ba. Con đường nhỏ hẹp, nhưng phong cảnh có vẻ đẹp. Ash quyết định cử một đội thám hiểm nhỏ đi kiểm tra.","사막에 처음 들어서자마자 갈림길을 만났다. 샛길은 좁았지만, 풍경은 좋아 보였다. 지우는 탐사 소대를 보내 확인하기로 했다.","Quando entramos no deserto pela primeira vez, nos deparamos com uma bifurcação na estrada. O caminho era estreito, mas podíamos ver vagamente algumas belas paisagens. Ash planejou enviar uma equipe de expedição para verificar.",เมื่อเราเข้าไปในทะเลทรายครั้งแรก เราก็มาถึงทางแยก เส้นทางค่อนข้างแคบแต่เราสามารถมองเห็นทิวทัศน์ที่สวยงามได้เล็กน้อย แอชวางแผนจะส่งคณะสำรวจไปสำรวจ,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=4920;y=740},<<4630;652>;<4770;696>;<4920;740>>,19,720,,{8118=20},3,<91>,1,<4>,7,<50;1>,9,<80;1>,{502=2},,{gold=300000;529=1000}
21,101056,21,灭火,滅火,Fire Extinguishing,Dập lửa,불 끄기,Extinção,การดับเพลิง,烈日灼晒大地，竟然使路边的一颗枯树着起火来，浓烈的黑烟和热气挡住了路，需要即刻灭火,烈日灼曬大地，竟然使路邊的一顆枯樹著起火來，濃烈的黑煙和熱氣擋住了路，需要即刻滅火,"The scorching sun baked the earth, causing a dead tree by the roadside to catch fire. Thick black smoke and heat blocked the road, and it needed to be extinguished immediately.","Mặt trời thiêu đốt mặt đất, khiến một cây khô ven đường bốc cháy. Khói đen và hơi nóng dày đặc chặn đường, cần phải dập lửa ngay lập tức.","작열하는 태양이 대지를 달구어, 길가의 마른 나무에 불이 붙었다. 짙은 검은 연기와 열기가 길을 막고 있어 즉시 불을 꺼야 한다.","O sol escaldante queimou a terra, e até fez uma árvore morta na beira da estrada pegar fogo. A fumaça preta e espessa e o calor bloquearam a estrada, e o fogo precisou ser apagado imediatamente.",ดวงอาทิตย์แผดเผาพื้นดินและต้นไม้ที่ตายริมถนนก็ลุกไหม้ ควันดำหนาและความร้อนปิดกั้นถนน ต้องดับไฟทันที,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=5124;y=520},<<4920;740>;<5000;626>;<5050;558>;<5124;520>>,20,180,,{8118=5},3,<21>,1,<4>,,,,,,,{rmb=100;2241=1}
22,101056,22,寻找Ⅱ,尋找Ⅱ,Search II,Tìm kiếm II,찾기 II,Pesquisar Ⅱ,ค้นหา Ⅱ,道路的旁边是一座小山头，大漠的气候将它风化成独特的样子，这里是否住着新的精灵呢？,道路的旁邊是一座小山頭，大漠的氣候將它風化成獨特的樣子，這裏是否住著新的精靈呢？,"Next to the road is a small hill, weathered into a unique shape by the desert climate. Are there new Pokémon living here?","Bên cạnh con đường là một ngọn đồi nhỏ, bị khí hậu sa mạc bào mòn thành hình dạng độc đáo. Liệu có Pokémon mới nào sống ở đây không?","길 옆에는 작은 언덕이 있는데, 사막의 기후가 그것을 독특한 모양으로 풍화시켰다. 이곳에 새로운 포켓몬이 살고 있을까?",Há uma pequena colina ao lado da estrada. O clima desértico a desgastou em uma forma única. Há novos pokemons vivendo aqui?,มีเนินเขาเล็กๆ ข้างถนน ภูมิอากาศแบบทะเลทรายทำให้ถนนมีรูปร่างแปลกๆ มีโปเกมอนตัวใหม่อาศัยอยู่ที่นี่หรือเปล่า,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=5482;y=652},<<5124;520>;<5168;480>;<5236;472>;<5292;488>;<5362;554>;<5408;610>;<5482;652>>,21,360,,{8118=10},1,<4>,10,<3;2>,11,<2;15>,,,,,{gold=300000;20701=15}
23,101056,23,不可通行,不可通行,No Passage,Không thể qua,통행 불가,Intransitável,ไม่สามารถผ่านได้,这里明明是最快前往小镇的地方，但前方却没了道路，小智决定在兵分多路弄清地形,這裏明明是最快前往小鎮的地方，但前方卻沒了道路，小智決定在兵分多路弄清地形,"This is clearly the fastest way to the town, but the road ahead is gone. Ash decides to split up to figure out the terrain.","Đây rõ ràng là con đường nhanh nhất đến thị trấn, nhưng phía trước lại không có đường. Ash quyết định chia quân ra nhiều hướng để tìm hiểu địa hình.","여기가 마을로 가는 가장 빠른 길임이 분명한데, 앞에는 길이 없다. 지우는 지형을 파악하기 위해 여러 길로 나누어 가기로 했다.","Este é obviamente o caminho mais rápido para chegar à cidade, mas não há estrada à frente. Ash decidiu se dividir em vários grupos para descobrir o terreno.",แน่นอนว่านี่เป็นวิธีที่เร็วที่สุดในการไปยังเมือง แต่ไม่มีถนนข้างหน้า แอชตัดสินใจแยกย้ายกันเป็นหลายกลุ่มเพื่อสำรวจภูมิประเทศ,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=5554;y=916},<<5482;652>;<5468;716>;<5440;770>;<5464;842>;<5502;880>;<5554;916>>,22,720,,{8118=20},2,<9;1>,2,<10;1>,2,<11;1>,,,,,{gold=300000;5000=100}
24,101056,24,助人为乐,助人為樂,Helping Others,Giúp đỡ người khác,도움 주기,Ajudando os outros,การช่วยเหลือผู้อื่น,前面似乎能看到道路通向了小镇，在路的旁边，似乎有人在种绿植，小智决定加入帮忙,前面似乎能看到道路通向了小鎮，在路的旁邊，似乎有人在種綠植，小智決定加入幫忙,"It seems that the road ahead leads to the town. Next to the road, someone seems to be planting greenery. Ash decides to join in and help.","Phía trước dường như có thể thấy con đường dẫn đến thị trấn. Bên cạnh đường, có vẻ như có người đang trồng cây xanh. Ash quyết định tham gia giúp đỡ.",앞쪽으로 마을로 통하는 길이 보이는 것 같다. 길 옆에는 누군가 녹색 식물을 심고 있는 것 같다. 지우는 도와주기로 했다.,"Parece que há uma estrada que leva à cidade à frente. Ao lado da estrada, parece que alguém está plantando plantas verdes. Ash decide se juntar e ajudar.",ดูเหมือนว่าจะมีถนนที่นำไปสู่เมืองข้างหน้า ข้างถนนดูเหมือนว่าจะมีคนกำลังปลูกต้นไม้สีเขียวอยู่ แอชจึงตัดสินใจเข้าร่วมและช่วยเหลือ,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=5772;y=592},<<5554;916>;<5650;774>;<5696;608>;<5772;592>>,23,180,,{8118=5},4,<0;2;1>,10,<3;2>,,,,,,,{rmb=100;974=1}
25,101056,25,岔路Ⅱ,岔路Ⅱ,Fork in the Road II,Ngã rẽ II,갈림길 II,Encruzilhada Ⅱ,ทางแยกที่ 2,这是第2次在大漠发现岔路，根据上一次的经验，小智和精灵们可不想就这么错过“宝藏”,這是第2次在大漠發現岔路，根據上一次的經驗，小智和精靈們可不想就這麼錯過“寶藏”,"This is the second time they've found a fork in the road in the desert. Based on their last experience, Ash and his Pokémon don't want to miss the ""treasure"".","Đây là lần thứ hai họ tìm thấy ngã ba đường trong sa mạc. Dựa trên kinh nghiệm lần trước, Ash và các Pokémon không muốn bỏ lỡ ""kho báu"".","이것은 사막에서 두 번째로 발견한 갈림길이다. 지난번 경험에 비추어 볼 때, 지우와 포켓몬들은 ""보물""을 놓치고 싶지 않았다.","Esta é a segunda vez que eles encontram uma bifurcação na estrada no deserto. Baseado na experiência da última vez, Ash e os pokemons não querem perder o ""tesouro"" assim de repente.",นี่เป็นครั้งที่สองที่พวกเขาพบทางแยกในทะเลทราย จากประสบการณ์ในครั้งที่แล้ว แอชและเหล่าโปเกม่อนไม่อยากพลาด "สมบัติ" แบบนั้น,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=5958;y=748},<<5772;592>;<5814;638>;<5852;676>;<5958;748>>,24,720,,{8118=20},1,<4>,2,<8;1>,2,<10;2>,5,<1.5;1>,{501=1},,{gold=300000;4000=500}
26,101056,26,问路Ⅰ,問路Ⅰ,Ask for Directions I,Hỏi đường I,길 묻기 I,Pedindo direções Ⅰ,การถามเส้นทาง Ⅰ,在路边不远处有一栋矮房子，像是有人居住，小智打算带几个精灵前往问路,在路邊不遠處有一棟矮房子，像是有人居住，小智打算帶幾個精靈前往問路,"Not far from the road, there is a low house that seems to be inhabited. Ash plans to take a few Pokémon to ask for directions.","Cách đường không xa có một ngôi nhà thấp, có vẻ như có người ở. Ash dự định dẫn theo vài Pokémon đến hỏi đường.","길가에서 멀지 않은 곳에 낮은 집 한 채가 있는데, 사람이 사는 것 같다. 지우는 포켓몬 몇 마리를 데리고 길을 물어보기로 했다.","Há uma casa baixa não muito longe da estrada, que parece ser habitada. Ash planeja levar alguns Pokémons para pedir informações.",มีบ้านเตี้ยๆ หลังหนึ่งอยู่ไม่ไกลจากถนน ซึ่งดูเหมือนว่าจะมีคนอาศัยอยู่ แอชวางแผนจะพาโปเกมอนไปสักสองสามตัวเพื่อถามทาง,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=6318;y=664},<<5958;748>;<6112;672>;<6166;662>;<6226;654>;<6318;664>>,25,180,,{8118=5},6,<2;2>,10,<2;2>,,,,,,,{gold=300000;2152=1}
27,101056,27,问路Ⅱ,問路Ⅱ,Ask for Directions II,Hỏi đường II,길 묻기 II,Pedindo direções Ⅱ,การถามเส้นทาง Ⅱ,按住民的指示，小智一行很快找到了不远处的小镇，夜色已晚，小智打算快速找到住宿的地方,按住民的指示，小智一行很快找到了不遠處的小鎮，夜色已晚，小智打算快速找到住宿的地方,"Following the resident's directions, Ash and his party soon found the nearby town. It was getting late, and Ash planned to quickly find a place to stay.","Theo chỉ dẫn của người dân, Ash và nhóm bạn đã nhanh chóng tìm thấy thị trấn gần đó. Trời đã tối, và Ash dự định nhanh chóng tìm một nơi để ở.","주민의 지시에 따라, 지우 일행은 금방 근처의 마을을 찾았다. 밤이 깊어, 지우는 빨리 숙소를 찾기로 했다.","Seguindo as instruções do povo, Ash e seu grupo rapidamente encontraram uma pequena cidade não muito longe. Era tarde da noite, e Ash planejou encontrar um lugar para ficar rapidamente.",ตามคำสั่งของผู้คน แอชและกลุ่มของเขาจึงพบเมืองเล็กๆ แห่งหนึ่งที่อยู่ไม่ไกลอย่างรวดเร็ว ตอนนั้นเป็นเวลาดึกมากแล้ว และแอชจึงวางแผนจะหาที่พักโดยเร็ว,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=6180;y=1040},<<6318;664>;<6328;728>;<6266;880>;<6180;1040>>,26,360,,{8118=10},2,<1;1>,4,<0;2;2>,9,<45;1>,,,,,{rmb=100;20701=15}
28,101056,28,岔路Ⅲ,岔路Ⅲ,Fork in the Road III,Ngã rẽ III,갈림길 III,Encruzilhada III,ทางแยกที่ 3,又又又一条岔路！只是这次岔路看起来延伸至到很远的地方，这路上可需万分小心,又又又一條岔路！只是這次岔路看起來延伸至到很遠的地方，這路上可需萬分小心,"Another, and another fork in the road! But this time the fork seems to stretch far into the distance. They need to be extremely careful on this road.",Lại một ngã ba đường nữa! Nhưng lần này ngã ba có vẻ kéo dài rất xa. Họ cần phải hết sức cẩn thận trên con đường này.,"또, 또, 또 갈림길이다! 하지만 이번 갈림길은 아주 멀리까지 뻗어 있는 것 같다. 이 길에서는 매우 조심해야 한다.","Outra bifurcação na estrada! Desta vez, parece se estender para muito longe. Você precisa ter muito cuidado nesta estrada.",ทางแยกอีกแล้ว คราวนี้ดูเหมือนจะขยายออกไปไกลทีเดียว ต้องระวังให้มาก,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=6462;y=1008},<<6180;1040>;<6322;1014>;<6462;1008>>,27,480,,{8118=20},3,<91>,2,<5;2>,9,<65;1>,1,<4>,{521=1},,{gold=300000;604=10}
29,101056,29,整装待发,整裝待發,Ready to Go,Chuẩn bị lên đường,출발 준비,Tudo pronto para ir,พร้อมออกเดินทางแล้ว,炎热的天气下，多次行进让许多精灵感到疲惫，或许可以自制一些冰制食物可以缓解暑气？,炎熱的天氣下，多次行進讓許多精靈感到疲憊，或許可以自制一些冰制食物可以緩解暑氣？,"Under the hot weather, traveling multiple times has made many Pokémon tired. Perhaps making some iced food can relieve the heat?","Dưới thời tiết nóng nực, việc di chuyển nhiều lần đã khiến nhiều Pokémon cảm thấy mệt mỏi. Có lẽ làm một ít đồ ăn lạnh có thể giúp giải nhiệt?",더운 날씨에 여러 번 이동하느라 많은 포켓몬들이 지쳤다. 아마도 얼음으로 만든 음식을 만들어 먹으면 더위를 식힐 수 있을까?,"Em clima quente, muitos pokemons se sentem cansados após várias marchas. Talvez fazer um pouco de comida gelada caseira possa ajudar a aliviar o calor?",ในสภาพอากาศร้อน โปเกม่อนหลายตัวมักจะรู้สึกเหนื่อยหลังจากเดินทัพมาหลายครั้ง บางทีการทำอาหารเย็นเองอาจช่วยคลายความร้อนได้บ้าง,activity/dispatch/51send_zx1.png,,activity/dispatch/box_51send.png,1,1,{x=6980;y=980},<<6462;1008>;<6634;996>;<6834;976>;<6980;980>>,28,360,,{8118=10},10,<3;1>,2,<3;1>,2,<6;1>,,,,,{gold=300000;529=2000}
30,101056,30,阳光沙滩,陽光沙灘,Sunny Beach,Bãi biển nắng,햇살 가득 해변,Praia ensolarada,ชายหาดซันนี่,路的尽头是一望无际的大海，景色可真是别有天地。小智一行便打算于此小驻，开启度假时光！,路的盡頭是一望無際的大海，景色可真是別有天地。小智一行便打算於此小駐，開啟度假時光！,"At the end of the road is a boundless sea, the scenery is truly something else. Ash and his party decide to stay here for a while and start their vacation!","Cuối con đường là một vùng biển bao la, phong cảnh thật sự khác biệt. Ash và nhóm bạn quyết định dừng chân tại đây một thời gian và bắt đầu kỳ nghỉ của mình!",길의 끝에는 끝없이 펼쳐진 바다가 있어 경치가 정말 색다르다. 지우 일행은 이곳에 잠시 머물며 휴가를 보내기로 했다!,"No fim da estrada está o mar sem fim, o cenário é realmente diferente. Ash e seu grupo planejam ficar aqui por um tempo e começar suas férias!",สุดถนนมีทะเลทอดยาวสุดสายตา ทิวทัศน์ที่นี่ช่างแตกต่างจริงๆ แอชและเพื่อนๆ วางแผนจะพักที่นี่สักพักเพื่อเริ่มต้นวันหยุด!,common/icon/icon_box1.png,,activity/dispatch/box1_51send.png,3,1,{x=7252;y=650},<<6980;980>;<7144;974>;<7264;898>;<7304;796>;<7252;650>>,29,0,,{8118=20},,,,,,,,,,,{rmb=100;521=6}
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101056,2~1,寻找Ⅰ,尋找Ⅰ,Search I,Tìm kiếm I,찾기 I,Pesquisa I,ค้นหาฉัน,小智和精灵们意外发现了一片生意盎然的丛林，训练家的直觉告诉他这里可能会有新精灵,小智和精靈們意外發現了一片生意盎然的叢林，訓練家的直覺告訴他這裏可能會有新精靈,Ash and his Pokémon accidentally discovered a vibrant jungle. The trainer's intuition told him there might be new Pokémon here.,Ash và các Pokémon tình cờ phát hiện ra một khu rừng rậm rạp đầy sức sống. Linh cảm của một nhà huấn luyện mách bảo cậu rằng có thể có Pokémon mới ở đây.,지우와 포켓몬들은 우연히 생기가 넘치는 정글을 발견했다. 트레이너의 직감은 그에게 이곳에 새로운 포켓몬이 있을 것이라고 말해주었다.,Ash e os Pokémons acidentalmente descobriram uma selva cheia de vida. A intuição do treinador lhe disse que poderia haver novos Pokémons aqui.,แอชและเหล่าโปเกมอนค้นพบป่าที่เต็มไปด้วยสิ่งมีชีวิตโดยบังเอิญ สัญชาตญาณของเทรนเนอร์บอกเขาว่าอาจมีโปเกมอนตัวใหม่เกิดขึ้นที่นี่,activity/dispatch/icon_zxrw.png,,activity/dispatch/box2_51send.png,2,1,{x=1024;y=990},<<866;812>;<918;914>;<962;970>;<1024;990>>,2,30,,{8118=2},1,<4>,2,<2;1>,2,<5;1>,,,,,{coin1=800;503=1}
42,101056,4~1,春天的收获,春天的收獲,Spring Harvest,Thu hoạch mùa xuân,봄 수확,Colheita da primavera,การเก็บเกี่ยวในฤดูใบไม้ผลิ,小路的尽头是一片茂野的田地，远看结了不少野果，恰巧路边有农用器具，小智决定去采摘,小路的盡頭是一片茂野的田地，遠看結了不少野果，恰巧路邊有農用器具，小智決定去采摘,"At the end of the path is a vast field, with many wild fruits visible from afar. Coincidentally, there are farm tools by the roadside, and Ash decides to go picking.","Cuối con đường nhỏ là một cánh đồng rộng lớn, nhìn từ xa có thể thấy rất nhiều quả dại. Tình cờ, bên đường có dụng cụ nông nghiệp, và Ash quyết định đi hái.","좁은 길의 끝에는 넓은 밭이 있었고, 멀리서도 많은 야생 과일이 보였다. 마침 길가에 농기구가 있어, 지우는 따러 가기로 했다.","No final do caminho havia um campo verdejante com muitas frutas silvestres. Por acaso, havia ferramentas agrícolas na beira da estrada, então Ash decidiu colher algumas.",สุดทางเดินมีทุ่งหญ้าเขียวขจีเต็มไปด้วยผลไม้ป่ามากมาย พอดีมีเครื่องมือทำฟาร์มอยู่ข้างถนน แอชจึงตัดสินใจเก็บมาบ้าง,activity/dispatch/icon_zxrw.png,,activity/dispatch/box2_51send.png,2,1,{x=1632;y=474},<<1478;746>;<1582;690>;<1672;592>;<1672;528>;<1632;474>>,4,180,,{8118=5},9,<25;1>,10,<2;3>,,,,,,,{coin2=800;519=1}
43,101056,4~2,真香,真香,Delicious Aroma,Hương thơm thật tuyệt,진한 향기,Realmente delicioso,อร่อยจริงๆครับ,果然是一片弃用已久的田地，虽杂草疯长但也结了不少的果实，足够小智和精灵们饱餐一顿了,果然是一片棄用已久的田地，雖雜草瘋長但也結了不少的果實，足夠小智和精靈們飽餐一頓了,"It was indeed a long-abandoned field. Although overgrown with weeds, it bore many fruits, enough for Ash and his Pokémon to have a full meal.","Đúng là một cánh đồng đã bị bỏ hoang từ lâu. Mặc dù cỏ dại mọc um tùm nhưng cũng có rất nhiều quả, đủ để Ash và các Pokémon ăn no nê.","과연 오랫동안 버려진 밭이었다. 잡초가 무성했지만 과일도 많이 열려, 지우와 포켓몬들이 배불리 먹을 만큼 충분했다.","Era de fato um campo abandonado há muito tempo. Embora as ervas daninhas crescessem descontroladamente, ele também produzia muitas frutas, o suficiente para Ash e os pokemons terem uma boa refeição.",มันเป็นทุ่งร้างที่นานมาแล้ว ถึงแม้ว่าวัชพืชจะขึ้นอยู่ทั่วไป แต่ก็ยังให้ผลมากมายเพียงพอให้แอชและโปเกม่อนได้กินอาหารอร่อยๆ,common/icon/icon_box1.png,,activity/dispatch/box2_51send.png,3,1,{x=1322;y=386},<<1632;474>;<1486;432>;<1322;386>>,42,0,,{8118=10},,,,,,,,,,,{coin3=800;520=1}
44,101056,7~1,采摘,采摘,Picking,Hái lượm,채집,escolhendo,การหยิบ,树林的叶子呈针状且多，果实虽好但还需费力采摘，如果有精灵的帮忙那一定很快能吃上,樹林的葉子呈針狀且多，果實雖好但還需費力采摘，如果有精靈的幫忙那一定很快能吃上,"The leaves in the forest are needle-like and dense. Although the fruits are good, it takes effort to pick them. With the help of Pokémon, they could surely eat soon.","Lá trong rừng có hình kim và rất rậm rạp. Mặc dù quả ngon nhưng vẫn cần phải tốn công sức để hái. Nếu có sự giúp đỡ của Pokémon, chắc chắn sẽ được ăn sớm thôi.",숲의 나뭇잎은 바늘 모양이고 빽빽하다. 과일은 좋지만 따는 데 힘이 든다. 포켓몬의 도움이 있다면 금방 먹을 수 있을 텐데.,"As folhas na floresta são em forma de agulha e numerosas. Embora as frutas sejam boas, elas ainda exigem esforço para serem colhidas. Se os pokémons ajudarem, você poderá comê-las rapidamente.",ใบไม้ในป่าเป็นรูปเข็มและมีจำนวนมาก ถึงแม้ว่าผลไม้จะอร่อยแต่ก็ยังต้องใช้ความพยายามในการเก็บ หากโปเกม่อนช่วยได้ คุณจะสามารถกินมันได้อย่างรวดเร็ว,activity/dispatch/icon_zxrw.png,,activity/dispatch/box2_51send.png,2,1,{x=2204;y=656},<<2392;858>;<2314;750>;<2204;656>>,7,360,,{8118=5},6,<1;1>,9,<40;1>,10,<2;2>,,,,,{gold=200000;522=2}
45,101056,7~2,大快朵颐,大快朵頤,Feast,Tiệc tùng thỏa thích,풍성한 잔치,Coma com gosto,รับประทานอย่างเอร็ดอร่อย,虽然取果实花了不少气力，但是果实甘甜多汁，鲜香解渴，简直让小智和精灵们吃到停不下来,雖然取果實花了不少氣力，但是果實甘甜多汁，鮮香解渴，簡直讓小智和精靈們吃到停不下來,"Although it took a lot of effort to get the fruits, they were sweet, juicy, and quenched their thirst, making Ash and his Pokémon eat nonstop.","Mặc dù mất nhiều công sức để lấy được quả, nhưng chúng lại ngọt, mọng nước và giải khát, khiến Ash và các Pokémon ăn không ngừng.","과일을 따는 데 많은 힘이 들었지만, 과일은 달고 즙이 많아 갈증을 해소해 주어, 지우와 포켓몬들은 멈추지 않고 먹었다.","Embora tenha dado muito trabalho para conseguir a fruta, ela era doce e suculenta, fresca e matava a sede, e Ash e os pokémons não conseguiam parar de comê-la.",แม้จะต้องใช้ความพยายามมากในการเก็บผลไม้ แต่ผลไม้ก็หวานและฉุ่มฉ่ำ สดและดับกระหาย ทำให้แอชและโปเกม่อนไม่สามารถหยุดกินมันได้,common/icon/icon_box1.png,,activity/dispatch/box2_51send.png,3,1,{x=1888;y=708},<<2204;656>;<2150;654>;<2048;660>;<1982;672>;<1888;708>>,44,0,,{8118=20},,,,,,,,,,,{coin1=800;531=1}
46,101056,10~1,河底的宝藏,河底的寶藏,Treasure Under the River,Kho báu dưới sông,강 밑 보물,Tesouro no fundo do rio,สมบัติใต้ท้องน้ำ,精灵们在上流的河底发现了大量“宝藏”！但河水湍急，这就需要擅水的精灵们的帮助啦,精靈們在上流的河底發現了大量“寶藏”！但河水湍急，這就需要擅水的精靈們的幫助啦,"The Pokémon discovered a large amount of ""treasure"" at the bottom of the upstream river! But the river is turbulent, which requires the help of water-skilled Pokémon.","Các Pokémon đã phát hiện ra một lượng lớn ""kho báu"" ở đáy sông thượng nguồn! Nhưng dòng sông chảy xiết, điều này cần sự giúp đỡ của các Pokémon giỏi bơi lội.","포켓몬들은 상류 강바닥에서 대량의 ""보물""을 발견했다! 하지만 강물이 세차서, 물에 능숙한 포켓몬들의 도움이 필요하다.","Os pokemons encontraram muitos ""tesouros"" no fundo do rio rio acima! Mas o rio é turbulento, então precisamos da ajuda dos pokemons que são bons em água.",เหล่าโปเกม่อนพบ "สมบัติ" มากมายที่ก้นแม่น้ำตอนต้นน้ำ! แต่เนื่องจากแม่น้ำมีกระแสน้ำเชี่ยวกราก เราจึงจำเป็นต้องได้รับความช่วยเหลือจากโปเกม่อนที่เก่งเรื่องน้ำ,activity/dispatch/icon_zxrw.png,activity/dispatch/icon_51send_jqr.png,activity/dispatch/box1_51send.png,2,5,{x=2794;y=880},<<2620;520>;<2694;644>;<2750;756>;<2794;880>>,10,480,,{8118=10},3,<21>,7,<10;2>,11,<10>,9,<100;1>,,120,{coin2=800;503=1}
47,101056,14~1,山脚洞穴,山腳洞穴,Foot of the Mountain Cave,Hang chân núi,산기슭 동굴,Caverna do sopé,ถ้ำเชิงเขา,精灵在山脚处发现一个隐蔽的洞口，洞口很小，仿佛有隐隐光亮，该不会又是宝藏吧？,精靈在山腳處發現一個隱蔽的洞口，洞口很小，仿佛有隱隱光亮，該不會又是寶藏吧？,"A Pokémon found a hidden cave entrance at the foot of the mountain. The entrance is small, with a faint light coming from within. Could it be another treasure?","Một Pokémon đã tìm thấy một lối vào hang động ẩn ở chân núi. Lối vào rất nhỏ, dường như có ánh sáng yếu ớt phát ra từ bên trong. Không lẽ lại là kho báu?","한 포켓몬이 산기슭에서 숨겨진 동굴 입구를 발견했다. 입구는 작고, 안에서 희미한 빛이 나오는 것 같다. 설마 또 보물일까?",O pokémon encontrou uma caverna escondida no pé da montanha. A entrada era muito pequena e parecia haver uma luz tênue. Poderia ser outro tesouro?,โปเกม่อนพบถ้ำที่ซ่อนอยู่ที่เชิงเขา ทางเข้าค่อนข้างเล็กและดูเหมือนจะมีแสงสลัวๆ อาจเป็นสมบัติอีกชิ้นหรือเปล่านะ,activity/dispatch/icon_zxrw.png,activity/dispatch/icon_51send_aqm.png,activity/dispatch/box2_51send.png,2,5,{x=3600;y=340},<<3534;732>;<3634;638>;<3662;482>;<3600;340>>,14,600,,{8118=10},3,<11>,1,<4>,2,<2;2>,9,<100;1>,,120,{coin3=800;519=1}
48,101056,17~1,空中的宝藏,空中的寶藏,Treasure in the Air,Kho báu trên không,공중 보물,Tesouros no céu,สมบัติบนท้องฟ้า,飞属性的精灵告诉小智，从上面看仿佛画了一个路线图，他们随着路线，找到了一个大宝箱！,飛屬性的精靈告訴小智，從上面看仿佛畫了一個路線圖，他們隨著路線，找到了一個大寶箱！,"A Flying-type Pokémon told Ash that from above, it looked like a route map. They followed the route and found a large treasure chest!","Một Pokémon hệ Bay đã nói với Ash rằng từ trên cao, nó trông giống như một bản đồ lộ trình. Họ đã đi theo lộ trình và tìm thấy một chiếc rương báu lớn!",비행 타입 포켓몬이 지우에게 위에서 보니 마치 경로 지도처럼 보인다고 말했다. 그들은 경로를 따라가 큰 보물 상자를 찾았다!,"O Pokémon do tipo voador disse a Ash que parecia que um mapa de rotas tinha sido desenhado de cima, e eles seguiram a rota e encontraram um grande baú de tesouro!",โปเกมอนประเภทบินบอกกับแอชว่าดูเหมือนแผนที่เส้นทางจะถูกวาดขึ้นมาจากด้านบน และพวกมันก็เดินตามเส้นทางนั้นไปและพบหีบสมบัติขนาดใหญ่!,common/icon/icon_box1.png,,activity/dispatch/box_51send.png,3,1,{x=3952;y=510},<<4170;550>;<3952;510>>,17,0,,{8118=20},,,,,,,,,,,{gold=200000;520=1}
