变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,gateID,firstAward,repeatAward,challengeAward,killAward,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th
默认值,"""""","""""","""""","""""","""""","""""","""""",0,{},{},{},{},"""""","""""","""""","""""","""""","""""",""""""
公会副本ID,副本名称,副本名称,副本名称,副本名称,副本名称_韩,副本名称,副本名称,对应的关卡ID,首次通关奖励,重复通关奖励,挑战参与奖励,击杀奖励,特性介绍,特性介绍,特性介绍,特性介绍,特性介绍_韩,特性介绍_韩,特性介绍_韩
46,甲贺忍蛙(困难),甲賀忍蛙,Greninja,Ninja ếch Kagemasa (Khó),개굴닌자,Rã Kagemasa (Difícil),คาเงะมาสะนินจาคางคก (ยาก),1045,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},甲贺忍蛙似乎获得了更强的能力,甲賀忍蛙似乎獲得了更強的能力,Greninja seems to have gotten more powerful,Greninja dường như đã có được khả năng mạnh hơn.,개굴닌자가 더 강한 능력을 획득한 것 같다.,O Greninja parece ter obtido habilidades ainda mais fortes.,เกรนินจา ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งยิ่งขึ้น
47,电击魔兽(困难),電擊魔獸,Electivire,Raichu (Khó),에레키블,Raichu (Difícil),ไรชู (ยาก),1046,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},电击魔兽似乎获得了更强的能力,電擊魔獸似乎獲得了更強的能力,Electivire seems to have gotten more powerful,Raichu dường như đã có được khả năng mạnh hơn.,에레키블이 더 강한 능력을 획득한 것 같다.,Raichu parece ter ganhado habilidades mais fortes.,ราichu ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
48,耿鬼(困难),耿鬼,Gengar,耿鬼 (Khó khăn),팬텀,Gengar (Difícil),耿鬼 (ยาก),1047,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},耿鬼似乎获得了更强的能力,耿鬼似乎獲得了更強的能力,Gengar seems to have gotten more powerful,Gengar dường như đã có được khả năng mạnh hơn.,팬텀이 더 강한 능력을 획득한 것 같다.,Gengar parece ter obtido habilidades mais fortes.,ดูเหมือนว่า耿鬼จะมีความสามารถที่แข็งแกร่งขึ้น
49,暴鲤龙(困难),暴鯉龍,Gyarados,Gyarados (Khó),갸라도스,Gyarados (Difícil),ギャラドス (ยาก),1048,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},暴鲤龙似乎获得了更强的能力,暴鯉龍似乎獲得了更強的能力,Gyarados seems to have gotten more powerful,Gyarados dường như đã có được sức mạnh lớn hơn.,갸라도스가 더 강한 능력을 획득한 것 같다.,O Gyarados parece ter ganhado um poder ainda maior.,갸라도스ดูเหมือนจะได้รับพลังที่แข็งแกร่งยิ่งขึ้น
50,快龙(困难),快龍,Dragonite,Dragonite (Khó),망나뇽,Dragonair (Difícil),แดร็กไนท์ (ยาก),1049,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},快龙似乎获得了更强的能力,快龍似乎獲得了更強的能力,Dragonite seems to have gotten more powerful,Dragonite dường như đã có được khả năng mạnh hơn.,망나뇽이 더 강한 능력을 획득한 것 같다.,O Dragonite parece ter obtido habilidades mais fortes.,โปเกมอนแดร็กไนท์ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
51,急冻鸟(困难),急凍鳥,Articuno,Articuno (Khó khăn),프리져,Articuno (Difícil),Articuno (ยาก),1050,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},急冻鸟似乎获得了更强的能力,急凍鳥似乎獲得了更強的能力,Articuno seems to have gotten more powerful,Articuno dường như đã có được khả năng mạnh hơn.,프리져가 더 강한 능력을 획득한 것 같다.,Articuno parece ter obtido habilidades mais fortes.,Articuno ดูเหมือนจะมีความสามารถที่แข็งแกร่งขึ้น
52,闪电鸟(困难),閃電鳥,Zapdos,Zapdos (Khó),썬더,Zapdos (Difícil),แซปดอส (ยาก),1051,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},闪电鸟似乎获得了更强的能力,閃電鳥似乎獲得了更強的能力,Zapdos seems to have gotten more powerful,Zapdos dường như đã có được khả năng mạnh hơn.,썬더가 더 강한 능력을 획득한 것 같다.,Zapdos parece ter obtido habilidades mais fortes.,แซปโดสดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
53,火焰鸟(困难),火焰鳥,Moltres,Moltres (Khó),파이어,Moltres (Difícil),โมลเทรส (ยาก),1052,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},火焰鸟似乎获得了更强的能力,火焰鳥似乎獲得了更強的能力,Moltres seems to have gotten more powerful,Chim lửa dường như đã có được khả năng mạnh hơn.,파이어가 더 강한 능력을 획득한 것 같다.,A ave de fogo parece ter obtido habilidades mais fortes.,นกไฟดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
54,蜥蜴王(困难),蜥蜴王,Sceptile,Vua Thằn Lằn (Khó),나무킹,Rei Lagarto (Difícil),ราชาจิ้งจก (ยาก),1053,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},蜥蜴王似乎获得了更强的能力,蜥蜴王似乎獲得了更強的能力,Sceptile seems to have gotten more powerful,Vua Thằn Lằn dường như đã có được sức mạnh lớn hơn.,나무킹이 더 강한 능력을 획득한 것 같다.,O Rei Lagarto parece ter ganhado poderes ainda maiores.,ราชาจิ้งจกดูเหมือนจะมีพลังที่แข็งแกร่งขึ้น
55,请假王(困难),請假王,Slaking,Vua Nghỉ Phép (Khó),게을킹,Rei da Férias (Difícil),ราชาลาพักร้อน (ยาก),1054,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},请假王似乎获得了更强的能力,請假王似乎獲得了更強的能力,Slaking seems to have gotten more powerful,Vua Nghỉ phép dường như đã có được khả năng mạnh hơn.,게을킹이 더 강한 능력을 획득한 것 같다.,O Rei das Férias parece ter obtido habilidades mais fortes.,ราชาการลาพักผ่อนดูเหมือนจะมีความสามารถที่แข็งแกร่งขึ้น
56,炎武王(困难),炎武王,Emboar,Vua Chiến Hỏa (Khó),염무왕,Rei da Chama (Difícil),พระราชาเพลิง (ยาก),1055,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},炎武王似乎获得了更强的能力,炎武王似乎獲得了更強的能力,Emboar seems to have gotten more powerful,Vua Chiến Binh Hỏa Ngục dường như đã có được sức mạnh lớn hơn.,염무왕이 더 강한 능력을 획득한 것 같다.,O Rei Marcial Flamejante parece ter obtido um poder ainda maior.,ราชาอัคคีดูเหมือนจะได้รับพลังที่แข็งแกร่งยิ่งขึ้น
57,雷公(困难),雷公,Raikou,Lôi Công (Khó khăn),라이코,Lei Gong (Difícil),雷公 (ยาก),1056,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},雷公似乎获得了更强的能力,雷公似乎獲得了更強的能力,Raikou seems to have gotten more powerful,Lei Gong dường như đã có được sức mạnh lớn hơn.,라이코가 더 강한 능력을 획득한 것 같다.,Lei Gong parece ter obtido poderes ainda maiores.,雷公ดูเหมือนจะมีพลังที่แข็งแกร่งขึ้น
58,炎帝(困难),炎帝,Entei,Yan Đế (Khó khăn),앤테이,Yan Di (Difícil),炎帝 (ยาก),1057,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},炎帝似乎获得了更强的能力,炎帝似乎獲得了更強的能力,Entei seems to have gotten more powerful,Yan Đế dường như đã có được sức mạnh lớn hơn.,앤테이가 더 강한 능력을 획득한 것 같다.,Yan Di parece ter obtido poderes ainda maiores.,เหมือนว่าเผิงหวู่จะได้รับพลังที่แข็งแกร่งขึ้น
59,水君(困难),水君,Suicune,Suicune (Khó khăn),스이쿤,Suicune (Difícil),ซุยคูน (ยาก),1058,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},水君似乎获得了更强的能力,水君似乎獲得了更強的能力,Suicune seems to have gotten more powerful,Suijin dường như đã có được khả năng mạnh hơn.,스이쿤이 더 강한 능력을 획득한 것 같다.,Suijin parece ter obtido habilidades mais fortes.,ดูเหมือนว่าซุยจินจะมีพลังที่แข็งแกร่งขึ้น
60,梦幻(困难),夢幻,Mew,Xứ sở thần tiên (Khó),뮤,Terra dos Sonhos (Difícil),ดินแดนมหัศจรรย์ (ยาก),1059,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},梦幻似乎获得了更强的能力,夢幻似乎獲得了更強的能力,Mew seems to have gotten more powerful,Ảo ảnh dường như đã có được khả năng mạnh hơn.,뮤가 더 강한 능력을 획득한 것 같다.,A ilusão parece ter obtido poderes mais fortes.,มายาเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
61,超梦(困难),超夢,Mewtwo,Mewtwo (Khó),뮤츠,Mewtwo (Difícil),Mewtwo (ยาก),1060,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},超梦似乎获得了更强的能力,超夢似乎獲得了更強的能力,Mewtwo seems to have gotten more powerful,Mewtwo dường như đã có được sức mạnh lớn hơn.,뮤츠가 더 강한 능력을 획득한 것 같다.,Mewtwo parece ter ganhado um poder ainda maior.,Mewtwo ดูเหมือนจะได้รับพลังที่แข็งแกร่งยิ่งขึ้น
62,自爆磁怪(困难),自爆磁怪,Magnezone,Nam châm tự hủy (Khó),자포코일,Ímã Autodestrutivo (Difícil),แม่เหล็กทำลายตัวเอง (ยาก),1061,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},自爆磁怪似乎获得了更强的能力,自爆磁怪似乎獲得了更強的能力,Magnezone seems to have gotten more powerful,Tên quái vật tự nổ dường như đã có được khả năng mạnh hơn.,자포코일이 더 강한 능력을 획득한 것 같다.,O Magneto Autodestrutivo parece ter obtido habilidades mais fortes.,แม่เหล็กทำลายตัวเองดูเหมือนจะมีความสามารถที่แข็งแกร่งขึ้น
63,超甲狂犀(困难),超甲狂犀,Rhyperior,Siêu Giáp Tê Giác Điên Cuồng (Khó),거대코뿌리,Rinoceronte Superblindado (Difícil),แรดเกราะแข็งพิเศษ (ยาก),1062,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},超甲狂犀似乎获得了更强的能力,超甲狂犀似乎獲得了更強的能力,Rhyperior seems to have gotten more powerful,Tê giác siêu giáp dường như đã có được khả năng mạnh hơn.,거대코뿌리가 더 강한 능력을 획득한 것 같다.,O Rinoceronte Superblindado parece ter obtido habilidades mais fortes.,แรดหุ้มเกราะสุดยอดดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
64,巨钳螳螂(困难),巨鉗螳螂,Scizor,Bọ Ngựa Khổng Lồ (Khó),핫삼,Louva-a-deus Gigante (Difícil),ตั๊กแตนตำข้าวยักษ์ (ยาก),1063,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},巨钳螳螂似乎获得了更强的能力,巨鉗螳螂似乎獲得了更強的能力,Scizor seems to have gotten more powerful,Con bọ ngựa khổng lồ dường như đã có được khả năng mạnh hơn.,핫삼이 더 강한 능력을 획득한 것 같다.,O louva-a-deus gigante parece ter ganhado habilidades mais fortes.,ตั๊กแตนตำข้าวขนาดใหญ่ดูเหมือนว่าจะมีความสามารถที่แข็งแกร่งขึ้น
65,鸭嘴炎兽(困难),鴨嘴炎獸,Magmortar,Thú Hỏa Ngựa Mỏ Vịt (Khó),마그마번,Besta Chama de Bico de Pato (Difícil),อสูรเพลิงปากเป็ด (ยาก),1064,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},鸭嘴炎兽似乎获得了更强的能力,鴨嘴炎獸似乎獲得了更強的能力,Magmortar seems to have gotten more powerful,Con thú Bò Sát Lửa Mỏ Vịt dường như đã có được khả năng mạnh hơn.,마그마번이 더 강한 능력을 획득한 것 같다.,A Besta Chama de Bico de Pato parece ter obtido habilidades mais fortes.,สัตว์เดรัจฉานเพลิงปากเป็ดดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
66,电龙(困难),電龍,Ampharos,Rồng Điện (Khó),전룡,Dragão Elétrico (Difícil),มังกรไฟฟ้า (ยาก),1065,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},电龙似乎获得了更强的能力,電龍似乎獲得了更強的能力,Ampharos seems to have gotten more powerful,Con Rồng Điện dường như đã có được khả năng mạnh hơn.,전룡이 더 강한 능력을 획득한 것 같다.,O Dragão Elétrico parece ter obtido poderes mais fortes.,มังกรสายฟ้าดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
67,赫拉克罗斯(困难),赫拉克羅斯,Heracross,Heracross (Khó khăn),헤라크로스,Heracross (Difícil),เฮอราครอส (ยาก),1066,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},赫拉克罗斯似乎获得了更强的能力,赫拉克羅斯似乎獲得了更強的能力,Heracross seems to have gotten more powerful,Heracross dường như đã có được khả năng mạnh hơn.,헤라크로스가 더 강한 능력을 획득한 것 같다.,Parece que Heracross ganhou habilidades mais fortes.,ดูเหมือนว่าเฮอร์ราครอสจะมีความสามารถที่แข็งแกร่งขึ้น
68,玛狃拉(困难),瑪狃拉,Weavile,Manectric (Khó khăn),포푸니라,Manectric (Difícil),แมงเน็คไทรค์ (ยาก),1067,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},玛狃拉似乎获得了更强的能力,瑪狃拉似乎獲得了更強的能力,Weavile seems to have gotten more powerful,Manectric dường như đã có được khả năng mạnh hơn.,포푸니라가 더 강한 능력을 획득한 것 같다.,Manectric parece ter obtido habilidades mais fortes.,แม็กนีไทต์ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
69,黑鲁加(困难),黑魯加,Houndoom,Houndoom (Khó),헬가,Houndoom (Difícil),เฮาต์ดุม (ยาก),1068,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},黑鲁加似乎获得了更强的能力,黑魯加似乎獲得了更強的能力,Houndoom seems to have gotten more powerful,Darkrai dường như đã có được sức mạnh lớn hơn.,헬가가 더 강한 능력을 획득한 것 같다.,Darkrai parece ter ganhado mais poder.,ดาร์ครายดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
70,班基拉斯(困难),班基拉斯,Tyranitar,BanG Dream! (Khó),마기라스,BanG Dream! (Difícil),BanG Dream! (ยาก),1069,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},班基拉斯似乎获得了更强的能力,班基拉斯似乎獲得了更強的能力,Tyranitar seems to have gotten more powerful,BanG Dream! dường như đã có được khả năng mạnh hơn.,마기라스가 더 강한 능력을 획득한 것 같다.,Parece que o BanG Dream! ganhou habilidades mais fortes.,ดูเหมือนว่า BanG Dream! จะได้รับความสามารถที่แข็งแกร่งขึ้น
71,雷吉洛克(困难),雷吉洛克,Regigigas (Hard),Regigigas (Khó),레지락,Regigigas (Difícil),เรจิกิกัส (ยาก),1070,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},雷吉洛克似乎获得了更强的能力,雷吉洛克似乎獲得了更強的能力,Regice seems to have gained greater power.,Regice dường như đã có được sức mạnh lớn hơn.,레지락이 더 강한 능력을 획득한 것 같다.,Regice parece ter ganhado um poder maior.,เรจิไอซ์ดูเหมือนจะได้รับพลังที่แข็งแกร่งกว่า
72,雷吉艾斯(困难),雷吉艾斯,Regice (Difficult),Regice (Khó),레지아이스,Regice (Difícil),เรจิไอซ์ (ยาก),1071,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},雷吉艾斯似乎获得了更强的能力,雷吉艾斯似乎獲得了更強的能力,Regice seems to have gained stronger abilities.,Regice dường như đã có được khả năng mạnh hơn.,레지아이스가 더 강한 능력을 획득한 것 같다.,Regice parece ter obtido habilidades mais fortes.,เรจิไอซ์ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
73,雷吉斯奇鲁(困难),雷吉斯奇鲁,Regis Kill (Hard),Giết Regis (Khó),레지스틸,Matar Regis (Difícil),ฆ่าเรจิส (ยาก),1072,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},雷吉斯奇鲁似乎获得了更强的能力,雷吉斯·奇魯似乎獲得了更強的能力,Regis Chiru seems to have gained stronger abilities.,Regis Chiru dường như đã có được khả năng mạnh hơn.,레지스틸이 더 강한 능력을 획득한 것 같다.,Regis Chiru parece ter obtido habilidades mais fortes.,เรจิส ชิรุ ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
74,大钢蛇(困难),大钢蛇,Steelix (Hard),Steelix (Khó),강철톤,Steelix (Difícil),สตีลิกซ์ (ยาก),1073,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},大钢蛇似乎获得了更强的能力,大鋼蛇似乎獲得了更強的能力,Steelix seems to have gained stronger abilities.,Steelix dường như đã có được khả năng mạnh hơn.,강철톤이 더 강한 능력을 획득한 것 같다.,Parece que o Steelix ganhou habilidades mais fortes.,ดูเหมือนว่าสตีลิกซ์จะมีความสามารถที่แข็งแกร่งขึ้น
75,巨金怪(困难),巨金怪,Regirock (Hard),Regirock (Khó),메타그로스,Regirock (Difícil),เรจิร็อก (ยาก),1074,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},巨金怪似乎获得了更强的能力,巨金怪似乎獲得了更強的能力,The Steelix seems to have gained stronger abilities.,Steelix dường như đã có được khả năng mạnh hơn.,메타그로스가 더 강한 능력을 획득한 것 같다.,O Steelix parece ter ganhado habilidades mais fortes.,ดูเหมือนว่าเหล็กกล้าจะได้รับความสามารถที่แข็งแกร่งขึ้น
76,双斧战龙(困难),双斧战龙,Dual Axe War Dragon (Hard),Rồng Chiến Tranh Rìu Đôi (Khó),액스라이즈,Dragão de Guerra de Machado Duplo (Difícil),มังกรสงครามขวานคู่ (ยาก),1075,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},双斧战龙似乎获得了更强的能力,雙斧戰龍似乎獲得了更強的能力,The Double Axe War Dragon seems to have gained stronger abilities.,Con Rồng Song Phủ dường như đã có được sức mạnh lớn hơn.,액스라이즈가 더 강한 능력을 획득한 것 같다.,O Dragão de Guerra da Dupla Machado parece ter obtido habilidades mais fortes.,มังกรสงครามขวานคู่ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
77,路卡利欧(困难),路卡利欧,Lucario (Hard),Lucario (Khó),루카리오,Lucario (Difícil),ลูคาริโอ (ยาก),1076,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},路卡利欧似乎获得了更强的能力,路卡利歐似乎獲得了更強的能力,Lucario seems to have gained stronger abilities.,Lucario dường như đã có được khả năng mạnh hơn.,루카리오가 더 강한 능력을 획득한 것 같다.,Lucario parece ter obtido habilidades mais fortes.,ลูคาริโอ ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
78,盖欧卡(困难),盖欧卡,Groudon (Hard),Groudon (Khó),가이오가,Groudon (Difícil),Groudon (ยาก),1077,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},盖欧卡似乎获得了更强的能力,蓋歐卡似乎獲得了更強的能力,Groudon seems to have gained greater power.,Groudon dường như đã có được sức mạnh lớn hơn.,가이오가가 더 강한 능력을 획득한 것 같다.,Groudon parece ter ganhado mais poder.,Groudon ดูเหมือนจะได้รับพลังที่มากกว่าเดิม
79,固拉多(困难),固拉多,Groudon (Hard),Groudon (Khó),그란돈,Groudon (Difícil),Groudon (ยาก),1078,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},固拉多似乎获得了更强的能力,固拉多似乎獲得了更強的能力,Groudon seems to have gained greater power.,Groudon dường như đã có được sức mạnh lớn hơn.,그란돈이 더 강한 능력을 획득한 것 같다.,Groudon parece ter ganhado mais poder.,Groudon ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
80,裂空座(困难),裂空座,Rayquaza (Difficult),Rayquaza (Khó khăn),레쿠쟈,Rayquaza (Difícil),เรย์ควาซ่า (ยาก),1079,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},裂空座似乎获得了更强的能力,裂空座似乎獲得了更強的能力,Rayquaza seems to have gained greater power.,Rayquaza dường như đã có được sức mạnh lớn hơn.,레쿠쟈가 더 강한 능력을 획득한 것 같다.,Rayquaza parece ter ganhado um poder maior.,เรย์ควาซ่าดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
81,妙蛙花(地狱),妙蛙花,Venusaur,Venusaur (Địa ngục),이상해꽃,Venusaur (Inferno),วิปปลิ่ง (นรก),1080,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},妙蛙花似乎获得了更强的能力,妙蛙花似乎獲得了更強的能力,Venusaur seems to have gotten more powerful,Vệ binh cỏ dường như đã có được khả năng mạnh hơn.,이상해꽃이 더 강한 능력을 획득한 것 같다.,Venusaur parece ter ganhado habilidades mais fortes.,วีวี่ฟลอร์ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
82,喷火龙(地狱),噴火龍,Charizard,Charizard (Địa ngục),리자몽,Charizard (Infernal),แชริซาร์ด (นรก),1081,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},喷火龙似乎获得了更强的能力,噴火龍似乎獲得了更強的能力,Charizard seems to have gotten more powerful,Charizard dường như đã có được những khả năng mạnh hơn.,리자몽이 더 강한 능력을 획득한 것 같다.,O Charizard parece ter obtido habilidades mais fortes.,ชาร์อีแซดดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
83,水箭龟(地狱),水箭龜,Blastoise,Blastoise (Địa Ngục),거북왕,Blastoise (Inferno),บลาสทอยส์ (นรก),1082,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},水箭龟似乎获得了更强的能力,水箭龜似乎獲得了更強的能力,Blastoise seems to have gotten more powerful,Blastoise dường như đã có được khả năng mạnh hơn.,거북왕이 더 강한 능력을 획득한 것 같다.,Blastoise parece ter obtido habilidades mais fortes.,บลาสทอยส์ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
84,胡地(地狱),胡地,Alakazam,Hu Di (Địa ngục),후딘,Hu Di (Inferno),หูตี้ (นรก),1083,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},胡地似乎获得了更强的能力,胡地似乎獲得了更強的能力,Alakazam seems to have gotten more powerful,Alakazam dường như đã có được khả năng mạnh hơn.,후딘이 더 강한 능력을 획득한 것 같다.,Alakazam parece ter ganhado habilidades mais fortes.,ดูเหมือนว่าเอเลคตรัสจะได้รับพลังที่แข็งแกร่งขึ้น
85,妖火红狐(地狱),妖火紅狐,Delphox,Hồ Ly Hỏa Quái (Địa Ngục),마폭시,Raposa de Fogo Demônio (Inferno),จิ้งจอกไฟปีศาจ (นรก),1084,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},妖火红狐似乎获得了更强的能力,妖火紅狐似乎獲得了更強的能力,Delphox seems to have gotten more powerful,Con cáo lửa ma quỷ dường như đã có được sức mạnh lớn hơn.,마폭시가 더 강한 능력을 획득한 것 같다.,A raposa de fogo demoníaca parece ter obtido poderes maiores.,สุนัขจิ้งจอกไฟปีศาจดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
86,甲贺忍蛙(地狱),甲賀忍蛙,Greninja,Ninja bóng tối (Địa ngục),개굴닌자,Ninja das Sombras (Inferno),นินจาเงา (นรก),1085,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},甲贺忍蛙似乎获得了更强的能力,甲賀忍蛙似乎獲得了更強的能力,Greninja seems to have gotten more powerful,Greninja dường như đã có được khả năng mạnh hơn.,개굴닌자가 더 강한 능력을 획득한 것 같다.,Greninja parece ter obtido habilidades ainda mais fortes.,เกรนินจา ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
87,电击魔兽(地狱),電擊魔獸,Electivire,Raikou (Địa ngục),에레키블,Raikou (Inferno),ไรโค (นรก),1086,{932=150;rmb=100;5000=150},{932=50;951=3;gold=410000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},电击魔兽似乎获得了更强的能力,電擊魔獸似乎獲得了更強的能力,Electivire seems to have gotten more powerful,Raichu dường như đã có được khả năng mạnh hơn.,에레키블이 더 강한 능력을 획득한 것 같다.,Raichu parece ter ganhado habilidades mais fortes.,ดูเหมือนว่าพิกาจูจะได้รับความสามารถที่แข็งแกร่งขึ้น
88,耿鬼(地狱),耿鬼,Gengar,Gengar (Địa ngục),팬텀,Gengar (Inferno),耿鬼 (นรก),1087,{501=1;932=150;5000=150},{932=50;951=3;gold=420000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},耿鬼似乎获得了更强的能力,耿鬼似乎獲得了更強的能力,Gengar seems to have gotten more powerful,Gengar dường như đã mạnh hơn.,팬텀이 더 강한 능력을 획득한 것 같다.,Gengar parece ter ficado mais forte.,ดูเหมือนว่า耿鬼จะแข็งแกร่งขึ้น
