变量名,typeSeqID,weight,group,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,choice1_pt,choice1_th,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,choice2_pt,choice2_th,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,choice3_pt,choice3_th,choice4,choice4_tw,choice4_en,choice4_vn,choice4_kr,choice4_pt,choice4_th,answer,imgID
83,2,50,207,以下哪只精灵最高？,以下哪只精靈最高？,Which of the following Pokémon is the tallest?,,,,,七夕青鸟,七夕青鳥,Altaria,Altaria,Altaria,Altaria,Altaria,信使鸟,信使鳥,Delibird,Delibird,Delibird,Delibird,Delibird,可达鸭,可達鴨,Psyduck,Psyduck,Psyduck,Psyduck,Psyduck,无畏小子,無畏小子,Tyrogue,Tyrogue,Tyrogue,Tyrogue,Tyrogue,1,
84,2,50,207,以下哪只精灵最矮？,以下哪只精靈最矮？,Which of the following Pokémon is the shortest?,,,,,露力丽,露力麗,Azurill,Azurill,Azurill,Azurill,Azurill,小拉达,小拉達,Rattata,Rattata,Rattata,Rattata,Rattata,呱呱泡蛙,呱呱泡蛙,Froakie,Froakie,Froakie,Froakie,Froakie,梦幻,夢幻,Mew,Mew,Mew,Mew,Mew,1,
85,2,50,207,以下哪只精灵最矮？,以下哪只精靈最矮？,Which of the following Pokémon is the shortest?,,,,,君主蛇,君主蛇,Serperior,Serperior,Serperior,Serperior,Serperior,固拉多,固拉多,Groudon,Groudon,Groudon,Groudon,Groudon,凤王,鳳王,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,阿柏怪,阿柏怪,Arbok,Arbok,Arbok,Arbok,Arbok,1,
86,2,50,207,以下哪只精灵无法飞行？,以下哪只精靈無法飛行？,Which of the following Pokémon cannot fly?,,,,,天然雀,天然雀,Natu,Natu,Natu,Natu,Natu,克雷色利亚,克雷色利亞,Cresselia,Cresselia,Cresselia,Cresselia,Cresselia,水君,水君,Suicune,Suicune,Suicune,Suicune,Suicune,土地云,土地雲,Landorus,Landorus,Landorus,Landorus,Landorus,1,
87,2,50,208,小拉达的门牙生长太长会引起什么影响？,小拉達的門牙生長太長會引起什麽影響？,What will happen if Rattata’s front teeth grow too long?,,,,,无法进食而饿死,無法進食而餓死,Starved to death because of the inability to eat,Starved to death because of the inability to eat,Starved to death because of the inability to eat,Starved to death because of the inability to eat,Starved to death because of the inability to eat,攻击对方是伤害更高,攻擊對方是傷害更高,More power when attacking opponent,More power when attacking opponent,More power when attacking opponent,More power when attacking opponent,More power when attacking opponent,挖掘速度快,挖掘速度快,Faster digging speed,Faster digging speed,Faster digging speed,Faster digging speed,Faster digging speed,会学会新的技能,會學會新的技能,Will learn new moves,Will learn new moves,Will learn new moves,Will learn new moves,Will learn new moves,1,
88,2,50,209,以下哪只精灵的领地意识相对比较弱？,以下哪只精靈的領地意識相對比較弱？,Which of the following Pokémon have relatively weak territorial awareness?,,,,,拉达,拉達,Raticate,Raticate,Raticate,Raticate,Raticate,大嘴雀,大嘴雀,Fearow,Fearow,Fearow,Fearow,Fearow,比比鸟,比比鳥,Pidgeotto,Pidgeotto,Pidgeotto,Pidgeotto,Pidgeotto,大针蜂,大針蜂,Beedrill,Beedrill,Beedrill,Beedrill,Beedrill,1,
89,2,50,210,精灵基拉祈是授予和传达人类愿望的精灵，每一千年苏醒一次，但只能苏醒几天？,精靈基拉祈是授予和傳達人類願望的精靈，每一千年蘇醒一次，但只能蘇醒幾天？,"The Pokémon Jirachi is the Pokémon who grant and convey the wishes of people. He wakes up once every thousand years, but only how many days can he wake up?",,,,,7天,7天,7 days,7 days,7 days,7 days,7 days,3天,3天,3 days,3 days,3 days,3 days,3 days,5天,5天,5 days,5 days,5 days,5 days,5 days,10天,10天,10 days,10 days,10 days,10 days,10 days,1,
90,2,50,211,以下那只精灵的游泳速度最快？,以下那只精靈的遊泳速度最快？,Which of the following Pokémon swims the fastest?,,,,,哥达鸭,哥達鴨,Golduck,Golduck,Golduck,Golduck,Golduck,钢炮臂虾,鋼炮臂蝦,Clawitzer,Clawitzer,Clawitzer,Clawitzer,Clawitzer,白海狮,白海獅,Dewgong,Dewgong,Dewgong,Dewgong,Dewgong,角金鱼,角金魚,Goldeen,Goldeen,Goldeen,Goldeen,Goldeen,1,
91,2,50,212,无畏小子在什么状态下，踢技可以像舞蹈般华丽？,無畏小子在什麽狀態下，踢技可以像舞蹈般華麗？,In what state is the Tyrogue's kicking skills as gorgeous as dancing?,,,,,进化为战舞郎时,進化為戰舞郎時,When evolved into Hitmontop,When evolved into Hitmontop,When evolved into Hitmontop,When evolved into Hitmontop,When evolved into Hitmontop,在未进化时,在未進化時,When not evolved,When not evolved,When not evolved,When not evolved,When not evolved,进化为飞腿郎时,進化為飛腿郎時,Evolve to Hitmonlee,Evolve to Hitmonlee,Evolve to Hitmonlee,Evolve to Hitmonlee,Evolve to Hitmonlee,进化为快拳郎时,進化為快拳郎時,When he evolved into Hitmonchan,When he evolved into Hitmonchan,When he evolved into Hitmonchan,When he evolved into Hitmonchan,When he evolved into Hitmonchan,1,
92,2,50,213,双倍多多冰形成的原因？,雙倍多多冰形成的原因？,What is the reason caused the formation of Vanilluxe?,,,,,据说是开始融化的２只多多冰贴在一起，再次冻结时诞生而成,據說是開始融化的２只多多冰貼在一起，再次凍結時誕生而成,"Vanilluxe is born when two Vanillish, half-melted by the day's light, stick to each other and freeze together in the cold return of night.","Vanilluxe is born when two Vanillish, half-melted by the day's light, stick to each other and freeze together in the cold return of night.","Vanilluxe is born when two Vanillish, half-melted by the day's light, stick to each other and freeze together in the cold return of night.","Vanilluxe is born when two Vanillish, half-melted by the day's light, stick to each other and freeze together in the cold return of night.","Vanilluxe is born when two Vanillish, half-melted by the day's light, stick to each other and freeze together in the cold return of night.",由一个多多冰分裂重组形成,由一個多多冰分裂重組形成,Formed by a split and recombination of Vanillish,Formed by a split and recombination of Vanillish,Formed by a split and recombination of Vanillish,Formed by a split and recombination of Vanillish,Formed by a split and recombination of Vanillish,因为在暴风雪中多多冰发生了变形,因為在暴風雪中多多冰發生了變形,Because Vanillish is deformed in the blizzard,Because Vanillish is deformed in the blizzard,Because Vanillish is deformed in the blizzard,Because Vanillish is deformed in the blizzard,Because Vanillish is deformed in the blizzard,因为训练家的锻炼最终形成,因為訓練家的鍛煉最終形成,Because the training of the trainer finally formed,Because the training of the trainer finally formed,Because the training of the trainer finally formed,Because the training of the trainer finally formed,Because the training of the trainer finally formed,1,
93,2,50,214,呱头蛙拥有绝佳弹跳能力，曾经一分钟内登高达到的最高记录是多少？,呱頭蛙擁有絕佳彈跳能力，曾經一分鐘內登高達到的最高記錄是多少？,The Frogadier has excellent jumping ability. What is the highest record ever reached in one minute?,,,,,600m,600m,600m,600m,600m,600m,600m,500m,500m,500m,500m,500m,500m,500m,800m,800m,800m,800m,800m,800m,800m,1000m,1000m,1000m,1000m,1000m,1000m,1000m,1,
94,2,50,215,雷吉艾斯可以控制多少度的冷气？,雷吉艾斯可以控制多少度的冷氣？,How many degrees of cold air can Regice control?,,,,,零下200°,零下200°,Minus 200°,Minus 200°,Minus 200°,Minus 200°,Minus 200°,零下100°,零下100°,Minus 100°,Minus 100°,Minus 100°,Minus 100°,Minus 100°,零下300°,零下300°,Minus 300°,Minus 300°,Minus 300°,Minus 300°,Minus 300°,零下400°,零下400°,Minus 400°,Minus 400°,Minus 400°,Minus 400°,Minus 400°,1,
95,2,50,216,超坏星共有多少只脚？,超壞星共有多少只腳？,How many feet does Toxapex have?,,,,,12只,12只,Twelve,Twelve,Twelve,Twelve,Twelve,10只,10只,Ten,Ten,Ten,Ten,Ten,8只,8只,Eight,Eight,Eight,Eight,Eight,6只,6只,Six,Six,Six,Six,Six,1,
96,2,50,217,鸭嘴炎兽可以喷射出高热度的火球，火球温度能达到多少摄氏度？,鴨嘴炎獸可以噴射出高熱度的火球，火球溫度能達到多少攝氏度？,Magmortar can eject high-heat fireballs. How many degrees Celsius can the temperature of the fireball reach?,,,,,2000摄氏度,2000攝氏度,2000 degrees Celsius,2000 degrees Celsius,2000 degrees Celsius,2000 degrees Celsius,2000 degrees Celsius,3000摄氏度,3000攝氏度,3000 degrees Celsius,3000 degrees Celsius,3000 degrees Celsius,3000 degrees Celsius,3000 degrees Celsius,5000摄氏度,5000攝氏度,5000 degrees Celsius,5000 degrees Celsius,5000 degrees Celsius,5000 degrees Celsius,5000 degrees Celsius,1000摄氏度,1000攝氏度,1000 degrees Celsius,1000 degrees Celsius,1000 degrees Celsius,1000 degrees Celsius,1000 degrees Celsius,1,
97,2,50,218,下面哪个不是由雷吉奇卡斯制作而成的精灵？,下面哪個不是由雷吉奇卡斯制作而成的精靈？,Which of the following Pokémon weren't made by Regigigas?,,,,,雷公,雷公,Raikou,Raikou,Raikou,Raikou,Raikou,雷吉洛克,雷吉洛克,Regirock,Regirock,Regirock,Regirock,Regirock,雷吉斯奇鲁,雷吉斯奇魯,Registeel,Registeel,Registeel,Registeel,Registeel,雷吉艾斯,雷吉艾斯,Regice,Regice,Regice,Regice,Regice,1,
98,2,50,219,胡地超级进化后，漂浮的勺子变成多少个？,胡地超級進化後，漂浮的勺子變成多少個？,"After Alakazam's Mega evolution, how many floating spoons became?",,,,,5个,5個,Five,Five,Five,Five,Five,4个,4個,Four,Four,Four,Four,Four,6个,6個,Six,Six,Six,Six,Six,3个,3個,3,3,3,3,3,1,
99,2,50,220,哪只精灵的体温比太阳表面温度还高,哪只精靈的體溫比太陽表面溫度還高,Which Pokémon has a body temperature higher than the surface of the sun?,,,,,熔岩蜗牛,熔巖蝸牛,Magcargo,Magcargo,Magcargo,Magcargo,Magcargo,小火龙,小火龍,Charmander,Charmander,Charmander,Charmander,Charmander,太阳岩,太陽巖,Solrock,Solrock,Solrock,Solrock,Solrock,烈焰马,烈焰馬,Rapidash,Rapidash,Rapidash,Rapidash,Rapidash,1,
100,2,50,221,哪只精灵所下的蛋被人类吃了以后会变得及其温柔、善良？,哪只精靈所下的蛋被人類吃了以後會變得及其溫柔、善良？,Which Pokémon lay eggs that will become extremely gentle and kind after being eaten by humans?,,,,,幸福蛋,幸福蛋,Blissey,Blissey,Blissey,Blissey,Blissey,蛋蛋,蛋蛋,Exeggcute,Exeggcute,Exeggcute,Exeggcute,Exeggcute,胖丁,胖丁,Jigglypuff,Jigglypuff,Jigglypuff,Jigglypuff,Jigglypuff,椰蛋树,椰蛋樹,Exeggutor,Exeggutor,Exeggutor,Exeggutor,Exeggutor,1,
101,2,50,222,未知图腾一共有多少种？,未知圖騰一共有多少種？,How many kinds of Unown are there?,,,,,28种,28種,28 types,28 types,28 types,28 types,28 types,26种,26種,26 types,26 types,26 types,26 types,26 types,32种,32種,32 types,32 types,32 types,32 types,32 types,34种,34種,34 types,34 types,34 types,34 types,34 types,1,
102,2,50,222,未知图腾前26个是代表着什么？,未知圖騰前26個是代表著什麽？,What do the first 26 Unown represent?,,,,,英文字母,英文字母,English alphabet,English alphabet,English alphabet,English alphabet,English alphabet,罗马数字,羅馬數字,Roman numerals,Roman numerals,Roman numerals,Roman numerals,Roman numerals,遗迹文字,遺跡文字,Ruins text,Ruins text,Ruins text,Ruins text,Ruins text,精灵符号,精靈符號,Pokémon symbol,Pokémon symbol,Pokémon symbol,Pokémon symbol,Pokémon symbol,1,
103,2,50,222,未知图腾后2个代表着两个符号，请问是代表着什么符号？,未知圖騰後2個代表著兩個符號，請問是代表著什麽符號？,The last two Unown represent two symbols. What symbol do they represent?,,,,,!"和"?,!和"?",!" and "?,!" and "?,!" and "?,!" and "?,!" and "?,",""和"".",",和"".""",","" and "".",","" and "".",","" and "".",","" and "".",","" and "".","""<""和"">""","""<和"">""""","""<"" and "">""","""<"" and "">""","""<"" and "">""","""<"" and "">""","""<"" and "">""",+"和"-,+和"-",+" and "-,+" and "-,+" and "-,+" and "-,+" and "-,1,
104,2,50,225,以下哪只精灵，它的形象参考了波斯猫、非洲狮、美洲狮和一种常见的店铺摆设物品？,以下哪只精靈，它的形象參考了波斯貓、非洲獅、美洲獅和一種常見的店鋪擺設物品？,"Which of the following Pokémon has an image that refers to a Persian cat, an African lion, a mountain lion, and a common shop display item?",,,,,猫老大,貓老大,Persian,Persian,Persian,Persian,Persian,喵喵,喵喵,Meowth,Meowth,Meowth,Meowth,Meowth,东施猫,東施貓,Purugly,Purugly,Purugly,Purugly,Purugly,扒手猫,扒手貓,Purrloin,Purrloin,Purrloin,Purrloin,Purrloin,1,
105,2,50,226,在丰缘地区，有一只传说精灵代表着铁器时代，它是？,在豐緣地區，有一只傳說精靈代表著鐵器時代，它是？,"In the Hoen area, there is a legendary Pokémon representing the Iron Age. What is it?",,,,,雷吉斯奇鲁,雷吉斯奇魯,Registeel,Registeel,Registeel,Registeel,Registeel,雷吉艾斯,雷吉艾斯,Regice,Regice,Regice,Regice,Regice,拉帝亚斯,拉帝亞斯,Latias,Latias,Latias,Latias,Latias,雷吉洛克,雷吉洛克,Regirock,Regirock,Regirock,Regirock,Regirock,1,
106,2,50,227,搬运小匠手中拿的东西是什么？,搬運小匠手中拿的東西是什麽？,What is the thing in the hands of the Timburr?,,,,,木头,木頭,Wood,Wood,Wood,Wood,Wood,钢板,鋼板,Steel plate,Steel plate,Steel plate,Steel plate,Steel plate,水泥管,水泥管,Cement pipe,Cement pipe,Cement pipe,Cement pipe,Cement pipe,石头,石頭,stone,stone,stone,stone,stone,1,
107,2,50,228,洛托姆的形态不包括以下的哪一种？,洛托姆的形態不包括以下的哪一種？,Which of the following is not included in Rotom's form?,,,,,净化洛托姆,凈化洛托姆,Purify Rotom,Purify Rotom,Purify Rotom,Purify Rotom,Purify Rotom,清洗洛托姆,清洗洛托姆,Wash Rotom,Wash Rotom,Wash Rotom,Wash Rotom,Wash Rotom,旋转洛托姆,旋轉洛托姆,Fan Rotom,Fan Rotom,Fan Rotom,Fan Rotom,Fan Rotom,加热洛托姆,加熱洛托姆,Heat Rotom,Heat Rotom,Heat Rotom,Heat Rotom,Heat Rotom,1,
108,2,50,229,以下哪只精灵不会因为天气或季节改变自身形态的精灵是？,以下哪只精靈不會因為天氣或季節改變自身形態的精靈是？,Which of the following Pokémon will not change their form due to weather or seasons?,,,,,谢米,謝米,Shaymin,Shaymin,Shaymin,Shaymin,Shaymin,漂浮泡泡,漂浮泡泡,Castform,Castform,Castform,Castform,Castform,樱花儿,櫻花兒,Cherrim,Cherrim,Cherrim,Cherrim,Cherrim,萌芽鹿,萌芽鹿,Sawsbuck,Sawsbuck,Sawsbuck,Sawsbuck,Sawsbuck,1,
109,3,50,301,动画中小智的皮卡丘最爱的食物是什么,動畫中小智的皮卡丘最愛的食物是什麽,What is Ash’s Pikachu’s favorite food in the animation?,,,,,辣茄果,辣茄果,Tamato,Tamato,Tamato,Tamato,Tamato,橙橙果,橙橙果,Oran Berry,Oran Berry,Oran Berry,Oran Berry,Oran Berry,桃桃果,桃桃果,Pecha Berry,Pecha Berry,Pecha Berry,Pecha Berry,Pecha Berry,木子果,木子果,Lum Berry,Lum Berry,Lum Berry,Lum Berry,Lum Berry,1,
110,3,50,301,动画中火箭队喵喵曾喜欢的雌性精灵叫什么？,動畫中火箭隊喵喵曾喜歡的雌性精靈叫什麽？,What is the name of the female Pokémon that Meowth once liked in the anime?,,,,,玛丹娜,瑪丹娜,Meowzie,Meowzie,Meowzie,Meowzie,Meowzie,麦当娜,麥當娜,Meowey,Meowey,Meowey,Meowey,Meowey,希娜,希娜,Sheena,Sheena,Sheena,Sheena,Sheena,武藏,武藏,Jessie,Jessie,Jessie,Jessie,Jessie,1,
111,3,50,301,动画中火箭队老大曾召唤出哪三只精灵，并计划用它们统治合众地区？,動畫中火箭隊老大曾召喚出哪三只精靈，並計劃用它們統治合眾地區？,"In the animation, which three Pokémon have been summoned by Team Rocket’s boss and planned to use them to rule the Unova area?",,,,,土地云、雷电云、龙卷云,土地雲、雷電雲、龍卷雲,"Landorus, Thundurus,Tornadus","Landorus, Thundurus,Tornadus","Landorus, Thundurus,Tornadus","Landorus, Thundurus,Tornadus","Landorus, Thundurus,Tornadus",火焰鸟，闪电鸟，急冻鸟,火焰鳥，閃電鳥，急凍鳥,"Moltres, Zapdos, Articuno","Moltres, Zapdos, Articuno","Moltres, Zapdos, Articuno","Moltres, Zapdos, Articuno","Moltres, Zapdos, Articuno",雷公，炎帝，水君,雷公，炎帝，水君,"Raikou, Entei, Suicune","Raikou, Entei, Suicune","Raikou, Entei, Suicune","Raikou, Entei, Suicune","Raikou, Entei, Suicune",雷吉洛克，雷吉斯奇鲁，雷吉艾斯,雷吉洛克，雷吉斯奇魯，雷吉艾斯,"Regirock, Registeel, Regice","Regirock, Registeel, Regice","Regirock, Registeel, Regice","Regirock, Registeel, Regice","Regirock, Registeel, Regice",1,
112,3,30,302,剧场版动画【时拉比 穿梭时空的相遇】中，哪只神兽陪同小智一起救下时拉比？,劇場版動畫【時拉比 穿梭時空的相遇】中，哪只神獸陪同小智一起救下時拉比？,"In movie [Celebi: Voice of the Forest], which Legendary Pokémon accompanied Ash to rescue Celebi?",,,,,水君,水君,Suicune,Suicune,Suicune,Suicune,Suicune,炎帝,炎帝,Entei,Entei,Entei,Entei,Entei,雷公,雷公,Raikou,Raikou,Raikou,Raikou,Raikou,洛奇亚,洛奇亞,Lugia,Lugia,Lugia,Lugia,Lugia,1,
113,3,30,302,剧场版动画【水都的守护神 拉帝亚斯与拉帝欧斯】中哪只传说精灵战败被俘获？,劇場版動畫【水都的守護神 拉帝亞斯與拉帝歐斯】中哪只傳說精靈戰敗被俘獲？,Which of the legendary Pokémon in movie [Pokémon Heroes - Latios and Latias] was defeated and captured?,,,,,拉帝欧斯,拉帝歐斯,Latios,Latios,Latios,Latios,Latios,拉帝亚斯,拉帝亞斯,Latias,Latias,Latias,Latias,Latias,化石翼龙,化石翼龍,Aerodactyl,Aerodactyl,Aerodactyl,Aerodactyl,Aerodactyl,镰刀盔,鐮刀盔,Kabutops,Kabutops,Kabutops,Kabutops,Kabutops,1,
114,3,30,302,剧场版动画【梦幻与波导的勇者 路卡利欧】中，以下哪只精灵在保护‘世界初始之树“？,劇場版動畫【夢幻與波導的勇者 路卡利歐】中，以下哪只精靈在保護‘世界初始之樹“？,"In movie [Lucario and the Mystery of Mew], which of the following Pokémon is protecting the ""tree of beginning""?",,,,,雷吉艾斯,雷吉艾斯,Regice,Regice,Regice,Regice,Regice,路卡利欧,路卡利歐,Lucario,Lucario,Lucario,Lucario,Lucario,梦幻,夢幻,Mew,Mew,Mew,Mew,Mew,超梦,超夢,Mewtwo,Mewtwo,Mewtwo,Mewtwo,Mewtwo,1,
115,3,30,302,剧场版动画【酋雷姆VS圣剑士 凯路迪欧】中哪位精灵是圣剑士的领导者？,劇場版動畫【酋雷姆VS聖劍士 凱路迪歐】中哪位精靈是聖劍士的領導者？,Which Pokémon in movie [Kyurem VS. The Sword of Justice] is the leader of the Swords of Justice?,,,,,勾帕路翁,勾帕路翁,Cobalion,Cobalion,Cobalion,Cobalion,Cobalion,代拉基翁,代拉基翁,Terrakion,Terrakion,Terrakion,Terrakion,Terrakion,毕力吉翁,畢力吉翁,Virizion,Virizion,Virizion,Virizion,Virizion,凯路迪欧,凱路迪歐,Keldeo,Keldeo,Keldeo,Keldeo,Keldeo,1,
116,3,30,302,剧场版动画【酋雷姆VS圣剑士 凯路迪欧】中，酋雷姆可以结合谁的力量转变成别的形态？,劇場版動畫【酋雷姆VS聖劍士 凱路迪歐】中，酋雷姆可以結合誰的力量轉變成別的形態？,"In movie [Kyurem VS. The Sword of Justice], whose power can Kyurem combine and transformed into another form?",,,,,捷克罗姆，莱希拉姆,捷克羅姆，萊希拉姆,"Zekrom, Reshiram","Zekrom, Reshiram","Zekrom, Reshiram","Zekrom, Reshiram","Zekrom, Reshiram",帕路奇亚，帝牙卢卡,帕路奇亞，帝牙盧卡,"Palkia, Dialga","Palkia, Dialga","Palkia, Dialga","Palkia, Dialga","Palkia, Dialga",固拉多，盖欧卡,固拉多，蓋歐卡,"Groudon, Kyogre","Groudon, Kyogre","Groudon, Kyogre","Groudon, Kyogre","Groudon, Kyogre",梦幻，超梦,夢幻，超夢,"Mew, Mewtwo","Mew, Mewtwo","Mew, Mewtwo","Mew, Mewtwo","Mew, Mewtwo",1,
117,3,30,302,剧场版动画【波尔凯尼恩与机关人偶玛机雅娜】中，以下哪只超进化形态的精灵没有出现过？,劇場版動畫【波爾凱尼恩與機關人偶瑪機雅娜】中，以下哪只超進化形態的精靈沒有出現過？,Which of the following Mega-evolve Pokémon have not appeared in movie [Volcanion and the Mechanical Marvel]?,,,,,超级喷火龙Y,超級噴火龍Y,Mega Charizard Y,Mega Charizard Y,Mega Charizard Y,Mega Charizard Y,Mega Charizard Y,超级耿鬼,超級耿鬼,Mega Gengar,Mega Gengar,Mega Gengar,Mega Gengar,Mega Gengar,超级路卡利欧,超級路卡利歐,Mega Lucario,Mega Lucario,Mega Lucario,Mega Lucario,Mega Lucario,超级沙奈朵,超級沙奈朵,Mega Gardevoir,Mega Gardevoir,Mega Gardevoir,Mega Gardevoir,Mega Gardevoir,1,
118,3,30,302,剧场版动画【破坏之茧与蒂安希】中，以下哪只神兽精灵没有出现过？,劇場版動畫【破壞之繭與蒂安希】中，以下哪只神獸精靈沒有出現過？,"In movie  [Diancie and the Cocoon of Destruction], which of the following Legendary Pokémons has not appeared?",,,,,基格尔德,基格爾德,Zygarde,Zygarde,Zygarde,Zygarde,Zygarde,超梦,超夢,Mewtwo,Mewtwo,Mewtwo,Mewtwo,Mewtwo,哲尔尼亚斯,哲爾尼亞斯,Xerneas,Xerneas,Xerneas,Xerneas,Xerneas,伊裴尔塔尔,伊裴爾塔爾,Yveltal,Yveltal,Yveltal,Yveltal,Yveltal,1,
119,3,30,302,剧场版动画【神速的盖诺赛克特 超梦觉醒】中，是否出现过异色的盖诺赛克特？,劇場版動畫【神速的蓋諾賽克特 超夢覺醒】中，是否出現過異色的蓋諾賽克特？,"In movie [Genesect and the Legend Awakened], has there ever been a shiny Genesect?",,,,,有，一只异色,有，一只異色,"Yes, a shiny","Yes, a shiny","Yes, a shiny","Yes, a shiny","Yes, a shiny",有，五只异色,有，五只異色,"Yes, five shiny","Yes, five shiny","Yes, five shiny","Yes, five shiny","Yes, five shiny",没有,沒有,None,None,None,None,None,有，两只异色,有，兩只異色,"Yes, two shiny","Yes, two shiny","Yes, two shiny","Yes, two shiny","Yes, two shiny",1,
120,3,30,302,剧场版动画【比克提尼与黑英雄 捷克罗姆】和【比克提尼与白英雄 莱希拉姆】同为系列剧场版的第15部作品，这种说法是否正确？,劇場版動畫【比克提尼與黑英雄 捷克羅姆】和【比克提尼與白英雄 萊希拉姆】同為系列劇場版的第15部作品，這種說法是否正確？,The movie [Pokémon The Movie: White—Victini and Zekrom] and [Pokémon The Movie: Black—Victini and Reshiram] are both the 15th movie of the series. Is this statement correct?,,,,,错误，应该是第14部作品,錯誤，應該是第14部作品,"Error, it should be the 14th","Error, it should be the 14th","Error, it should be the 14th","Error, it should be the 14th","Error, it should be the 14th",错误，应该是第16部作品,錯誤，應該是第16部作品,"Error, it should be the 16th","Error, it should be the 16th","Error, it should be the 16th","Error, it should be the 16th","Error, it should be the 16th",正确,正確,Correct,Correct,Correct,Correct,Correct,无法考证,無法考證,Unable to verify,Unable to verify,Unable to verify,Unable to verify,Unable to verify,1,
121,3,50,303,本游戏中，玩家达到40级且本服开放多少天后可参与石英大会？,本遊戲中，玩家達到40級且本服開放多少天後可參與石英大會？,"In this game, how many days after server launch and player’s reaches level 40 to unlock Indigo Conference?",,,,,9,9,9,9,9,9,9,7,7,7,7,7,7,7,8,8,8,8,8,8,8,10,10,10,10,10,10,10,1,
122,3,50,304,据说看到皮皮满月时做什么动作的人会得到幸福？,據說看到皮皮滿月時做什麽動作的人會得到幸福？,It is said that sees Clefairy at full moon doing what will gets people happiness?,,,,,在满月下跳舞,在滿月下跳舞,Dancing under the full moon,Dancing under the full moon,Dancing under the full moon,Dancing under the full moon,Dancing under the full moon,在满月下唱歌,在滿月下唱歌,Singing under the full moon,Singing under the full moon,Singing under the full moon,Singing under the full moon,Singing under the full moon,在满月下吃蔬果,在滿月下吃蔬果,Eat fruits and vegetables under the full moon,Eat fruits and vegetables under the full moon,Eat fruits and vegetables under the full moon,Eat fruits and vegetables under the full moon,Eat fruits and vegetables under the full moon,在满月下绕圈,在滿月下繞圈,Circle under the full moon,Circle under the full moon,Circle under the full moon,Circle under the full moon,Circle under the full moon,1,
123,3,50,305,可达鸭平时经常头痛，这使它经常忘记事情。那么它头痛激烈可能会发生什么？,可達鴨平時經常頭痛，這使它經常忘記事情。那麽它頭痛激烈可能會發生什麽？,"Psyduck usually has a headache, which makes it often forget things. So what might happen to it with intense headache?",,,,,会释放出不可思议的绝招,會釋放出不可思議的絕招,Will release incredible skill,Will release incredible skill,Will release incredible skill,Will release incredible skill,Will release incredible skill,会迅速的潜入水中,會迅速的潛入水中,Will quickly dive into the water,Will quickly dive into the water,Will quickly dive into the water,Will quickly dive into the water,Will quickly dive into the water,会跳起来飞在空中,會跳起來飛在空中,Will jump up and fly,Will jump up and fly,Will jump up and fly,Will jump up and fly,Will jump up and fly,会回到精灵球中,會回到精靈球中,Will return to the poké ball,Will return to the poké ball,Will return to the poké ball,Will return to the poké ball,Will return to the poké ball,1,
124,3,50,306,以下哪只精灵雌雄同体的？,以下哪只精靈雌雄同體的？,Which of the following Pokémon is hermaphrodite?,,,,,海星星,海星星,Staryu,Staryu,Staryu,Staryu,Staryu,水水獭,水水獺,Oshawott,Oshawott,Oshawott,Oshawott,Oshawott,金鱼王,金魚王,Seaking,Seaking,Seaking,Seaking,Seaking,西狮海壬,西獅海壬,Primarina,Primarina,Primarina,Primarina,Primarina,1,
125,3,50,307,传说它是甲壳类的祖先，也是乌龟的祖先，这是哪只精灵？,傳說它是甲殼類的祖先，也是烏龜的祖先，這是哪只精靈？,It is said that it is the ancestor of crustaceans and tortoises. Which Pokémon is this?,,,,,化石盔,化石盔,Kabuto,Kabuto,Kabuto,Kabuto,Kabuto,化石翼龙,化石翼龍,Aerodactyl,Aerodactyl,Aerodactyl,Aerodactyl,Aerodactyl,石丸子,石丸子,Roggenrola,Roggenrola,Roggenrola,Roggenrola,Roggenrola,菊石兽,菊石獸,Omanyte,Omanyte,Omanyte,Omanyte,Omanyte,1,
126,3,50,308,喷嚏熊的鼻涕是健康的晴雨表，下列说法正确的是,噴嚏熊的鼻涕是健康的晴雨表，下列說法正確的是,Cubchoo’s snot is a barometer of health. Which statement is correct?,,,,,鼻涕粘性越强，身体状态越好,鼻涕粘性越強，身體狀態越好,"The more viscous the snot, the better the body condition","The more viscous the snot, the better the body condition","The more viscous the snot, the better the body condition","The more viscous the snot, the better the body condition","The more viscous the snot, the better the body condition",鼻涕顺滑，代表身体状态好,鼻涕順滑，代表身體狀態好,"Snot is smooth, which means that the body is in good condition","Snot is smooth, which means that the body is in good condition","Snot is smooth, which means that the body is in good condition","Snot is smooth, which means that the body is in good condition","Snot is smooth, which means that the body is in good condition",鼻涕粘性弱，身体状态越好,鼻涕粘性弱，身體狀態越好,"The weaker snot’s stickness is, the better the physical condition","The weaker snot’s stickness is, the better the physical condition","The weaker snot’s stickness is, the better the physical condition","The weaker snot’s stickness is, the better the physical condition","The weaker snot’s stickness is, the better the physical condition",鼻涕越小，代表身体状态好,鼻涕越小，代表身體狀態好,"The smaller the snot, the better the physical condition","The smaller the snot, the better the physical condition","The smaller the snot, the better the physical condition","The smaller the snot, the better the physical condition","The smaller the snot, the better the physical condition",1,
