变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,type,showType,sortVal,totalCount,totalVal,date,conditionType,conditionNum,tipText,tipText_tw,tipText_en,tipText_vn,tipText_kr,tipText_pt,tipText_th,goto
54,VIP等级达到12,VIP等級達到12,Attain VIP level 12,Đạt cấp VIP 12,VIP 12레벨 달성,Alcance o nível VIP 12,ได้รับระดับ VIP 12,1,2,0,10,{rmb=400},7,5,12,,,,,,,,recharge
55,VIP等级达到15,VIP等級達到15,Attain VIP level 15,Đạt cấp VIP 15,VIP 15레벨 달성,Alcance o nível VIP 15,ได้รับระดับ VIP 15,1,2,0,10,{rmb=500},7,5,15,,,,,,,,recharge
56,VIP等级达到16,VIP等級達到16,Attain VIP level 16,Đạt cấp VIP 16,VIP 16레벨 달성,Alcance o nível VIP 16,ได้รับระดับ VIP 16,1,2,0,10,{rmb=500},7,5,16,,,,,,,,recharge
57,VIP等级达到17,VIP等級達到17,Attain VIP level 17,Đạt cấp VIP 17,VIP 17레벨 달성,Alcance o nível VIP 17,ได้รับระดับ VIP 17,1,2,0,10,{rmb=500},7,5,17,,,,,,,,recharge
58,VIP等级达到18,VIP等級達到18,Attain VIP level 18,Đạt cấp VIP 18,VIP 18레벨 달성,Alcance o nível VIP 18,ได้รับระดับ VIP 18,1,2,0,10,{rmb=500},7,5,18,,,,,,,,recharge
,,,,,,,,,,,,,,,,,,,,,,,
60,噩梦副本通关3-1,噩夢副本通關3-1,Clear nightmare level 3-1,Vượt qua phó bản ác mộng cấp 3-1,악몽 던전 3-1 클리어,Limpe o nível de pesadelo 3-1,เคลียร์ฝันร้ายระดับ 3-1,1,1,1,10,{gold=200000},7,2,30301,,,,,,,,30301
61,噩梦副本通关6-1,噩夢副本通關6-1,Clear nightmare level 6-1,Vượt qua phó bản ác mộng cấp 6-1,악몽 던전 6-1 클리어,Limpe o nível de pesadelo 6-1,เคลียร์ฝันร้ายระดับ 6-1,1,1,1,10,{gold=300000},7,2,30601,,,,,,,,30601
62,噩梦副本通关9-1,噩夢副本通關9-1,Clear nightmare level 9-1,Vượt qua phó bản ác mộng cấp 9-1,악몽 던전 9-1 클리어,Limpar pesadelo nível 9-1,เคลียร์ฝันร้ายระดับ 9-1,1,1,1,10,{gold=300000},7,2,30901,,,,,,,,30901
63,噩梦副本通关12-1,噩夢副本通關12-1,Clear nightmare level 12-1,Vượt qua phó bản ác mộng cấp 12-1,악몽 던전 12-1 클리어,Limpe o nível de pesadelo 12-1,เคลียร์ฝันร้ายระดับ 12-1,1,1,1,10,{gold=500000},7,2,31201,,,,,,,,31201
64,噩梦副本通关15-1,噩夢副本通關15-1,Clear nightmare level 15-1,Vượt qua phó bản ác mộng cấp 15-1,악몽 던전 15-1 클리어,Limpe o nível de pesadelo 15-1,เคลียร์ฝันร้ายระดับ 15-1,1,1,1,10,{gold=500000},7,2,31501,,,,,,,,31501
65,噩梦副本通关18-1,噩夢副本通關18-1,Clear nightmare level 18-1,Vượt qua phó bản ác mộng cấp 18-1,악몽 던전 18-1 클리어,Limpe o nível de pesadelo 18-1,เคลียร์ฝันร้ายระดับ 18-1,1,1,1,10,{gold=800000},7,2,31801,,,,,,,,31801
66,噩梦副本通关21-1,噩夢副本通關21-1,Clear nightmare level 21-1,Vượt qua phó bản ác mộng cấp 21-1,악몽 던전 21-1 클리어,Limpe o nível de pesadelo 21-1,เคลียร์ฝันร้ายระดับ 21-1,1,1,1,10,{gold=1200000},7,2,32101,,,,,,,,32101
67,噩梦副本通关22-1,噩夢副本通關22-1,Clear nightmare level 22-1,Vượt qua phó bản ác mộng cấp 22-1,악몽 던전 22-1 클리어,Limpe o nível de pesadelo 22-1,เคลียร์ฝันร้ายระดับ 22-1,1,1,1,10,{gold=1600000},7,2,32201,,,,,,,,32201
