变量名,name,_beizhu,name_tw,name_en,name_vn,name_kr,name_pt,name_th,showType,res,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,scale,type,probability,point,length,big,operateTimePointUp,award,bait,needLv,scene,randType,weight,crossFishingWeight,weightMin,weightMax,weekMax,priority,maxWinTimes,overDeal,rare,speed,escape,randMove,deadTime,time,bookId,competitionSpeed,competitionEscape,competitionRandMove
204,鳃鱼海兽,,鯰魚海獸,Dracovish,Dracovish,어치르돈,Dracovish,อุโอโนรากอน,,config/big_hero/standby/img_883_syhs@.png,config/portrait/jinglingtouxiang/img_883_syhs@.png,会通过释放冷气来冻结四周捕捉猎物，面部的皮肤无论受到什么攻击都不会受伤。,會通過釋放冷氣來凍結四周捕捉獵物，面部的皮膚無論受到什麼攻擊都不會受傷。,"It will freeze the surroundings to catch prey by releasing cold air, and the skin of its face will not be injured no matter what attack it receives.","Nó sẽ làm đóng băng xung quanh để bắt mồi bằng cách giải phóng không khí lạnh, và da mặt của nó sẽ không bị thương dù nhận bất kỳ đòn tấn công nào.",냉기를 내보내 주위를 얼려서 사냥감을 포획하며 얼굴의 피부는 어떤 공격을 받더라도 다치지 않는다.,"Ele congela o ambiente para capturar a presa liberando ar frio, e a pele do seu rosto não será ferida, não importa qual ataque receba.",มันจะแช่แข็งบริเวณโดยรอบเพื่อจับเหยื่อโดยการปล่อยอากาศเย็นออกมา และผิวหนังของใบหน้าจะไม่ได้รับบาดเจ็บ ไม่ว่าจะถูกโจมตีอย่างไรก็ตาม,1,,0.54,1000,<190;220>,215,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<606;616;623>},,,<2>,,30,,,,,,,,3,11,9,<54;80>,0,<10;15>,1,11,10,<47;85>
205,玛瑙水母,,瑪瑙水母,Tentacool,Tentacool,왕눈해,Tentacool,เท็นตาคูล,,config/big_hero/standby/img_72_mnsm@.png,config/portrait/jinglingtouxiang/img_72_mnsm@.png,用身体内的水折射太阳光，将其转化成光束的能量。从像是水晶的眼睛中发射出来。,用身體內的水折射太陽光，將其轉化成光束的能量。從像是水晶的眼睛中發射出來。,The water in the body refracts sunlight and converts it into beam energy. Emitted from the eyes that looked like crystals.,Nước trong cơ thể khúc xạ ánh sáng mặt trời và chuyển hóa nó thành năng lượng tia. Phát ra từ đôi mắt trông giống như pha lê.,몸 안의 물로 태양빛을 굴절시켜 빔의 에너지로 전환해 수정처럼 보이는 눈에서 발사한다.,A água no corpo refrata a luz solar e a converte em energia de feixe. Emitida pelos olhos que pareciam cristais.,น้ำในร่างกายจะหักเหแสงอาทิตย์และเปลี่ยนแสงอาทิตย์ให้เป็นพลังงานลำแสงที่เปล่งออกมาจากดวงตาซึ่งมีลักษณะเหมือนผลึก,1,,0.5,1000,<80;120>,110,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<609;613;623>},,,<3>,,30,,,,,,,,3,10,8,<46;54>,0,<10;15>,1,10,9,<46;87>
206,章鱼桶,,章魚桶,Octillery,Octillery,대포무노,Octillery,ออคทิลเลอรี,,config/big_hero/standby/img_224_zyt@.png,config/portrait/jinglingtouxiang/img_224_zyt@.png,有着爱钻洞的习性。会抢夺别人的巢穴，在里面睡觉。,有著愛鑽洞的習性。會搶奪別人的巢穴，在裡面睡覺。,Has the habit of drilling holes. Will snatch other Pokémon's lair and sleep in it.,Có thói quen đào lỗ. Sẽ cướp hang ổ của các Pokémon khác và ngủ trong đó.,구멍 뚫는 습성이 있다. 남의 둥지를 빼앗아 그 안에서 잔다.,Tem o hábito de furar buracos. Irá roubar o covil de outros Pokémon e dormir nele.,มีนิสัยชอบเจาะรู จะแย่งที่ซ่อนของโปเกมอนตัวอื่นแล้วนอนในนั้น,1,,0.5,1000,<80;120>,110,<<2;8;0.5>;<8;11;0.2>;<11;16;0.1>>,{libs=<609;613;623>},,,<3;999>,,30,100,,,,,,,3,10,8,<46;54>,0,<10;15>,1,10,9,<46;87>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,铁臂枪虾,铁臂枪虾-一次性触发-30次左右,鐵臂槍蝦,Clauncher,Clauncher,완철포,Clauncher,แคลนเชอร์,spine,koudai_tiebiqiangxia/hero_tiebiqiangxia.skel,config/portrait/speedranktouxiang/img_692_tbqx@.png,从巨大的钳子里压缩的水能像枪弹一样击出并且击落飞行中的猎物,從巨大的鉗子裡壓縮的水能像槍彈一樣擊出並且擊落飛行中的獵物,Water compressed from huge pincers can shoot out like a bullet and shoot down prey in flight,Nước được nén từ những chiếc càng khổng lồ có thể bắn ra như một viên đạn và bắn hạ con mồi đang bay.,"커다란 집게발로 압축한 물을 총알처럼 쏘아, 날고 있는 사냥감을 떨어뜨린다.",A água comprimida por pinças enormes pode disparar como uma bala e abater a presa em voo,น้ำที่ถูกอัดจากคีมขนาดใหญ่สามารถพุ่งออกมาเหมือนกระสุนปืนและยิงเหยื่อที่กำลังบินลงมาได้,3.2,2,0.7,100,,,,{card={id=3471}},,,<1;2;3>,2,-1,,0.001,0.0123,3,1,1,3,2,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
1012,铁臂枪虾,铁臂枪虾-150次左右,鐵臂槍蝦,Clauncher,Clauncher,완철포,Clauncher,แคลนเชอร์,spine,koudai_tiebiqiangxia/hero_tiebiqiangxia.skel,config/portrait/speedranktouxiang/img_692_tbqx@.png,从巨大的钳子里压缩的水能像枪弹一样击出并且击落飞行中的猎物,從巨大的鉗子裡壓縮的水能像槍彈一樣擊出並且擊落飛行中的獵物,Water compressed from huge pincers can shoot out like a bullet and shoot down prey in flight,Nước được nén từ những chiếc càng khổng lồ có thể bắn ra như một viên đạn và bắn hạ con mồi đang bay.,"커다란 집게발로 압축한 물을 총알처럼 쏘아, 날고 있는 사냥감을 떨어뜨린다.",A água comprimida por pinças enormes pode disparar como uma bala e abater a presa em voo,น้ำที่ถูกอัดจากคีมขนาดใหญ่สามารถพุ่งออกมาเหมือนกระสุนปืนและยิงเหยื่อที่กำลังบินลงมาได้,3.2,2,0.7,100,,,,{card={id=3471}},,,<1;2;3>,2,-1,,0.02,0.0066,2,1,,3,2,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
1021,稀有角金鱼,稀有角金鱼-一次性触发-10次左右,稀有角金魚,Rare Goldeen,Goldeen Hiếm,드문 콘치,Raro Goldeneen,โกลเด้นหายาก,spine,koudai_jiaojinyu/hero_jiaojinyu.skel,config/portrait/jinglingtouxiang/img_118_jjy@.png,被放入水箱的话，就算是厚厚的玻璃也要用角撞破逃走。,被放入水箱的話，就算是厚厚的玻璃也要用角撞破逃走。,"When putting it into a water tank, even a thick glass can not prevent it to use horn to break and flee.","Khi đặt nó vào bể nước, ngay cả kính dày cũng không thể ngăn nó dùng sừng để phá vỡ và bỏ trốn.",물탱크에 넣으면 아주 두꺼운 유리라도 뿔로 부딪혀 부수고 도망한다.,"Ao colocá-lo em um tanque de água, mesmo um vidro grosso não pode evitar que ele use chifre para quebrar e fugir.",เมื่อใส่ลงในถังน้ำแม้จะเป็นแก้วหนาก็ไม่สามารถป้องกันไม่ให้น้ำเกิดการแตกและไหลออกไปได้,3.2,2,0.7,300,,,,{card={id=541}},,,<1;2;3>,2,-1,,0.01,0.19,3,1,1,3,1,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
1022,稀有角金鱼,稀有角金鱼-100次左右,稀有角金魚,Rare Goldeen,Goldeen Hiếm,드문 콘치,Raro Goldeneen,โกลเด้นหายาก,spine,koudai_jiaojinyu/hero_jiaojinyu.skel,config/portrait/jinglingtouxiang/img_118_jjy@.png,被放入水箱的话，就算是厚厚的玻璃也要用角撞破逃走。,被放入水箱的話，就算是厚厚的玻璃也要用角撞破逃走。,"When putting it into a water tank, even a thick glass can not prevent it to use horn to break and flee.","Khi đặt nó vào bể nước, ngay cả kính dày cũng không thể ngăn nó dùng sừng để phá vỡ và bỏ trốn.",물탱크에 넣으면 아주 두꺼운 유리라도 뿔로 부딪혀 부수고 도망한다.,"Ao colocá-lo em um tanque de água, mesmo um vidro grosso não pode evitar que ele use chifre para quebrar e fugir.",เมื่อใส่ลงในถังน้ำแม้จะเป็นแก้วหนาก็ไม่สามารถป้องกันไม่ให้น้ำเกิดการแตกและไหลออกไปได้,3.2,2,0.7,300,,,,{card={id=541}},,,<1;2;3>,2,-1,,0.001,0.019,2,1,,3,1,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
1031,暴鲤龙,暴鲤龙-一次性触发-150次左右,暴鯉龍,Gyarados,Gyarados,갸라도스,Gyarados,เกียราดอส,spine,koudai_baolilong/hero_baolilong.skel,config/portrait/jinglingtouxiang/img_130_bll@.png,好像有极低概率直接钓到精灵哦,好像有極低概率直接釣到精靈哦,It seems like to have a low chance to get Pokémon on hook,Dường như có xác suất thấp để câu được Pokémon này.,극도로 낮은 확률로 포켓몬을 낚을 수 있다.,Parece que há pouca chance de fisgar Pokémon,ดูเหมือนว่าจะมีโอกาสจับโปเกม่อนได้น้อย,3.2,2,0.7,1000,,,,{card={id=631}},,,<1;2;3>,2,-1,,0.00333,0.01,2,3,1,3,3,11,5,<0;100>,1,<10;15>,0,11,6,<0;0>
1032,暴鲤龙,暴鲤龙-500次左右,暴鯉龍,Gyarados,Gyarados,갸라도스,Gyarados,เกียราดอส,spine,koudai_baolilong/hero_baolilong.skel,config/portrait/jinglingtouxiang/img_130_bll@.png,好像有极低概率直接钓到精灵哦,好像有極低概率直接釣到精靈哦,It seems like to have a low chance to get Pokémon on hook,Dường như có xác suất thấp để câu được Pokémon này.,극도로 낮은 확률로 포켓몬을 낚을 수 있다.,Parece que há pouca chance de fisgar Pokémon,ดูเหมือนว่าจะมีโอกาสจับโปเกม่อนได้น้อย,3.2,2,0.7,1000,,,,{card={id=631}},,,<1;2;3>,2,-1,,0.0005,0.0035,1,3,,3,3,11,5,<0;100>,1,<10;15>,0,11,6,<0;0>
1041,水跃鱼,水跃鱼-一次性触发-250次左右,水躍魚,Mudkip,Mudkip,물짱이,Quipe de lama,มัดคิป,spine,koudai_shuiyueyu/hero_shuiyueyu.skel,config/portrait/jinglingtouxiang/img_258_syy@.png,在水中依靠脸颊的腮呼吸，遇险时发挥的力量足以粉碎比自己还大的岩石。 头上的鳍有雷达的作用，可以判别周围的状况,在水中依靠臉頰的腮呼吸，遇險時發揮的力量足以粉碎比自己還大的岩石。 頭上的鰭有雷達的作用，可以判別周圍的狀況,"Relying on the cheeks to breathe in the water, the force he exerts in distress is enough to crush a rock larger than himself. The fin on its head acts as a radar and can distinguish the surrounding conditions","Dựa vào mang ở hai bên má để thở trong nước, lực mà nó tạo ra khi gặp nguy hiểm đủ để nghiền nát một tảng đá lớn hơn cả bản thân. Vây trên đầu nó hoạt động như một radar và có thể phân biệt được điều kiện xung quanh.",물속에서 뺨의 아가미로 호흡을 하고고 조난을 당했을 때 발휘하는 힘은 자신보다 큰 바위를 분쇄하기도 한다. 머리 위의 지느러미는 레이더같은 역할을 하여 주위 상황을 판별할 수 있다.,"Contando com as bochechas para respirar na água, a força que ele exerce em perigo é suficiente para esmagar uma rocha maior que ele. A barbatana em sua cabeça atua como um radar e pode distinguir as condições do entorno",อาศัยแก้มเพื่อหายใจในน้ำ แรงที่มันออกแรงเมื่ออยู่ในภาวะคับขันก็เพียงพอที่จะบดขยี้หินที่ใหญ่กว่าตัวมันได้ ครีบบนหัวของมันทำหน้าที่เป็นเรดาร์และสามารถแยกแยะสภาพแวดล้อมโดยรอบได้,3.2,2,0.7,1000,,,,{card={id=1311}},,,<1;2;3>,2,-1,,0.002,0.006,2,3,1,3,3,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
1042,水跃鱼,水跃鱼-600次左右,水躍魚,Mudkip,Mudkip,물짱이,Quipe de lama,มัดคิป,spine,koudai_shuiyueyu/hero_shuiyueyu.skel,config/portrait/jinglingtouxiang/img_258_syy@.png,在水中依靠脸颊的腮呼吸，遇险时发挥的力量足以粉碎比自己还大的岩石。 头上的鳍有雷达的作用，可以判别周围的状况,在水中依靠臉頰的腮呼吸，遇險時發揮的力量足以粉碎比自己還大的岩石。 頭上的鰭有雷達的作用，可以判別周圍的狀況,"Relying on the cheeks to breathe in the water, the force he exerts in distress is enough to crush a rock larger than himself. The fin on its head acts as a radar and can distinguish the surrounding conditions","Dựa vào mang ở hai bên má để thở trong nước, lực mà nó tạo ra khi gặp nguy hiểm đủ để nghiền nát một tảng đá lớn hơn cả bản thân. Vây trên đầu nó hoạt động như một radar và có thể phân biệt được điều kiện xung quanh.",물속에서 뺨의 아가미로 호흡을 하고고 조난을 당했을 때 발휘하는 힘은 자신보다 큰 바위를 분쇄하기도 한다. 머리 위의 지느러미는 레이더같은 역할을 하여 주위 상황을 판별할 수 있다.,"Contando com as bochechas para respirar na água, a força que ele exerce em perigo é suficiente para esmagar uma rocha maior que ele. A barbatana em sua cabeça atua como um radar e pode distinguir as condições do entorno",อาศัยแก้มเพื่อหายใจในน้ำ แรงที่มันออกแรงเมื่ออยู่ในภาวะคับขันก็เพียงพอที่จะบดขยี้หินที่ใหญ่กว่าตัวมันได้ ครีบบนหัวของมันทำหน้าที่เป็นเรดาร์และสามารถแยกแยะสภาพแวดล้อมโดยรอบได้,3.2,2,0.7,1000,,,,{card={id=1311}},,,<1;2;3>,2,-1,,0.0004,0.0028,1,3,,3,3,11,5,<19;24>,1,<10;15>,0,11,6,<27;44>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,暴鲤龙碎片,暴鲤龙碎片,暴鯉龍碎片,Gyarados Shard,Mảnh Gyarados,갸라도스 조각,Fragmento de Gyarados,เศษหินเกียราดอส,,config/big_hero/standby/img_130_bll@.png,config/portrait/jinglingtouxiang/img_130_bll@.png,很遗憾他只有碎片,很遺憾他只有碎片,Sorry but he only have shards,Xin lỗi nhưng anh ấy chỉ có các mảnh vỡ.,아쉽게도 그는 조각밖에 없다.,"Desculpe, mas ele só tem cacos",ขออภัยแต่เขามีแต่เศษชิ้นส่วน,1.3,,0.7,500,,,,{20631=1},,,,,15,,,,,,,,3,11,5,<0;100>,1,<15;20>,0,11,6,<0;0>
1102,暴鲤龙碎片,暴鲤龙碎片,暴鯉龍碎片,Gyarados Shard,Mảnh Gyarados,갸라도스 조각,Fragmento de Gyarados,เศษหินเกียราดอส,,config/big_hero/standby/img_130_bll@.png,config/portrait/jinglingtouxiang/img_130_bll@.png,很遗憾他只有碎片,很遺憾他只有碎片,Sorry but he only have shards,Xin lỗi nhưng anh ấy chỉ có các mảnh vỡ.,아쉽게도 그는 조각밖에 없다.,"Desculpe, mas ele só tem cacos",ขออภัยแต่เขามีแต่เศษชิ้นส่วน,1.3,,0.7,500,,,,{20631=2},,,,,15,,,,,,,,3,11,5,<0;100>,1,<15;20>,0,11,6,<0;0>
1111,水跃鱼碎片,水跃鱼碎片,水躍魚碎片,Mudkip Shard,Mảnh Mudkip,물짱이 조각,Fragmento de Mudkip,เศษโคลน,,config/big_hero/standby/img_258_syy@.png,config/portrait/jinglingtouxiang/img_258_syy@.png,很遗憾他只有碎片,很遺憾他只有碎片,Sorry but he only have shards,Xin lỗi nhưng anh ấy chỉ có các mảnh vỡ.,아쉽게도 그는 조각밖에 없다.,"Desculpe, mas ele só tem cacos",ขออภัยแต่เขามีแต่เศษชิ้นส่วน,1.6,,0.7,500,,,,{21311=1},,,,,15,,,,,,,,3,11,5,<19;24>,1,<15;20>,0,11,6,<27;44>
1112,水跃鱼碎片,水跃鱼碎片,水躍魚碎片,Mudkip Shard,Mảnh Mudkip,물짱이 조각,Fragmento de Mudkip,เศษโคลน,,config/big_hero/standby/img_258_syy@.png,config/portrait/jinglingtouxiang/img_258_syy@.png,很遗憾他只有碎片,很遺憾他只有碎片,Sorry but he only have shards,Xin lỗi nhưng anh ấy chỉ có các mảnh vỡ.,아쉽게도 그는 조각밖에 없다.,"Desculpe, mas ele só tem cacos",ขออภัยแต่เขามีแต่เศษชิ้นส่วน,1.6,,0.7,500,,,,{21311=2},,,,,15,,,,,,,,3,11,5,<19;24>,1,<15;20>,0,11,6,<27;44>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,迷你龙碎片,迷你龙碎片,迷你龍碎片,Dratini Shard,Mảnh Dratini,미뇽 조각,Fragmento de Dratini,ดราตินี ชาร์ด,,config/big_hero/standby/img_147_mnl@.png,config/portrait/jinglingtouxiang/img_147_mnl@.png,很遗憾他只有碎片,很遺憾他只有碎片,Sorry but he only have shards,Xin lỗi nhưng anh ấy chỉ có các mảnh vỡ.,아쉽게도 그는 조각밖에 없다.,"Desculpe, mas ele só tem cacos",ขออภัยแต่เขามีแต่เศษชิ้นส่วน,2,,0.65,1000,,,,{20751=1},,,<2;3;999>,,8,,,,,,,,3,11,5,<20;50>,1,<15;20>,0,11,6,<28;46>
1202,迷你龙碎片,迷你龙碎片,迷你龍碎片,Dratini Shard,Mảnh Dratini,미뇽 조각,Fragmento de Dratini,ดราตินี ชาร์ด,,config/big_hero/standby/img_147_mnl@.png,config/portrait/jinglingtouxiang/img_147_mnl@.png,很遗憾他只有碎片,很遺憾他只有碎片,Sorry but he only have shards,Xin lỗi nhưng anh ấy chỉ có các mảnh vỡ.,아쉽게도 그는 조각밖에 없다.,"Desculpe, mas ele só tem cacos",ขออภัยแต่เขามีแต่เศษชิ้นส่วน,2,,0.65,1000,,,,{20751=2},,,<2;3;999>,,8,,,,,,,,3,11,5,<20;50>,1,<15;20>,0,11,6,<28;46>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,陈旧的袋子,陈旧的袋子-随机,陳舊的袋子,Old bag,Túi Cũ,낡은 자루,Bolsa velha,กระเป๋าเก่า,,city/adventure/fishing/pjdz.png,config/item/fishing/icon_box_dz.png,里面似乎有些奇奇怪怪的东西,裡面似乎有些奇奇怪怪的東西,There is something strange in it,Có thứ gì đó kỳ lạ bên trong.,뭔가 이상한 것이 들어 있는 것 같다.,Há algo estranho nisso,มันมีอะไรบางอย่างแปลกๆ อยู่ในนั้น,3,3,1,500,,,,{gold=20000;libs=<631;631>},,,<1;2;3>,,30,,,,,,,,1,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
2002,奇怪的宝箱,奇怪的宝箱-随机,奇怪的寶箱,Strange treasure chest,Rương Báu Kỳ Lạ,이상한 보물 상자,Estranho baú de tesouro,หีบสมบัติประหลาด,,city/adventure/fishing/box_22_1.png,config/item/box/box_22_1.png,里面似乎有些奇奇怪怪的东西,裡面似乎有些奇奇怪怪的東西,There is something strange in it,Có thứ gì đó kỳ lạ bên trong.,뭔가 이상한 것이 들어 있는 것 같다.,Há algo estranho nisso,มันมีอะไรบางอย่างแปลกๆ อยู่ในนั้น,2,3,1,500,,,,{gold=50000;libs=<632;632>},,,<1;2;3>,,10,,,,,,,,1,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
2003,奇怪的宝箱,奇怪的宝箱-随机,奇怪的寶箱,Strange treasure chest,Rương Báu Kỳ Lạ,이상한 보물 상자,Estranho baú de tesouro,หีบสมบัติประหลาด,,city/adventure/fishing/box_22_2.png,config/item/box/box_22_2.png,里面似乎有些奇奇怪怪的东西,裡面似乎有些奇奇怪怪的東西,There is something strange in it,Có thứ gì đó kỳ lạ bên trong.,뭔가 이상한 것이 들어 있는 것 같다.,Há algo estranho nisso,มันมีอะไรบางอย่างแปลกๆ อยู่ในนั้น,2,3,1,500,,,,{gold=100000;rmb=20;libs=<633;633>},,,<1;2;3>,,5,,,,,,,,2,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
2004,奇怪的宝箱,奇怪的宝箱-权值200次左右,奇怪的寶箱,Strange treasure chest,Rương Báu Kỳ Lạ,이상한 보물 상자,Estranho baú de tesouro,หีบสมบัติประหลาด,,city/adventure/fishing/box_22_3.png,config/item/box/box_22_3.png,里面似乎有些奇奇怪怪的东西,裡面似乎有些奇奇怪怪的東西,There is something strange in it,Có thứ gì đó kỳ lạ bên trong.,뭔가 이상한 것이 들어 있는 것 같다.,Há algo estranho nisso,มันมีอะไรบางอย่างแปลกๆ อยู่ในนั้น,2,3,1,500,,,,{gold=200000;rmb=50;libs=<633;633;633;633>},,,<1;2;3>,2,-1,,0.001,0.009,2,1,,3,1,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,奇怪的宝箱,奇怪的宝箱-大量金币-40次出-1次性,奇怪的寶箱,Strange treasure chest,Rương Báu Kỳ Lạ,이상한 보물 상자,Estranho baú de tesouro,หีบสมบัติประหลาด,,city/adventure/fishing/box_22_3.png,config/item/box/box_22_3.png,里面似乎有些奇奇怪怪的东西,裡面似乎有些奇奇怪怪的東西,There is something strange in it,Có thứ gì đó kỳ lạ bên trong.,뭔가 이상한 것이 들어 있는 것 같다.,Há algo estranho nisso,มันมีอะไรบางอย่างแปลกๆ อยู่ในนั้น,2,3,1,500,,,,{gold=1000000},,,<1;2;3>,2,,,0,0.05,3,1,1,3,3,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
2011,奇怪的宝箱,奇怪的宝箱-大量钻石-80次出-1次性,奇怪的寶箱,Strange treasure chest,Rương Báu Kỳ Lạ,이상한 보물 상자,Estranho baú de tesouro,หีบสมบัติประหลาด,,city/adventure/fishing/box_22_3.png,config/item/box/box_22_3.png,里面似乎有些奇奇怪怪的东西,裡面似乎有些奇奇怪怪的東西,There is something strange in it,Có thứ gì đó kỳ lạ bên trong.,뭔가 이상한 것이 들어 있는 것 같다.,Há algo estranho nisso,มันมีอะไรบางอย่างแปลกๆ อยู่ในนั้น,2,3,1,500,,,,{rmb=200},,,<1;2;3>,2,,,0,0.025,3,1,1,3,3,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2101,鱼饵宝箱,奇怪的宝箱-随机,魚餌寶箱,Bait treasure chest,Rương Báu Mồi Câu,미끼 보물 상자,Baú do tesouro de isca,หีบสมบัติเหยื่อ,,city/adventure/fishing/box_22_2.png,config/item/box/box_22_2.png,里面似乎有些奇奇怪怪的东西,裡面似乎有些奇奇怪怪的東西,There is something strange in it,Có thứ gì đó kỳ lạ bên trong.,뭔가 이상한 것이 들어 있는 것 같다.,Há algo estranho nisso,มันมีอะไรบางอย่างแปลกๆ อยู่ในนั้น,2,3,1,500,,,,{7112=1},,,<2;3>,,15,,,,,,,,2,13,10,<15;18>,1,<5;10>,0,13,11,<21;34>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,盖欧卡,大赛专用标记鱼,蓋歐卡,Kyogre,Kyogre,가이오가,Kyogre,ไคโอเกร,,config/big_hero/standby/img_382_gok@.png,config/portrait/jinglingtouxiang/img_382_gok@.png,海洋的王者，只会在钓鱼大赛中出现。,海洋的王者，只會在釣魚大賽中出現。,"King of the ocean, only appear in fishing competition","Vua của đại dương, chỉ xuất hiện trong cuộc thi câu cá.",바다의 왕. 낚시 대회에서만 나타난다.,"Rei do oceano, só aparece em competições de pesca",ราชาแห่งท้องทะเล ปรากฏตัวในงานแข่งขันตกปลาเท่านั้น,2,,0.5,1000,<400;500>,480,<<3;9;0.5>;<9;12;0.2>;<12;20;0.1>>,{21961=1},,,<999>,2,8,,0.05,0.1,4,999,,4,3,8,4,<30;60>,,<15;20>,1,7,5,<43;69>
