变量名,_mailType,tab,icon,sender,sender_tw,sender_en,sender_vn,sender_kr,sender_pt,sender_th,subject,subject_tw,subject_en,subject_vn,subject_kr,subject_pt,subject_th,content,content_tw,content_en,content_vn,content_kr,content_pt,content_th,attachs,special
26,世界BOSS全服结算奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Time-limited Challenge Rewards,世界BOSS全服結算獎勵,Time-limited Challenge Rewards,Phần thưởng Thử thách Giới hạn Thời gian,월드보스 전체 서버 결산 보상,Recompensas do Desafio por Tempo Limitado,รางวัลท้าทายจำกัดเวลา,"Dear players:\n    Your server has hit the target damage against the World Boss battle today! Rewards have been sent via mail, please claim it. \n   Happy gaming!",親愛的小夥伴:\n    您所在的伺服器今日世界BOSS戰鬥中傷害量目標達成！獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear players:\n    Your server has hit the target damage against the World Boss battle today! Rewards have been sent via mail, please claim it. \n   Happy gaming!","Các người chơi thân mến:\n    Máy chủ của bạn đã đạt mục tiêu sát thương trong trận chiến Boss Thế giới hôm nay! Phần thưởng đã được gửi qua thư, vui lòng nhận. \n   Chúc bạn chơi game vui vẻ!",트레이너님: \n   소속 서버가 오늘 월드보스 전투의 피해량 목표를 달성했습니다! 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caros jogadores:\n    Seu servidor atingiu o dano alvo na batalha contra o Chefe Mundial hoje! As recompensas foram enviadas por correio, por favor, resgate. \n   Bom jogo!",ถึงผู้เล่น:\n    เซิร์ฟเวอร์ของคุณทำดาเมจเป้าหมายในการต่อสู้กับบอสโลกวันนี้สำเร็จแล้ว! รางวัลถูกส่งไปทางจดหมายแล้ว โปรดรับรางวัล \n   ขอให้สนุกกับการเล่นเกม!,,
27,公会会长邮件,1,,union Management Center,公會管理中心,union Management Center,union Management Center,길드 관리 센터,Centro de Gerenciamento da Guilda,ศูนย์บริหารกิลด์,Union Announcement,公會通知,Union Announcement,Thông báo Bang hội,길드 알림,Anúncio da Guilda,ประกาศจากกิลด์,,,,,,,,,
28,以太乐园奖励邮件,2,,Aether Staff,以太管理員,Aether Staff,Aether Staff,에테르 관리자,Administrador do Aether,ผู้ดูแลอีเธอร์,Aether Paradise Rewards,以太樂園結算獎勵,Aether Paradise Rewards,Phần thưởng Thiên đường Aether,에테르파라다이스 결산 보상,Recompensas do Paraíso Aether,รางวัลสวรรค์อีเธอร์,Dear trainers: \n    Your performance in the Aether Paradise was amazing! As of 05:00 you've achieved rank No. %d. Please check your mail to claim the rewards. \n    May new achieve new heights the next time!,親愛的小夥伴:\n    您在以太樂園中的表現精彩絕倫，截止到5：00，您的排名為第%d名，結算獎勵已隨郵件發送，請及時查收。\n    祝您勇攀高層!,Dear trainers: \n    Your performance in the Aether Paradise was amazing! As of 05:00 you've achieved rank No. %d. Please check your mail to claim the rewards. \n    May new achieve new heights the next time!,"Các nhà huấn luyện thân mến: \n    Thành tích của bạn tại Thiên đường Aether thật tuyệt vời! Tính đến 05:00, bạn đã đạt hạng %d. Vui lòng kiểm tra thư để nhận phần thưởng. \n    Chúc bạn đạt được những thành tựu mới vào lần sau!","트레이너님: \n   에테르파라다이스에서 멋진 활약을 펼치셨군요. 오늘 05:00까지 %d위를 달성하였으며, 결산 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   그럼 건투를 빌겠습니다!","Caros Treinadores: \n    Seu desempenho no Paraíso Aether foi incrível! Às 05:00, você alcançou o ranque Nº %d. Por favor, verifique seu correio para resgatar as recompensas. \n    Que você alcance novos patamares da próxima vez!",ถึงเหล่าเทรนเนอร์: \n    ผลงานของคุณในสวรรค์อีเธอร์นั้นยอดเยี่ยมมาก! ณ เวลา 05:00 คุณได้รับอันดับที่ %d โปรดตรวจสอบจดหมายของคุณเพื่อรับรางวัล \n    ขอให้คุณประสบความสำเร็จในระดับที่สูงขึ้นในครั้งต่อไป!,,
29,全目标奖励邮件,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,All-target rewards mail,全目標獎勵郵件,All-target rewards mail,Thư phần thưởng toàn mục tiêu,전체 목표 보상 우편,Correio de recompensas de todos os alvos,จดหมายรางวัลเป้าหมายทั้งหมด,"Dear trainers:\n    Your performance in the event was amazing! As of the end of the event, the all-target rewards have been sent to your mail, please check and claim it. \n    Happy gaming!",親愛的小夥伴:\n    您在活動中的表現精彩絕倫，截止活動結束，全目標獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainers:\n    Your performance in the event was amazing! As of the end of the event, the all-target rewards have been sent to your mail, please check and claim it. \n    Happy gaming!","Các nhà huấn luyện thân mến:\n    Thành tích của bạn trong sự kiện thật tuyệt vời! Khi kết thúc sự kiện, phần thưởng toàn mục tiêu đã được gửi vào thư của bạn, vui lòng kiểm tra và nhận. \n    Chúc bạn chơi game vui vẻ!",트레이너님: \n   이벤트에서 멋진 활약을 펼치셨군요. 이벤트 기간 동안의 모든 목표 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caros Treinadores:\n    Seu desempenho no evento foi incrível! Ao final do evento, as recompensas de todos os alvos foram enviadas para o seu correio, por favor, verifique e resgate. \n    Bom jogo!",ถึงเหล่าเทรนเนอร์:\n    ผลงานของคุณในอีเวนต์นั้นยอดเยี่ยมมาก! เมื่อสิ้นสุดอีเวนต์ รางวัลเป้าหมายทั้งหมดได้ถูกส่งไปยังจดหมายของคุณแล้ว โปรดตรวจสอบและรับรางวัล \n    ขอให้สนุกกับการเล่นเกม!,,
30,战力排行排位奖励邮件,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Combat power ranking reward mail,戰力排行排位獎勵郵件,Combat power ranking reward mail,Thư phần thưởng xếp hạng Lực chiến,전투력 순위-순위 보상 우편,Correio de recompensa do ranking de poder de combate,จดหมายรางวัลอันดับพลังต่อสู้,"Dear trainers: \n    Your performance in the combat power ranking was amazing! As of 21:30, rank rewards have been sent to your mail, please check and claim it. \n    Happy gaming!",親愛的小夥伴:\n    您在戰力排行中的表現精彩絕倫，截止到今天21:30，排位獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainers: \n    Your performance in the combat power ranking was amazing! As of 21:30, rank rewards have been sent to your mail, please check and claim it. \n    Happy gaming!","Các nhà huấn luyện thân mến: \n    Thành tích của bạn trong bảng xếp hạng lực chiến thật tuyệt vời! Tính đến 21:30, phần thưởng xếp hạng đã được gửi vào thư của bạn, vui lòng kiểm tra và nhận. \n    Chúc bạn chơi game vui vẻ!",트레이너님: \n   전투력 순위에서 멋진 활약을 펼치셨군요. 오늘 21:30까지의 순위 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caros Treinadores: \n    Seu desempenho no ranking de poder de combate foi incrível! Às 21:30, as recompensas de ranking foram enviadas para o seu correio, por favor, verifique e resgate. \n    Bom jogo!",ถึงเหล่าเทรนเนอร์: \n    ผลงานของคุณในการจัดอันดับพลังต่อสู้นั้นยอดเยี่ยมมาก! ณ เวลา 21:30 รางวัลอันดับได้ถูกส่งไปยังจดหมายของคุณแล้ว โปรดตรวจสอบและรับรางวัล \n    ขอให้สนุกกับการเล่นเกม!,,
31,战力排行战力奖励邮件,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Combat power reward mail,戰力排行戰力獎勵郵件,Combat power reward mail,Thư phần thưởng Lực chiến,전투력 순위-전투력 보상 우편,Correio de recompensa de poder de combate,จดหมายรางวัลพลังต่อสู้,"Dear trainers: \n    Your performance in the combat power ranking was amazing! As of 21:30, rewards have been sent to your mail, please check and claim it. \n    Happy gaming!",親愛的小夥伴:\n    您在戰力排行中的表現精彩絕倫，截止到今天21:30，戰力獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainers: \n    Your performance in the combat power ranking was amazing! As of 21:30, rewards have been sent to your mail, please check and claim it. \n    Happy gaming!","Các nhà huấn luyện thân mến: \n    Thành tích của bạn trong bảng xếp hạng lực chiến thật tuyệt vời! Tính đến 21:30, phần thưởng đã được gửi vào thư của bạn, vui lòng kiểm tra và nhận. \n    Chúc bạn chơi game vui vẻ!",트레이너님: \n   전투력 순위에서 멋진 활약을 펼치셨군요. 오늘 21:30까지의 전투력 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caros Treinadores: \n    Seu desempenho no ranking de poder de combate foi incrível! Às 21:30, as recompensas foram enviadas para o seu correio, por favor, verifique e resgate. \n    Bom jogo!",ถึงเหล่าเทรนเนอร์: \n    ผลงานของคุณในการจัดอันดับพลังต่อสู้นั้นยอดเยี่ยมมาก! ณ เวลา 21:30 รางวัลได้ถูกส่งไปยังจดหมายของคุณแล้ว โปรดตรวจสอบและรับรางวัล \n    ขอให้สนุกกับการเล่นเกม!,,
32,新手欢迎邮件,2,,Agumon,亞古獸,Agumon,Agumon,아구몬,Agumon,อากูมอน,Welcome to the Digital World,歡迎您來到數碼世界,Welcome to the Digital World,Chào mừng đến với Thế giới Kỹ thuật số,포켓몬 세계에 오신 것을 환영합니다,Bem-vindo ao Mundo Digital,ยินดีต้อนรับสู่โลกดิจิทัล,"Dear trainer: \n Welcome to the mysterious and interesting digital world. This is a gift for you, we hope it can help you in youre adventure. \n Happy gaming!",親愛的小夥伴:\n    歡迎您加入神秘有趣的數碼世界，這是一點小禮物，希望能在今後的旅途中幫助到你。\n    祝您遊戲愉快!,"Dear trainer: \n Welcome to the mysterious and interesting digital world. This is a gift for you, we hope it can help you in youre adventure. \n Happy gaming!","Nhà huấn luyện thân mến: \n Chào mừng bạn đến với thế giới kỹ thuật số bí ẩn và thú vị. Đây là một món quà dành cho bạn, chúng tôi hy vọng nó có thể giúp bạn trong cuộc phiêu lưu của mình. \n Chúc bạn chơi game vui vẻ!",트레이너님: \n   신비한 포켓몬 세계에 오신 것을 환영합니다. 환영의 뜻으로 작은 선물을 준비했습니다. 부디 앞으로의 여정에 도움이 되길 바랍니다. \n   즐거운 게임 되시길 바랍니다!,"Caro(a) Treinador(a): \n Bem-vindo ao misterioso e interessante mundo digital. Este é um presente para você, esperamos que possa ajudá-lo em sua aventura. \n Bom jogo!",ถึงเทรนเนอร์: \n ยินดีต้อนรับสู่โลกดิจิทัลที่ลึกลับและน่าสนใจ นี่คือของขวัญสำหรับคุณ เราหวังว่ามันจะช่วยคุณในการผจญภัยของคุณ \n ขอให้สนุกกับการเล่นเกม!,{rmb=188;gold=10000;11=50},
33,限时神兽排名奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Time-limited Legendary Pokémon Rewards,限時神獸排名獎勵,Time-limited Legendary Pokémon Rewards,Phần thưởng Pokémon huyền thoại Giới hạn Thời gian,한정 전설 순위 보상,Recompensas de Pokémon Lendário por Tempo Limitado,รางวัลโปเกมอนในตำนานจำกัดเวลา,Dear trainer:\n    Congratulations for ranking No. %d in the time-limited Legendary Pokémon Event. Please check your mail to claim the rewards.\n    Happy gaming!,親愛的小夥伴:\n    恭喜您在限時神獸活動中獲得第%d名，這是為您發送的獎勵，請注意查收。\n    祝您遊戲愉快!,Dear trainer:\n    Congratulations for ranking No. %d in the time-limited Legendary Pokémon Event. Please check your mail to claim the rewards.\n    Happy gaming!,Nhà huấn luyện thân mến:\n    Chúc mừng bạn đã xếp hạng %d trong Sự kiện Pokémon Huyền thoại Giới hạn Thời gian. Vui lòng kiểm tra thư để nhận phần thưởng.\n    Chúc bạn chơi game vui vẻ!,트레이너님: \n   축하합니다. 한정 전설의 포켓몬 이벤트에서 %d위를 달성했습니다. 보상을 우편으로 전달합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caro(a) Treinador(a):\n    Parabéns por alcançar o ranking Nº %d no Evento de Pokémon Lendário por Tempo Limitado. Por favor, verifique seu correio para resgatar as recompensas.\n    Bom jogo!",ถึงเทรนเนอร์:\n    ขอแสดงความยินดีที่ได้อันดับที่ %d ในอีเวนต์โปเกมอนในตำนานจำกัดเวลา โปรดตรวจสอบจดหมายของคุณเพื่อรับรางวัล\n    ขอให้สนุกกับการเล่นเกม!,,TRUE
34,限时神兽排名积分不足奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Time-limited Legendary Pokémon Rewards,限時神獸排名獎勵,Time-limited Legendary Pokémon Rewards,Phần thưởng Pokémon huyền thoại Giới hạn Thời gian,한정 전설 순위 보상,Recompensas de Pokémon Lendário por Tempo Limitado,รางวัลโปเกมอนในตำนานจำกัดเวลา,"Dear trainer:\n    Congratulations for ranking No. %d in the time-limited Legendary Pokémon Event, as the No. of points you earned have not met the requirements, here are the rewards you've received. Please check your mail to claim them.\n    Happy gaming!",親愛的小夥伴:\n    恭喜您在限時神獸活動中獲得第%d名，由於積分未達到指定要求，這是為您發送的獎勵，請注意查收。\n    祝您遊戲愉快!,"Dear trainer:\n    Congratulations for ranking No. %d in the time-limited Legendary Pokémon Event, as the No. of points you earned have not met the requirements, here are the rewards you've received. Please check your mail to claim them.\n    Happy gaming!","Nhà huấn luyện thân mến:\n    Chúc mừng bạn đã xếp hạng %d trong Sự kiện Pokémon Huyền thoại Giới hạn Thời gian, vì số điểm bạn kiếm được chưa đáp ứng yêu cầu, đây là phần thưởng bạn đã nhận được. Vui lòng kiểm tra thư để nhận chúng.\n    Chúc bạn chơi game vui vẻ!",트레이너님: \n   축하합니다. 한정 전설의 포켓몬 이벤트에서 %d위를 달성했습니다. 아쉽게도 포인트 조건을 달성하지 못했습니다. 보상을 우편으로 전달합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caro(a) Treinador(a):\n    Parabéns por alcançar o ranking Nº %d no Evento de Pokémon Lendário por Tempo Limitado, como o número de pontos que você ganhou não atendeu aos requisitos, aqui estão as recompensas que você recebeu. Por favor, verifique seu correio para resgatá-las.\n    Bom jogo!",ถึงเทรนเนอร์:\n    ขอแสดงความยินดีที่ได้อันดับที่ %d ในอีเวนต์โปเกมอนในตำนานจำกัดเวลา เนื่องจากคะแนนที่คุณได้รับยังไม่ถึงเกณฑ์ นี่คือรางวัลที่คุณได้รับ โปรดตรวจสอบจดหมายของคุณเพื่อรับรางวัล\n    ขอให้สนุกกับการเล่นเกม!,,TRUE
35,元素挑战完成奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Elemental Challenge Completion Rewards,元素挑戰完成獎勵,Elemental Challenge Completion Rewards,Phần thưởng Hoàn thành Thử thách Nguyên tố,엘리멘탈 챌린지 완료 보상,Recompensas de Conclusão do Desafio Elemental,รางวัลสำเร็จการท้าทายธาตุ,Dear trainers:\n    Congratulations! There are %d members in your team who have successfully clear the Element Challenge! This are the rewards for you!\n    Happy gaming!,親愛的小夥伴:\n    恭喜您所在的元素挑戰隊伍有%d人成功完成挑戰，這是為您發送的獎勵，請注意查收\n    祝您遊戲愉快!,Dear trainers:\n    Congratulations! There are %d members in your team who have successfully clear the Element Challenge! This are the rewards for you!\n    Happy gaming!,Các nhà huấn luyện thân mến:\n    Chúc mừng! Có %d thành viên trong đội của bạn đã vượt qua Thử thách Nguyên tố thành công! Đây là phần thưởng dành cho bạn!\n    Chúc bạn chơi game vui vẻ!,트레이너님: \n   축하합니다. 엘리멘탈 챌린지 소속 파티에서 %d명이 도전에 성공했습니다. 보상을 우편으로 전달합니다. 제때 수령해 주세요.\n   즐거운 게임 되시길 바랍니다!,Caros Treinadores:\n    Parabéns! Há %d membros em sua equipe que limparam com sucesso o Desafio Elemental! Estas são as recompensas para você!\n    Bom jogo!,ถึงเหล่าเทรนเนอร์:\n    ขอแสดงความยินดี! มีสมาชิก %d คนในทีมของคุณที่เคลียร์การท้าทายธาตุสำเร็จ! นี่คือรางวัลสำหรับคุณ!\n    ขอให้สนุกกับการเล่นเกม!,,
36,公会副本伤害排行奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,union Dungeon Damage Ranking Reward,公會副本傷害排行獎勵,union Dungeon Damage Ranking Reward,Phần thưởng Xếp hạng Sát thương Phó bản Bang hội,길드 던전 피해 순위 보상,Recompensa do Ranking de Dano da Masmorra da Guilda,รางวัลอันดับดาเมจดันเจี้ยนกิลด์,"Dear trainers: \n    Congratulations! You rank number %d in damage dealt at the union's %s dungeon and contributed %d damage. Please claim your rewards in the mail. Other members, keep up the good work and see you soon at the top.\n    Good luck!",親愛的小夥伴:\n    恭喜您在公會%s副本傷害排行中獲得第%d名，貢獻了%d點傷害，傷害排行獎勵已隨郵件發送，請及時查收。望其他成員再接再厲，勇攀高峰。\n    祝您遊戲愉快!,"Dear trainers: \n    Congratulations! You rank number %d in damage dealt at the union's %s dungeon and contributed %d damage. Please claim your rewards in the mail. Other members, keep up the good work and see you soon at the top.\n    Good luck!","Các nhà huấn luyện thân mến: \n    Chúc mừng! Bạn xếp hạng %d về sát thương gây ra tại phó bản %s của bang hội và đã đóng góp %d sát thương. Vui lòng nhận phần thưởng trong thư. Các thành viên khác, hãy tiếp tục cố gắng và hẹn gặp lại bạn ở đỉnh cao.\n    Chúc may mắn!","트레이너님: \n   축하합니다. 길드 %s 던전의 피해 순위에서 %d위를 달성하였으며, %d의 피해를 입혔습니다. 피해 순위 보상을 우편으로 지급합니다. 제때 수령해 주세요. 다른 트레이너들도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!","Caros Treinadores: \n    Parabéns! Você está no ranking número %d em dano causado na masmorra %s da guilda e contribuiu com %d de dano. Por favor, resgate suas recompensas no correio. Outros membros, continuem o bom trabalho e nos vemos em breve no topo.\n    Boa sorte!",ถึงเหล่าเทรนเนอร์: \n    ขอแสดงความยินดี! คุณได้อันดับที่ %d ในการทำดาเมจในดันเจี้ยน %s ของกิลด์และทำดาเมจไป %d โปรดรับรางวัลของคุณในจดหมาย สมาชิกคนอื่นๆ พยายามต่อไป แล้วพบกันที่จุดสูงสุด\n    ขอให้โชคดี!,,
37,公会副本额外奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,union Dungeon additional rewards,公會副本額外獎勵,union Dungeon additional rewards,Phần thưởng bổ sung Phó bản Bang hội,길드 던전 추가 보상,Recompensas adicionais da Masmorra da Guilda,รางวัลเพิ่มเติมดันเจี้ยนกิลด์,"Dear trainers:\n    Your performance in %s's union Dungeon event was amazing! The random Boss SP.ATK damage rewards have been sent to your mail, please check and claim it. \n Other members, keep up the good work and see you soon at the top.\n    Happy gaming!",親愛的小夥伴:\n    您在公會%s副本中的表現精彩絕倫，BOSS特殊傷害隨機獎勵已隨郵件發送，請及時查收。望其他成員再接再厲，勇攀高峰。\n    祝您遊戲愉快!,"Dear trainers:\n    Your performance in %s's union Dungeon event was amazing! The random Boss SP.ATK damage rewards have been sent to your mail, please check and claim it. \n Other members, keep up the good work and see you soon at the top.\n    Happy gaming!","Các nhà huấn luyện thân mến:\n    Thành tích của bạn trong sự kiện Phó bản Bang hội của %s thật tuyệt vời! Phần thưởng sát thương SP.ATK ngẫu nhiên của Boss đã được gửi vào thư của bạn, vui lòng kiểm tra và nhận. \n Các thành viên khác, hãy tiếp tục cố gắng và hẹn gặp lại bạn ở đỉnh cao.\n    Chúc bạn chơi game vui vẻ!",트레이너님: \n   길드 %s 던전에서 멋진 활약을 펼치셨군요. 보스의 특수 피해 랜덤 보상을 우편으로 지급합니다. 제때 수령해 주세요. 다른 트레이너들도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caros Treinadores:\n    Seu desempenho no evento de Masmorra da Guilda de %s foi incrível! As recompensas de dano SP.ATK aleatórias do Chefe foram enviadas para o seu correio, por favor, verifique e resgate. \n Outros membros, continuem o bom trabalho e nos vemos em breve no topo.\n    Bom jogo!",ถึงเหล่าเทรนเนอร์:\n    ผลงานของคุณในอีเวนต์ดันเจี้ยนกิลด์ของ %s นั้นยอดเยี่ยมมาก! รางวัลดาเมจ SP.ATK แบบสุ่มของบอสได้ถูกส่งไปยังจดหมายของคุณแล้ว โปรดตรวจสอบและรับรางวัล \n สมาชิกคนอื่นๆ พยายามต่อไป แล้วพบกันที่จุดสูงสุด\n    ขอให้สนุกกับการเล่นเกม!,,
38,石英大会战斗奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Indigo Plateau Conference Victory Rewards,石英大會勝利獎勵,Indigo Plateau Conference Victory Rewards,Phần thưởng Chiến thắng Hội nghị Cao nguyên Chàm,석영 대회 승리 보상,Recompensas de Vitória da Conferência do Planalto Índigo,รางวัลชนะเลิศการประชุมที่ราบสูงอินดิโก,Dear trainer:\n You've achieved %d victories and %d defeats and earned %d points in the Indigo Plateau Conference. Please check your mail to claim the rewards.\n    Happy gaming!,親愛的小夥伴:\n    您在石英大會中取得%d勝%d負，%d積分的戰績，戰鬥獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainer:\n You've achieved %d victories and %d defeats and earned %d points in the Indigo Plateau Conference. Please check your mail to claim the rewards.\n    Happy gaming!,Nhà huấn luyện thân mến:\n Bạn đã đạt được %d chiến thắng và %d thất bại và kiếm được %d điểm trong Hội nghị Cao nguyên Chàm. Vui lòng kiểm tra thư để nhận phần thưởng.\n    Chúc bạn chơi game vui vẻ!,"트레이너님: \n   석영 대회에서 %d승 %d패, %d포인트의 전적을 달성하였으며, 전투 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!","Caro(a) Treinador(a):\n Você alcançou %d vitórias e %d derrotas e ganhou %d pontos na Conferência do Planalto Índigo. Por favor, verifique seu correio para resgatar as recompensas.\n    Bom jogo!",ถึงเทรนเนอร์:\n คุณได้รับชัยชนะ %d ครั้งและพ่ายแพ้ %d ครั้ง และได้รับ %d คะแนนในการประชุมที่ราบสูงอินดิโก โปรดตรวจสอบจดหมายของคุณเพื่อรับรางวัล\n    ขอให้สนุกกับการเล่นเกม!,,
39,石英大会排名奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Indigo Plateau Conference Ranking Rewards,石英大會排名獎勵,Indigo Plateau Conference Ranking Rewards,Phần thưởng Xếp hạng Hội nghị Cao nguyên Chàm,석영 대회 순위 보상,Recompensas de Ranking da Conferência do Planalto Índigo,รางวัลอันดับการประชุมที่ราบสูงอินดิโก,Dear trainer: \n    Congratulations for achieving rank No. %d in the Indigo Plateau Conference! Please check your mail to receive your ranking rewards. Do keep up the good work and see you soon at the top.\n    Happy gaming!,親愛的小夥伴:\n    恭喜您在石英大會中獲得第%d名，排名獎勵已隨郵件發送，請及時查收。望再接再厲，勇攀高峰。\n    祝您遊戲愉快!,Dear trainer: \n    Congratulations for achieving rank No. %d in the Indigo Plateau Conference! Please check your mail to receive your ranking rewards. Do keep up the good work and see you soon at the top.\n    Happy gaming!,Nhà huấn luyện thân mến: \n    Chúc mừng bạn đã đạt hạng %d tại Hội nghị Cao nguyên Chàm! Vui lòng kiểm tra thư để nhận phần thưởng xếp hạng của bạn. Hãy tiếp tục cố gắng và hẹn gặp lại bạn ở đỉnh cao.\n    Chúc bạn chơi game vui vẻ!,"트레이너님: \n   축하합니다. 석영 대회에서 %d위를 달성하였으며, 순위 보상을 우편으로 지급합니다. 제때 수령해 주세요. 앞으로도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!","Caro(a) Treinador(a): \n    Parabéns por alcançar o ranking Nº %d na Conferência do Planalto Índigo! Por favor, verifique seu correio para receber suas recompensas de ranking. Continue o bom trabalho e nos vemos em breve no topo.\n    Bom jogo!",ถึงเทรนเนอร์: \n    ขอแสดงความยินดีที่ได้รับอันดับที่ %d ในการประชุมที่ราบสูงอินดิโก! โปรดตรวจสอบจดหมายของคุณเพื่อรับรางวัลอันดับของคุณ พยายามต่อไป แล้วพบกันที่จุดสูงสุด\n    ขอให้สนุกกับการเล่นเกม!,,
40,石英大会下注冠军奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Indigo Plateau Conference Betting Rewards,石英大會下注獎勵,Indigo Plateau Conference Betting Rewards,Phần thưởng Đặt cược Hội nghị Cao nguyên Chàm,석영 대회 베팅 보상,Recompensas de Aposta da Conferência do Planalto Índigo,รางวัลเดิมพันการประชุมที่ราบสูงอินดิโก,"Dear trainers:\n    Congratulations for making the right guess, %s is the winner of the Indigo Plateau Conference! Please check your mail to receive your betting rewards.\n    Happy gaming!",親愛的小夥伴:\n    恭喜您在石英大會中成功預測%s奪冠，下注獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainers:\n    Congratulations for making the right guess, %s is the winner of the Indigo Plateau Conference! Please check your mail to receive your betting rewards.\n    Happy gaming!","Các nhà huấn luyện thân mến:\n    Chúc mừng bạn đã đoán đúng, %s là người chiến thắng của Hội nghị Cao nguyên Chàm! Vui lòng kiểm tra thư để nhận phần thưởng đặt cược của bạn.\n    Chúc bạn chơi game vui vẻ!","트레이너님: \n   축하합니다. 석영 대회에서 %s의 우승 예측에 성공하였으며, 베팅 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!","Caros Treinadores:\n    Parabéns por acertar o palpite, %s é o vencedor da Conferência do Planalto Índigo! Por favor, verifique seu correio para receber suas recompensas de aposta.\n    Bom jogo!","ถึงเหล่าเทรนเนอร์:\n    ขอแสดงความยินดีที่ทายถูก, %s คือผู้ชนะของการประชุมที่ราบสูงอินดิโก! โปรดตรวจสอบจดหมายของคุณเพื่อรับรางวัลเดิมพันของคุณ\n    ขอให้สนุกกับการเล่นเกม!",,
