变量名,name,_name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,_name,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,unitIDs,activeType,skinFrameRes,markID,attrAddType,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,rank,costMap,extraItem,isOpen,languages
153,Brahma Flame,梵天烈焰,梵天烈焰,Brahma Flame,Ngọn lửa Brahma,브라흐마의 불꽃,Chama de Brahma,เปลวไฟพระพรหม,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3242=3243},2,city/drawcard/draw/panel_card_r.png,3241,1,9,10%,10,10%,25,1000,0,,1,{},{},TRUE,
154,Bamboo Forest Blade Shadow,竹林刀影,竹林刀影,Bamboo Forest Blade Shadow,Bóng Đao Rừng Trúc,대나무 숲의 그림자,Sombra da Lâmina da Floresta de Bambu,เงาดาบป่าไผ่,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{9141=9143},2,city/drawcard/draw/panel_card_r.png,9141,1,9,10%,10,10%,25,1000,0,,1,{},{},TRUE,
155,White Feathered Paladin,白羽圣骑,白羽聖騎,White Feathered Paladin,Hiệp sĩ Lông Trắng,백깃 갑옷 기사,Paladino de Penas Brancas,อัศวินขนนกสีขาว,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{9111=9112},2,city/drawcard/draw/panel_card_r.png,9111,1,9,10%,10,10%,25,1000,0,,1,{},{},TRUE,
156,Illusion Sea Tide,幻海潮生,幻海潮生,Illusion Sea Tide,Sóng Ảo Ảnh,환상의 바다,Mar de Ilusões,กระแสน้ำมายา,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{2421=2424},2,city/drawcard/draw/panel_card_r.png,2421,1,9,10%,10,10%,25,1000,0,,1,{},{},TRUE,
157,Justice Navy Soul,义海军魂,義海軍魂,Justice Navy Soul,Linh hồn Hải quân Công lý,정의의 해군 영혼,Alma da Marinha da Justiça,วิญญาณกองทัพแห่งความยุติธรรม,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{4161=4163},2,city/drawcard/draw/panel_card_r.png,4161,1,9,10%,10,10%,25,1000,0,,1,{},{},TRUE,
158,Kangjin Dragon,亢金龙,亢金龍,Kangjin Dragon,Rồng Kangjin,강진 드래곤,Dragão Kangjin,มังกรคังจิน,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{9161=9162},2,city/drawcard/draw/panel_card_r.png,9161,1,9,10%,10,10%,25,1000,0,,1,{},{},TRUE,
159,Dragon King Shitian,释天龙王,釋天龍王,Dragon King Shitian,Long Vương Shitian,용왕 시티엔,Rei Dragão Shitian,ราชามังกรซือเถียน,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3244=3246},2,city/drawcard/draw/panel_card_r.png,3244,1,9,10%,10,10%,25,1000,0,,1,{},{},TRUE,
160,Dream Elixir,幻梦试剂,幻夢試劑,Dream Elixir,Tiên dược Giấc mơ,꿈의 영약,Elixir do Sonho,ยาอายุวัฒนะแห่งความฝัน,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{4192=4193},2,city/drawcard/draw/panel_card_h.png,4191,1,9,5%,10,5%,25,500,0,,1,{},{},TRUE,
161,Thunder Auspicious Cloud,雷电祥云,雷電祥雲,Thunder Auspicious Cloud,Mây Lành Sấm sét,천둥길상 구름,Nuvem Trovão Auspiciosa,เมฆมงคลสายฟ้า,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{731=732},2,city/drawcard/draw/panel_card_h.png,731,1,9,5%,10,5%,25,500,0,,1,{},{},TRUE,
162,Destined Monkey,天命猴,天命猴,Destined Monkey,Khỉ Định Mệnh,운명의 원숭이,Macaco do Destino,ลิงแห่งโชคชะตา,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{2023=2024},2,city/drawcard/draw/panel_card_h.png,2021,1,9,5%,10,5%,25,500,0,,1,{},{},TRUE,
163,Tamon King,多闻天王,多聞天王,Tamon King,Vua Tamon,타몬 왕,Rei Tamon,ราชาทา มน,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3191=3192},2,city/drawcard/draw/panel_card_h.png,3191,1,9,5%,10,5%,25,500,0,,1,{},{},TRUE,
164,Chikoku King,持国天王,持國天王,Chikoku King,Vua Chikoku,치코쿠 왕,Rei Chikoku,ราชาชิโกคุ,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3201=3202},2,city/drawcard/draw/panel_card_h.png,3201,1,9,5%,10,5%,25,500,0,,1,{},{},TRUE,
165,Slaughter Chainsaw,杀戮电锯,殺戮電鋸,Slaughter Chainsaw,Cưa Máy Tàn Sát,학살의 전기톱,Serra Elétrica da Carnificina,เลื่อยยนต์นักฆ่า,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{4081=4082},2,city/drawcard/draw/panel_card_h.png,4081,1,9,5%,10,5%,25,500,0,,1,{},{},TRUE,
166,Abyss Altar,深渊祭坛,深淵祭壇,Abyss Altar,Bàn thờ Vực sâu,심연의 제단,Altar do Abismo,แท่นบูชาห้วงลึก,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{4141=4142},2,city/drawcard/draw/panel_card_h.png,4141,1,9,5%,10,5%,25,500,0,,1,{},{},TRUE,
167,Electric Music Rhapsody,电音狂想,電音狂想,Electric Music Rhapsody,Rhapsody Âm nhạc Điện tử,전자 음악 광시곡,Rapsódia da Música Eletrônica,แรปโซดีดนตรีอิเล็กทรอนิกส์,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{4201=4202},2,city/drawcard/draw/panel_card_h.png,4201,1,9,5%,10,5%,25,500,0,,1,{},{},TRUE,
168,Royal Knight,皇家骑士,皇家騎士,Royal Knight,Hiệp sĩ Hoàng gia,왕실 기사,Cavaleiro Real,อัศวินหลวง,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{2411=2412},2,city/drawcard/draw/panel_card_h.png,2411,1,9,5%,10,5%,25,500,0,,1,{},{},TRUE,
169,Tiger Vanguard,虎先锋,虎先鋒,Tiger Vanguard,Tiên phong Hổ,호랑이 선봉,Vanguarda do Tigre,แนวหน้าเสือ,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3673=3674},2,city/drawcard/draw/panel_card_h.png,3671,1,9,5%,10,5%,25,500,0,,1,{},{},TRUE,
170,Sun-devouring Nebula,噬日星云,噬日星雲,Sun-devouring Nebula,Tinh vân Nuốt Mặt Trời,태양을 삼킨 성운,Névoa que Devora o Sol,หมอกกลืนกินดวงอาทิตย์,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{9211=9212},2,city/drawcard/draw/panel_card_r.png,9211,1,1,10%,9,10%,10,10%,0,,1,{},{},TRUE,
171,Flame Gun Soul,烈焰枪魂,烈焰槍魂,Flame Gun Soul,Linh Hồn Súng Lửa,불꽃 총혼,Alma da Arma Flamejante,จิตวิญญาณปืนไฟ,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{9051=9052},2,city/drawcard/draw/panel_card_r.png,9051,1,1,10%,9,10%,10,10%,0,,1,{},{},TRUE,
