变量名,fmt,fmt_tw,fmt_en,fmt_vn,fmt_kr,fmt_pt,fmt_th
31007,#C0xFFF5D6#6.每个矿点对应一个排名，排名越高，积分越高，驯兽师可以通过附近矿区挑战更高排名的玩家提高排名，也可直接通过高级矿区直接挑战前10名的矿点,#C0xFFF5D6#6.每個礦點對應一個排名，排名越高，積分越高，馴獸師可以通過附近礦區挑戰更高排名的玩家提高排名，也可直接通過高級礦區直接挑戰前10名的礦點,"#C0xFFF5D6#6. Each mine corresponds to a ranking. The higher the ranking, the higher the points. Trainers can challenge the higher ranked players through the nearby mines to improve the ranking, or can proceed to the advanced mining area directly and challenge the top 10 mines","#C0xFFF5D6#6. Mỗi Mỏ tương ứng 1 thứ hạng, thứ hạng càng cao, điểm càng cao, HLV có thể thách đấu người chơi thứ hạng cao hơn của các Mỏ xung quanh để tăng thứ hạng, hoặc thách đấu TOP10 Mỏ tại Khu Mỏ Cao Cấp.","""#C0xFFF5D6#6. 각 광산에는 개별적으로 순위가 존재하며, 순위가 높을수록 포인트가 증가합니다. 트레이너는 근처 광산의 더 높은 순위의 유저에게 도전하거나, 고급 광산 구역에서 상위 10위의 광산에 도전할 수 있습니다.""","#C0xFFF5D6#6. Cada mina corresponde a uma classificação. Quanto maior a classificação, maiores os pontos. Os treinadores podem desafiar os jogadores de classificação mais alta através das minas próximas para melhorar a classificação, ou podem prosseguir diretamente para a área de mineração avançada e desafiar as 10 melhores minas",#C0xFFF5D6#6 เหมืองแต่ละแห่งจะสอดคล้องกับอันดับ ยิ่งอันดับสูงขึ้น คะแนนก็จะสูงขึ้น ผู้ฝึกสอนสามารถท้าทายผู้เล่นที่มีอันดับสูงกว่าผ่านเหมืองใกล้เคียงเพื่อปรับปรุงอันดับ หรือสามารถดำเนินการไปยังพื้นที่การขุดขั้นสูงโดยตรงและท้าทายเหมือง 10 อันดับแรก
,,,,,,,
32001,#C0xFFF5D6#1.矿石资源可用于鼓舞矿石兽和在矿战商店中兑换道具,#C0xFFF5D6#1.礦石資源可用於鼓舞礦石獸和在礦戰商店中兌換道具,#C0xFFF5D6#1. Ore resources can be used to encourage Gottsumon and exchange for items in the Mine War shop,#C0xFFF5D6#1. Tài nguyên Khoáng dùng cổ vũ Gottsumon và đổi đạo cụ trong Shop Mỏ Chiến,#C0xFFF5D6#1. 광석 자원은 울퉁몬을 격려하거나 광산 전투 상점에서 아이템 교환에 사용할 수 있습니다.,#C0xFFF5D6#1. Recursos de minério podem ser usados para encorajar Gottsumon e trocar por itens na loja Mine War,#C0xFFF5D6#1 สามารถใช้ทรัพยากรแร่เพื่อส่งเสริม Gottsumon และแลกเปลี่ยนเป็นไอเทมในร้านค้า Mine War
32002,#C0xFFF5D6#2.鼓舞矿石兽可为全服玩家或个人提供buff加成,#C0xFFF5D6#2.鼓舞礦石獸可為全服玩家或個人提供buff加成,#C0xFFF5D6#2. Buff bonuses can be given to individuals or all trainers in the server by encouraging Gottsumon.,#C0xFFF5D6#2. Cổ vũ Gottsumon tăng BUFF cho người chơi toàn server hoặc cá nhân,#C0xFFF5D6#2. 울퉁몬 격려 시 전체 서버 또는 개인에게 버프 보너스가 제공됩니다.,#C0xFFF5D6#2. Bônus de bônus podem ser dados a indivíduos ou a todos os treinadores no servidor ao encorajar Gottsumon.,#C0xFFF5D6#2 โบนัสบัฟสามารถมอบให้กับบุคคลหรือเทรนเนอร์ทุกคนในเซิร์ฟเวอร์ได้โดยการกระตุ้น Gottsumon
32003,#C0xFFF5D6#3.矿点可以生产矿石，每10分钟结算一次，排名越高，生产速度越快,#C0xFFF5D6#3.礦點可以生產礦石，每10分鐘結算一次，排名越高，生產速度越快,"#C0xFFF5D6#3. Mines can produce ores, where the amount of ore produced is tabulated once every 10 minutes. The higher the ranking, the faster the production speed.","#C0xFFF5D6#3. Mỏ sản xuất Khoáng, mỗi 10 phút tổng kết 1 lần, xếp hạng càng cao, tốc độ sản xuất càng nhanh","""#C0xFFF5D6#3. 광산에서는 광석을 생산하며, 10분마다 1회 결산을 진행합니다. 순위가 높을수록 생산 속도가 증가합니다.""","#C0xFFF5D6#3. As minas podem produzir minérios, onde a quantidade de minério produzida é tabulada uma vez a cada 10 minutos. Quanto maior a classificação, mais rápida a velocidade de produção.",#C0xFFF5D6#3 เหมืองแร่สามารถผลิตแร่ได้ โดยปริมาณแร่ที่ผลิตได้จะถูกบันทึกเป็นตารางทุก ๆ 10 นาที ยิ่งอันดับสูง ความเร็วในการผลิตก็จะยิ่งเร็วขึ้น
32004,#C0xFFF5D6#4.驯兽师们可向其他玩家的矿点发起抢夺,#C0xFFF5D6#4.馴獸師們可向其他玩家的礦點發起搶奪,#C0xFFF5D6#4. Trainers can loot other trainers' mines,#C0xFFF5D6#4. HLV có thể cướp Mỏ của người chơi khác,#C0xFFF5D6#4. 트레이너는 다른 유저의 광산을 약탈할 수 있습니다.,#C0xFFF5D6#4. Os treinadores podem saquear as minas de outros treinadores,#C0xFFF5D6#4 ผู้ฝึกสามารถปล้นทุ่นระเบิดของผู้ฝึกคนอื่นได้
32005,#C0xFFF5D6#5.抢夺本服玩家、战力比自己低太多的玩家时无法获得矿石,#C0xFFF5D6#5.搶奪本服玩家、戰力比自己低太多的玩家時無法獲得礦石,#C0xFFF5D6#5. Ores will not be given when you loot players of the same server or players with combat power much lower than yours,"#C0xFFF5D6#5. Cướp người chơi cùng server, người chơi POWER thấp hơn quá nhiều không nhận được Khoáng",#C0xFFF5D6#5. 본 서버의 유저 또는 자신보다 전투력이 많이 낮은 유저를 약탈할 경우 광석을 획득할 수 없습니다.,#C0xFFF5D6#5. Minérios não serão dados quando você saquear jogadores do mesmo servidor ou jogadores com poder de combate muito menor que o seu,#C0xFFF5D6#5 จะไม่ได้รับแร่เมื่อคุณปล้นผู้เล่นในเซิร์ฟเวอร์เดียวกันหรือผู้เล่นที่มีพลังการต่อสู้ต่ำกว่าคุณมาก
32006,#C0xFFF5D6#6.矿点存在被抢夺上限，每次抢夺的数量无法超过被抢夺上限,#C0xFFF5D6#6.礦點存在被搶奪上限，每次搶奪的數量無法超過被搶奪上限,"#C0xFFF5D6#6. There is a maximum number of loot chances, and the number of loots cannot be more than the maximum loot chances given.","#C0xFFF5D6#6. Mỏ có giới hạn bị cướp, số lượng cướp mỗi lần không quá giới hạn bị cướp","""#C0xFFF5D6#6. 광산에는 약탈 한도가 존재하며, 매회 약탈 수량은 약탈 한도를 초과할 수 없습니다.""","#C0xFFF5D6#6. Há um número máximo de chances de saque, e o número de saques não pode ser maior que as chances máximas de saque dadas.",#C0xFFF5D6#6 มีจำนวนโอกาสดรอปสูงสุด และจำนวนโอกาสดรอปไม่สามารถเกินกว่าโอกาสดรอปสูงสุดที่กำหนดไว้
32007,#C0xFFF5D6#7.跨服矿战竞争激烈，在抢夺过程中目标玩家可能存在矿石变更，最终抢到的资源可能少于抢夺界面看到的资源数，先下手为强哟,#C0xFFF5D6#7.跨服礦戰競爭激烈，在搶奪過程中目標玩家可能存在礦石變更，最終搶到的資源可能少於搶奪介面看到的資源數，先下手為強喲,"#C0xFFF5D6#7. What a fierce competition in the Global Mine War. During the looting process, as there may be changes to the target trainer's mine, the resources that are looted may eventually be lesser what is seen on the interface. Anyway, fastest fingers first!","#C0xFFF5D6#7. Mỏ Chiến Liên Server cạnh tranh cao, trong quá trình cướp người chơi mục tiêu có thể thay đổi Khoáng, tài nguyên cướp được cuối cùng có thể ít hơn số lượng tài nguyên trong giao diện cướp, nhanh tay nhanh tay","""#C0xFFF5D6#7. 글로벌 광산 전투에서는 약탈 중 대상 유저의 광석에 변동이 발생할 수 있으며, 따라서 최종 획득 자원은 약탈 실행 시 확인한 자원량과 다를 수 있습니다.""","#C0xFFF5D6#7. Que competição feroz na Guerra Global de Minas. Durante o processo de saque, como pode haver mudanças na mina do treinador alvo, os recursos que são saqueados podem eventualmente ser menores do que o que é visto na interface. De qualquer forma, dedos mais rápidos primeiro!",#C0xFFF5D6#7 การแข่งขันที่ดุเดือดในสงครามทุ่นระเบิดระดับโลก ระหว่างกระบวนการปล้น เนื่องจากอาจมีการเปลี่ยนแปลงทุ่นระเบิดของผู้ฝึกสอนเป้าหมาย ทรัพยากรที่ถูกปล้นอาจลดลงในที่สุดจากที่เห็นในอินเทอร์เฟซ อย่างไรก็ตาม รีบคว้านิ้วให้เร็วที่สุด!
,,,,,,,
33001,#C0xFFF5D6#1.驯兽师们可以派出3队宠物进行战斗，每队最多4个,#C0xFFF5D6#1.馴獸師們可以派出3隊寵物進行戰鬥，每隊最多4個,"#C0xFFF5D6#1. Trainers can send 3 groups Pokémons to battle, each groups can up to 4 Pokémons","#C0xFFF5D6#1. HLV có thể phái 3 đội Pet ra chiến đấu, mỗi đội tối đa 4 Pet","""#C0xFFF5D6#1. 트레이너는 3팀의 포켓몬을 파견해 전투 진행하며, 각 팀은 최대 4마리로 구성할 수 있습니다.""","#C0xFFF5D6#1. Os treinadores podem enviar 3 grupos de Pokémon para a batalha, cada grupo pode ter até 4 Pokémon",#C0xFFF5D6#1 ผู้ฝึกสามารถส่งโปเกมอน 3 กลุ่มเข้าต่อสู้ โดยแต่ละกลุ่มสามารถส่งโปเกมอนได้มากถึง 4 ตัว
33002,#C0xFFF5D6#2.战斗为三局两胜,#C0xFFF5D6#2.戰鬥為三局兩勝,#C0xFFF5D6#2. The battle is conducted in a best of 3 format,#C0xFFF5D6#2. Chiến đấu theo quy tắc 3 trận 2 thắng,#C0xFFF5D6#2. 전투는 3판 2승제입니다.,#C0xFFF5D6#2. A batalha é conduzida em um formato melhor de 3,#C0xFFF5D6#2 การต่อสู้จะดำเนินไปในรูปแบบ Best of 3
33003,#C0xFFF5D6#3.双方最多战斗20回合，若20回合未分胜负，则算防守方胜,#C0xFFF5D6#3.雙方最多戰鬥20回合，若20回合未分勝負，則算防守方勝,"#C0xFFF5D6#3. Both sides can only fight for a maximum of 20 turns. If the winner is undecided at the end of the 20th turn, the defending side wins.","#C0xFFF5D6#3. Hai bên chiến đấu tối đa 20 hiệp, hết 20 hiệp không phân thắng thua, phe phòng thủ giành chiến thắng","""#C0xFFF5D6#3. 양측은 최대 20턴까지 전투를 진행하며, 20턴까지 승부가 나지 않을 경우, 방어측 승리로 간주합니다.""","#C0xFFF5D6#3. Ambos os lados podem lutar por no máximo 20 turnos. Se o vencedor estiver indeciso no final do 20º turno, o lado defensor vence.",#C0xFFF5D6#3 ทั้งสองฝ่ายสามารถต่อสู้ได้ไม่เกิน 20 รอบ หากผู้ชนะยังไม่สามารถตัดสินใจได้เมื่อสิ้นสุดรอบที่ 20 ฝ่ายป้องกันจะเป็นฝ่ายชนะ
,,,,,,,
34001,#C0xFFF5D6#1.在战报中可对抢夺过自己的玩家发起复仇，只有被抢夺成功了才能发起复仇，且若被抢夺的玩家因受保护未被抢夺矿石时不触发复仇,#C0xFFF5D6#1.在戰報中可對搶奪過自己的玩家發起復仇，只有被搶奪成功了才能發起復仇，且若被搶奪的玩家因受保護未被搶奪礦石時不觸發復仇,#C0xFFF5D6#1. You can make a revenge on the trainer who has successfully looted your mine in the battle history. But trainers can't make a revenge if their mine is being protected from being looted.,"#C0xFFF5D6#1. Có thể phục thù người chơi cướp của mình trong Chiến Báo, chỉ phục thù khi bị cướp thành công, nếu người chơi được bảo vệ không bị cướp Khoáng sẽ không kích hoạt phục thù","""#C0xFFF5D6#1. 전투 보고에서는 자신을 약탈한 유저에게 복수를 진행할 수 있으며, 약탈에 성공한 대상에게만 복수할 수 있습니다. 약탈당한 유저가 보호를 받아 광석 약탈에 실패한 경우에는 복수가 발동하지 않습니다.""",#C0xFFF5D6#1. Você pode se vingar do treinador que saqueou sua mina com sucesso no histórico de batalha. Mas os treinadores não podem se vingar se sua mina estiver sendo protegida de saque.,#C0xFFF5D6#1 คุณสามารถแก้แค้นเทรนเนอร์ที่ปล้นทุ่นระเบิดของคุณสำเร็จในประวัติการต่อสู้ แต่เทรนเนอร์ไม่สามารถแก้แค้นได้หากทุ่นระเบิดของพวกเขาได้รับการปกป้องไม่ให้ถูกปล้น
34002,#C0xFFF5D6#2.复仇行为类似抢夺，可抢夺对方矿石，但不更换排名,#C0xFFF5D6#2.復仇行為類似搶奪，可搶奪對方礦石，但不更換排名,"#C0xFFF5D6#2. Revenge is similar to looting, which can mean to loot the opponent's mine, but ranking remains unchanged","#C0xFFF5D6#2. Hành động phục thù tương tự cướp, có thể cướp Khoáng đối phương, nhưng không thay đổi xếp hạng","""#C0xFFF5D6#2. 복수 시 약탈을 진행하며, 상대방의 광석을 약탈할 수 있으나, 순위는 변경되지 않습니다.""","#C0xFFF5D6#2. A vingança é semelhante ao saque, o que pode significar saquear a mina do oponente, mas a classificação permanece inalterada",#C0xFFF5D6#2 การแก้แค้นนั้นคล้ายกับการปล้น ซึ่งอาจหมายถึงการปล้นทุ่นระเบิดของฝ่ายตรงข้าม แต่อันดับยังคงไม่เปลี่ยนแปลง
34003,#C0xFFF5D6#3.驯兽师每天有5次复仇机会，该次数与抢夺独立计数,#C0xFFF5D6#3.馴獸師每天有5次復仇機會，該次數與搶奪獨立計數,"#C0xFFF5D6#3. Trainers have 5 chances to make a revenge, this is independent of chances of looting","#C0xFFF5D6#3. HLV mỗi ngày có 5 cơ hội phục thù, số lần này và lần cướp tính riêng","""#C0xFFF5D6#3. 트레이너는 매일 5회의 복수 기회가 주어지며, 해당 횟수는 약탈과 별도로 계산됩니다.""","#C0xFFF5D6#3. Os treinadores têm 5 chances de fazer uma vingança, isso é independente das chances de saque",#C0xFFF5D6#3 ผู้ฝึกสอนมีโอกาส 5 ครั้งในการแก้แค้น ซึ่งไม่ขึ้นอยู่กับโอกาสในการปล้น
,,,,,,,
35001,#C0xFFF5D6#1.比赛期间每日22点通过邮件发放个人排行奖励,#C0xFFF5D6#1.比賽期間每日22點通過郵件發放個人排行獎勵,#C0xFFF5D6#1. Individual ranking rewards will be given via email at 22:00 daily during the tournament period,"#C0xFFF5D6#1. Trong thời gian thi đấu, 22h hàng ngày phát thưởng cá nhân qua thư",#C0xFFF5D6#1. 경기 기간 내 매일 22:00에 우편으로 순위 보상이 지급됩니다.,#C0xFFF5D6#1. As recompensas de classificação individual serão dadas por e-mail às 22:00 diariamente durante o período do torneio,#C0xFFF5D6#1 รางวัลอันดับบุคคลจะมอบให้ทางอีเมลเวลา 22:00 น. ของทุกวันในช่วงระยะเวลาการแข่งขัน
35002,#C0xFFF5D6#2.排名越高，奖励越丰厚，奖励为海量矿石资源和金币,#C0xFFF5D6#2.排名越高，獎勵越豐厚，獎勵為海量礦石資源和金幣,"#C0xFFF5D6#2. The higher the ranking, the more rewards you get. The rewards includes plenty of ores and coins","#C0xFFF5D6#2. Xếp hạng càng cao, thưởng càng nhiểu, phần thưởng là nhiều tài nguyên Khoáng và Gold","""#C0xFFF5D6#2. 대량의 광석 자원과 금화 보상이 주어지며, 순위가 높을수록 보상이 증가합니다.""","#C0xFFF5D6#2. Quanto maior a classificação, mais recompensas você ganha. As recompensas incluem muitos minérios e moedas",#C0xFFF5D6#2 ยิ่งอันดับสูงขึ้น ก็ยิ่งได้รับรางวัลมากขึ้น รางวัลประกอบด้วยแร่และเหรียญมากมาย
,,,,,,,
,,,,,,,
36001,#C0xFFF5D6#恶魔兽妄图破坏并重塑宠物世界，发出大量黑暗齿轮，控制了大批宠物，每天都会放出部分宠物出来作乱。为了拯救宠物世界，让我们团结起来，净化被黑色齿轮控制的宠物吧。,#C0xFFF5D6#惡魔獸妄圖破壞並重塑寵物世界，發出大量黑暗齒輪，控制了大批寵物，每天都會放出部分寵物出來作亂。為了拯救寵物世界，讓我們團結起來，淨化被黑色齒輪控制的寵物吧。,"#C0xFFF5D6#Devimon makes an attempt to destroy and transform the Pokémon World by releasing a huge number of Black Gears and put a large number of Pokémons at its disposal. It will let out some of those Pokémons to create chaos for the Pokémon World. Let's unite to save the Pokémon World, purify the Pokémons that are under the influence of the Black Gears!","#C0xFFF5D6# Devimon cố gắng tiêu diệt và định hình lại thế giới Pet, phát ra nhiều bánh răng hắc ám, khống chế rất nhiều Pet, mỗi ngày đều thả một số Pet ra làm loạn. Để giải cứu thế giới Pet, chúng ta phải đoàn kết lại, tịnh hoá Pet bị bánh răng hắc ám khống chế.","""#C0xFFF5D6#데블몬이 포켓몬 세계를 파괴하기 위해 수많은 어둠의 톱니바퀴를 만들어냈고, 매일 일부 포켓몬을 조종해 소란을 피우고 있습니다. 포켓몬 세계를 구하기 위해서는 모두가 힘을 합쳐, 어둠의 톱니바퀴에 조종당하는 포켓몬을 정화해야 합니다.""","#C0xFFF5D6#Devimon tenta destruir e transformar o Mundo Pokémon liberando um grande número de Black Gears e colocando um grande número de Pokémons à sua disposição. Ele vai soltar alguns desses Pokémons para criar caos no Mundo Pokémon. Vamos nos unir para salvar o Mundo Pokémon, purificar os Pokémons que estão sob a influência dos Black Gears!",#C0xFFF5D6#Devimon พยายามทำลายและเปลี่ยนแปลงโลกโปเกมอนโดยปล่อย Black Gears ออกมาเป็นจำนวนมากและปล่อยโปเกมอนจำนวนมากออกมา มันจะปล่อยโปเกมอนบางตัวออกมาเพื่อสร้างความโกลาหลให้กับโลกโปเกมอน มาสามัคคีกันเพื่อปกป้องโลกโปเกมอน ชำระล้างโปเกมอนที่อยู่ภายใต้อิทธิพลของ Black Gears!
36002,#C0xFFF5D6#1.每天12点会刷新新的黑暗宠物阵容。,#C0xFFF5D6#1.每天12點會刷新新的黑暗寵物陣容。,#C0xFFF5D6#1. A new dark Pokémon line-up will refresh at 12:00 daily.,#C0xFFF5D6#1. 12h hàng ngày làm mới đội hình Pet Hắc Ám.,#C0xFFF5D6#1. 매일 12시에 새로운 어둠 포켓몬 라인업이 갱신됩니다.,#C0xFFF5D6#1. Uma nova formação de Pokémon sombrios será atualizada às 12:00 diariamente.,#C0xFFF5D6#1 โปเกมอนด้านมืดชุดใหม่จะรีเฟรชทุกวันเวลา 12.00 น.
36003,#C0xFFF5D6#2.每天12点世界各地的召唤师门可以创建或加入其他召唤师的队伍，一起对抗被黑色齿轮控制的宠物。,#C0xFFF5D6#2.每天12點世界各地的召喚師門可以創建或加入其他召喚師的隊伍，一起對抗被黑色齒輪控制的寵物。,#C0xFFF5D6#2. Summoners of all server can create or join other summoner teams at 12:00 daily. Let's fight the Pokémons who are under the control of Black Gear together!,"#C0xFFF5D6#2. 12h hàng ngày HLV các nơi có thể tạo hoặc vào đội ngũ của HLV khác, cùng chống lại Pet bị Bánh răng hắc ám khống chế.",#C0xFFF5D6#2. 매일 12시에 세계 각지의 트레이너들은 다른 트레이너와 팀을 맺고 함께 어둠의 톱니바퀴에 제어당하는 포켓몬과 맞설 수 있습니다.,#C0xFFF5D6#2. Invocadores de todos os servidores podem criar ou se juntar a outros times de invocadores às 12:00 diariamente. Vamos lutar contra os Pokémons que estão sob o controle do Black Gear juntos!,#C0xFFF5D6#2 ผู้เรียกจากทุกเซิร์ฟเวอร์สามารถสร้างหรือเข้าร่วมทีมผู้เรียกอื่นๆ ได้ทุกวันในเวลา 12:00 น. มาต่อสู้กับเหล่าโปเกมอนที่อยู่ภายใต้การควบคุมของ Black Gear กันเถอะ!
36004,#C0xFFF5D6#3.组队净化宠物可以获得相应的宠物碎片。,#C0xFFF5D6#3.組隊淨化寵物可以獲得相應的寵物碎片。,#C0xFFF5D6#3. Form a team and purify Pokémons to get corresponding Pokémon shards.,#C0xFFF5D6#3. Lập đội tịnh hoá Pet nhận Mảnh Pet tương ứng.,#C0xFFF5D6#3. 팀이 포켓몬을 정화하면 해당하는 포켓몬 조각을 획득할 수 있습니다.,#C0xFFF5D6#3. Forme uma equipe e purifique os Pokémon para obter os fragmentos de Pokémon correspondentes.,#C0xFFF5D6#3 จัดตั้งทีมและชำระล้างโปเกมอนเพื่อรับชิ้นส่วนโปเกมอนที่ตรงกัน
36005,#C0xFFF5D6#4.想要净化某个宠物，需要先拥有该宠物。,#C0xFFF5D6#4.想要淨化某個寵物，需要先擁有該寵物。,"#C0xFFF5D6#4. To purify a Pokémon, you need to own the Pokémon first.",#C0xFFF5D6#4. Muốn tịnh hoá Pet cần sở hửu Pet đó trước.,#C0xFFF5D6#4. 포켓몬을 정화하려면 우선 해당 포켓몬을 보유해야 합니다.,"#C0xFFF5D6#4. Para purificar um Pokémon, você precisa primeiro possuir o Pokémon.",#C0xFFF5D6#4 ในการชำระล้างโปเกมอน คุณต้องเป็นเจ้าของโปเกมอนตัวนั้นก่อน
36006,#C0xFFF5D6#5.每次战斗胜利可以获得两个宝箱，第一个免费开启，第二个需要花费钻石，两个宝箱都有几率获得宠物碎片。,#C0xFFF5D6#5.每次戰鬥勝利可以獲得兩個寶箱，第一個免費開啟，第二個需要花費鑽石，兩個寶箱都有幾率獲得寵物碎片。,"#C0xFFF5D6#5. Two chests are given for each battle victory. The first one is free to open, while the second one requires spending diamonds to open. There are chances of getting Pokémon shards for both chests","#C0xFFF5D6#5. Mỗi trận thắng nhận 2 Rương, Rương 1 mở miễn phía, Rương 2 cần dùng Diamond, 2 Rương có cơ hội nhận Mảnh Pet.","""#C0xFFF5D6#5. 전투에 승리할 때마다 보물상자 두 개를 획득하며, 첫 번째는 무료로 개방할 수 있지만, 두 번째는 다이아를 소모해야 합니다. 두 보물상자 모두 일정 확률로 포켓몬 조각을 획득할 수 있습니다.""","#C0xFFF5D6#5. Dois baús são dados para cada vitória de batalha. O primeiro é gratuito para abrir, enquanto o segundo requer gastar diamantes para abrir. Há chances de obter fragmentos de Pokémon para ambos os baús",#C0xFFF5D6#5 จะได้รับหีบสองใบสำหรับชัยชนะในการต่อสู้แต่ละครั้ง หีบใบแรกสามารถเปิดได้ฟรี ส่วนหีบใบที่สองต้องใช้เพชรในการเปิด มีโอกาสได้รับเศษโปเกมอนสำหรับหีบทั้งสองใบ
36007,#C0xFFF5D6#6.每次净化任务中，完成所有战斗的玩家越多，获得的额外奖励越多，额外奖励将通过邮件发送，获得额外奖励的前提是自己完成所有战斗。,#C0xFFF5D6#6.每次淨化任務中，完成所有戰鬥的玩家越多，獲得的額外獎勵越多，額外獎勵將通過郵件發送，獲得額外獎勵的前提是自己完成所有戰鬥。,"#C0xFFF5D6#6. For each purification quest, more rewards will be given when more trainers join the battle. Additional rewards will be given via mail and only to trainers who have completed all the battles.","#C0xFFF5D6#6. Mỗi lần trong nhiệm vụ tịnh hoá, người chơi hoàn thành tất cả trận chiến càng nhiều, nhận thêm càng nhiều thưởng, thưởng thêm được phát qua thư, tiền đề nhận thưởng thêm là hoàn thành tất cả các trận chiến.","""#C0xFFF5D6#6. 정화 퀘스트 중 모든 전투를 완료한 유저가 많을수록 획득하는 추가 보상이 증가합니다. 추가 보상은 우편으로 발송되며, 추가 보상을 획득하기 위해서는 유저 자신도 모든 전투를 완료해야 합니다.""","#C0xFFF5D6#6. Para cada missão de purificação, mais recompensas serão dadas quando mais treinadores se juntarem à batalha. Recompensas adicionais serão dadas por correio e apenas para treinadores que concluírem todas as batalhas.",#C0xFFF5D6#6 สำหรับภารกิจชำระล้างแต่ละครั้ง จะได้รับรางวัลมากขึ้นเมื่อมีเทรนเนอร์เข้าร่วมการต่อสู้มากขึ้น รางวัลเพิ่มเติมจะมอบให้ทางอีเมลและเฉพาะกับเทรนเนอร์ที่ทำการต่อสู้สำเร็จเท่านั้น
36008,#C0xFFF5D6#7.队伍中3人、4人、5人完成战斗时可获得不同程度的额外奖励。,#C0xFFF5D6#7.隊伍中3人、4人、5人完成戰鬥時可獲得不同程度的額外獎勵。,"#C0xFFF5D6#7. When the team fight in a group of 3, 4, and 5, different amounts of extra rewards will be given out when they complete the battles.","#C0xFFF5D6#7. Khi trong đội ngũ có 3, 4, 5 người hoàn thành chiến đấu nhận thưởng thêm mức độ cũng khác nhau.","""#C0xFFF5D6#7. 팀에 속한 3명, 4명, 5명이 전투를 완료할 때마다 추가 보상을 획득할 수 있습니다.""","#C0xFFF5D6#7. Quando a equipe luta em um grupo de 3, 4 e 5, diferentes quantidades de recompensas extras serão dadas quando eles concluírem as batalhas.","#C0xFFF5D6#7 เมื่อทีมต่อสู้เป็นกลุ่ม 3, 4 และ 5 คน จะได้รับรางวัลพิเศษจำนวนต่างกันเมื่อทำการต่อสู้สำเร็จ"
36009,#C0xFFF5D6#8.选择净化目标后，只要战斗胜利过一次，就无法退出当前队伍，将战斗进行到底！,#C0xFFF5D6#8.選擇淨化目標後，只要戰鬥勝利過一次，就無法退出當前隊伍，將戰鬥進行到底！,"#C0xFFF5D6#8. When purification target is selected, as long as there is one battle victory, trainers cannot leave the current team and have to finish the battle!","#C0xFFF5D6#8. Sau khi chọn mục tiêu tịnh hoá, chỉ cần thắng 1 lần sẽ không thể rời đội ngũ cho đến khi kết thúc chiến đấu!","""#C0xFFF5D6#8. 정화 목표를 선택한 후, 전투 승리 시 현재 팀을 나갈 수 없으며, 전투를 끝까지 진행해야 합니다.""","#C0xFFF5D6#8. Quando o alvo de purificação é selecionado, enquanto houver uma vitória na batalha, os treinadores não podem deixar o time atual e têm que terminar a batalha!",#C0xFFF5D6#8 เมื่อเลือกเป้าหมายการชำระล้าง ตราบใดที่ยังมีชัยชนะในการต่อสู้หนึ่งครั้ง ผู้ฝึกสอนไม่สามารถออกจากทีมปัจจุบันและต้องทำการต่อสู้ให้จบ!
36010,#C0xFFF5D6#9.每天12点老队伍会自动解散，需要重新组队。,#C0xFFF5D6#9.每天12點老隊伍會自動解散，需要重新組隊。,"#C0xFFF5D6#9. Old teams will automatically be disbanded at 12:00 daily, new teams have been formed.","#C0xFFF5D6#9. 12h hàng ngày đội ngũ cũ tự động giải tán, cần lập đội mới.","""#C0xFFF5D6#9. 매일 12시에 팀은 자동으로 해산되며, 다시 팀을 구성해야 합니다.""","#C0xFFF5D6#9. Os times antigos serão automaticamente dissolvidos às 12:00 diariamente, novos times foram formados.",#C0xFFF5D6#9 ทีมเก่าจะถูกยุบโดยอัตโนมัติในเวลา 12:00 น. ของทุกวัน และมีการจัดตั้งทีมใหม่ขึ้น
36011,#C0xFFF5D6#10.玩家可以点击队伍中自己的头像更换上阵的宠物。,#C0xFFF5D6#10.玩家可以點擊隊伍中自己的頭像更換上陣的寵物。,#C0xFFF5D6#10. Players can tap on their own avatars in the team to switch the line-up of their Pokémons.,#C0xFFF5D6#10. Nhấp avatar của mình trong đội ngũ để thay đổi Pet lên trận.,#C0xFFF5D6#10. 유저는 팀에서 자신의 프로필을 터치해 출전 포켓몬을 변경할 수 있습니다.,#C0xFFF5D6#10. Os jogadores podem tocar em seus próprios avatares na equipe para trocar a formação de seus Pokémon.,#C0xFFF5D6#10 ผู้เล่นสามารถแตะที่อวาตาร์ของตนเองในทีมเพื่อเปลี่ยนไลน์โปเกมอนของตนได้
,,,,,,,
,,,,,,,
37001,1、预选赛，八强赛，冠军赛均为3对3车轮战。,1、預選賽，八強賽，冠軍賽均為3對3車輪戰。,"1. The qualifiers, top 8 matches, and championship are all conducted in a 3v3 tag match format.",,"""1. 예선전, 8강전, 결승전은 모두 3대3 태그매치로 진행됩니다.""","1. As eliminatórias, as partidas dos 8 melhores e o campeonato são todos realizados em um formato de luta de duplas 3v3.",1. การแข่งขันรอบคัดเลือก รอบ 8 อันดับแรก และการแข่งขันชิงแชมป์ทั้งหมดจะจัดขึ้นในรูปแบบแมตช์แท็ก 3 ต่อ 3
