变量名,randomLibID,drawWeight,drawWeightFix,attrsDesc,attrsDesc_tw,attrsDesc_en,attrsDesc_vn,attrsDesc_kr,attrsDesc_pt,attrsDesc_th,recastWeight,recastWeightFix,attrType1,attrNum1,attrType2,attrNum2
102,20006,200,0,固定双攻,固定雙攻,Fixed P. & Sp. ATK,Tấn Công Vật Lý & Đặc Biệt Cố Định,고정 물리 및 특수 공격,P. fixo e ATK Sp.,แก้ไขค่า P. & Sp. ATK,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,7,<80;112;144;176;208;240;272;304>,8,<80;112;144;176;208;240;272;304>
103,20006,200,0,百分比双攻,百分比雙攻,Percentage P. & Sp. ATK,% Tấn Công Vật Lý & Đặc Biệt,% 물리 및 특수 공격,Porcentagem P. & Sp. ATK,เปอร์เซ็นต์ P. & Sp. ATK,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,7,<1%;1.3%;1.6%;1.9%;2.2%;2.5%;2.8%;3.1%>,8,<1%;1.3%;1.6%;1.9%;2.2%;2.5%;2.8%;3.1%>
104,20006,200,0,双防忽视,雙防忽視,P. & Sp. DEF Ignorance,Xuyên Phòng Thủ Vật Lý & Đặc Biệt,물리 및 특수 방어 무시,P. & Sp. DEF Ignorância,P. & Sp. DEF ความไม่รู้,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,11,<30;45;60;75;90;105;120;135>,12,<30;45;60;75;90;105;120;135>
105,20006,200,0,暴击,暴擊,Crit,Bạo Kích,치명타,Crítico,คริติคอล,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,14,<30;45;60;75;90;105;120;135>,0,<>
106,20006,200,0,暴击伤害,暴擊傷害,CRI DMG,Sát Thương Bạo Kích,치명타 피해,CRI DMG,CRI ดีเอ็มจี,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,15,<30;45;60;75;90;105;120;135>,0,<>
107,20006,200,0,吸血,吸血,Life steal,Hút Máu,생명력 흡수,Roubo de vida,ขโมยชีวิต,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,26,<30;45;60;75;90;105;120;135>,0,<>
108,20006,200,0,破抵御,破抵禦,Block Break rate,Tỷ Lệ Phá Chặn,막기 돌파율,Taxa de quebra de bloco,อัตราการบล็อคเบรก,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,18,<30;45;60;75;90;105;120;135>,0,<>
109,20006,200,0,伤害加成,傷害加成,ATK bonus,Thưởng Tấn Công,공격 보너스,Bônus de ATK,โบนัส ATK,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,22,<30;45;60;75;90;105;120;135>,0,<>
110,20006,200,0,必杀加成,必殺加成,Ultimate Skill bonus,Thưởng Kỹ Năng Cuối,필살기 보너스,Bônus de Habilidade Suprema,โบนัสทักษะขั้นสูงสุด,<<0;10;100>;<11;20;100>;<21;30;150>;<31;40;150>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,24,<30;45;60;75;90;105;120;135>,0,<>
121,30001,200,0,固定生命,固定生命,Fixed HP,HP Cố Định,고정 HP,HP fixo,HP คงที่,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,1,<600;840;1080;1320;1560;1800;2040;2280>,0,<>
122,30001,200,0,百分比生命,百分比生命,Percentage of HP,% HP,% HP,Porcentagem de HP,เปอร์เซ็นต์ของแรงม้า,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;400>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,1,<1.5%;1.95%;2.4%;2.85%;3.3%;3.75%;4.2%;4.65%>,0,<>
123,30001,200,0,固定双防,固定雙防,Fixed P. & Sp. DEF,Phòng Thủ Vật Lý & Đặc Biệt Cố Định,고정 물리 및 특수 방어,DEF fixo P. & Sp.,คงที่ P. & Sp. DEF,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,9,<84;118;151;185;220;255;290;325>,10,<84;118;151;185;220;255;290;325>
124,30001,200,0,百分比双防,百分比雙防,Percentage P. & Sp. DEF,% Phòng Thủ Vật Lý & Đặc Biệt,% 물리 및 특수 방어,Porcentagem P. & Sp. DEF,เปอร์เซ็นต์ P. & Sp. DEF,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;400>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,9,<1.5%;1.95%;2.4%;2.85%;3.3%;3.75%;4.2%;4.65%>,10,<1.5%;1.95%;2.4%;2.85%;3.3%;3.75%;4.2%;4.65%>
125,30001,200,0,暴击抗性,暴擊抗性,CRI RES,Kháng Bạo Kích,치명타 저항,CRI RES,ดัชนีความเชื่อมั่นผู้บริโภค,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,16,<45;68;90;113;136;159;182;205>,0,<>
126,30001,200,0,治疗效果,治療效果,Heal effect,Hiệu Quả Hồi Máu,치유 효과,Efeito de cura,ผลการรักษา,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,28,<45;68;90;113;136;159;182;205>,0,<>
127,30001,200,0,抵御,抵禦,Block,Chặn Đòn,막기,Bloquear,ปิดกั้น,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,17,<45;68;90;113;136;159;182;205>,0,<>
128,30001,200,0,免疫控制率,免疫控制率,Control resist rate,Tỷ Lệ Kháng Khống Chế,제어 저항률,Taxa de resistência de controle,อัตราการต้านทานการควบคุม,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,91,<45;68;90;113;136;159;182;205>,0,<>
129,30001,200,0,伤害减免,傷害減免,DMG reduction,Giảm Sát Thương,피해 감소,Redução de DMG,การลดความเสียหาย,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,23,<45;68;90;113;136;159;182;205>,0,<>
130,30001,200,0,必杀抗性,必殺抗性,Ultimate Skill resistance,Kháng Kỹ Năng Cuối,필살기 저항,Resistência à Habilidade Suprema,ทักษะการต้านทานขั้นสูงสุด,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,25,<45;68;90;113;136;159;182;205>,0,<>
141,30002,100,0,固定速度,固定速度,Fixed speed,Tốc Độ Cố Định,고정 속도,Velocidade fixa,ความเร็วคงที่,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,13,<6;8;11;13;16;19;22;25>,0,<>
142,30002,200,0,固定双攻,固定雙攻,Fixed P. & Sp. ATK,Tấn Công Vật Lý & Đặc Biệt Cố Định,고정 물리 및 특수 공격,P. fixo e ATK Sp.,แก้ไขค่า P. & Sp. ATK,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,7,<120;168;216;264;312;360;408;456>,8,<120;168;216;264;312;360;408;456>
143,30002,200,0,百分比双攻,百分比雙攻,Percentage P. & Sp. ATK,% Tấn Công Vật Lý & Đặc Biệt,% 물리 및 특수 공격,Porcentagem P. & Sp. ATK,เปอร์เซ็นต์ P. & Sp. ATK,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,7,<1.5%;1.95%;2.4%;2.85%;3.3%;3.75%;4.2%;4.65%>,8,<1.5%;1.95%;2.4%;2.85%;3.3%;3.75%;4.2%;4.65%>
144,30002,200,0,双防忽视,雙防忽視,P. & Sp. DEF Ignorance,Xuyên Phòng Thủ Vật Lý & Đặc Biệt,물리 및 특수 방어 무시,P. & Sp. DEF Ignorância,P. & Sp. DEF ความไม่รู้,<<0;10;100>;<11;20;150>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,11,<45;68;90;113;136;159;182;205>,12,<45;68;90;113;136;159;182;205>
145,30002,200,0,暴击,暴擊,Crit,Bạo Kích,치명타,Crítico,คริติคอล,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,14,<45;68;90;113;136;159;182;205>,0,<>
146,30002,200,0,暴击伤害,暴擊傷害,CRI DMG,Sát Thương Bạo Kích,치명타 피해,CRI DMG,CRI ดีเอ็มจี,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,15,<45;68;90;113;136;159;182;205>,0,<>
147,30002,200,0,破抵御,破抵禦,Block Break rate,Tỷ Lệ Phá Chặn,막기 돌파율,Taxa de quebra de bloco,อัตราการบล็อคเบรก,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,18,<45;68;90;113;136;159;182;205>,0,<>
148,30002,200,0,控制率,控制率,Control rate,Tỷ Lệ Khống Chế,제어율,Taxa de controle,อัตราการควบคุม,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,90,<45;68;90;113;136;159;182;205>,0,<>
149,30002,200,0,伤害加成,傷害加成,ATK bonus,Thưởng Tấn Công,공격 보너스,Bônus de ATK,โบนัส ATK,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,22,<45;68;90;113;136;159;182;205>,0,<>
150,30002,200,0,必杀加成,必殺加成,Ultimate Skill bonus,Thưởng Kỹ Năng Cuối,필살기 보너스,Bônus de Habilidade Suprema,โบนัสทักษะขั้นสูงสุด,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,24,<45;68;90;113;136;159;182;205>,0,<>
161,30003,200,0,固定生命,固定生命,Fixed HP,HP Cố Định,고정 HP,HP fixo,HP คงที่,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,1,<600;840;1080;1320;1560;1800;2040;2280>,0,<>
162,30003,200,0,百分比生命,百分比生命,Percentage of HP,% HP,% HP,Porcentagem de HP,เปอร์เซ็นต์ของแรงม้า,<<0;10;100>;<11;20;150>;<21;30;200>;<31;40;250>;<41;50;300>;<51;60;350>;<61;70;400>;<71;999999;400>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,1,<1.5%;1.95%;2.4%;2.85%;3.3%;3.75%;4.2%;4.65%>,0,<>
163,30003,200,0,固定双防,固定雙防,Fixed P. & Sp. DEF,Phòng Thủ Vật Lý & Đặc Biệt Cố Định,고정 물리 및 특수 방어,DEF fixo P. & Sp.,คงที่ P. & Sp. DEF,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,9,<84;118;151;185;220;255;290;325>,10,<84;118;151;185;220;255;290;325>
164,30003,200,0,百分比双防,百分比雙防,Percentage P. & Sp. DEF,% Phòng Thủ Vật Lý & Đặc Biệt,% 물리 및 특수 방어,Porcentagem P. & Sp. DEF,เปอร์เซ็นต์ P. & Sp. DEF,<<0;10;100>;<11;20;150>;<21;30;200>;<31;40;250>;<41;50;300>;<51;60;350>;<61;70;400>;<71;999999;400>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,9,<1.5%;1.95%;2.4%;2.85%;3.3%;3.75%;4.2%;4.65%>,10,<1.5%;1.95%;2.4%;2.85%;3.3%;3.75%;4.2%;4.65%>
165,30003,200,0,暴击抗性,暴擊抗性,CRI RES,Kháng Bạo Kích,치명타 저항,CRI RES,ดัชนีความเชื่อมั่นผู้บริโภค,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,16,<45;68;90;113;136;159;182;205>,0,<>
166,30003,200,0,治疗效果,治療效果,Heal effect,Hiệu Quả Hồi Máu,치유 효과,Efeito de cura,ผลการรักษา,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,28,<45;68;90;113;136;159;182;205>,0,<>
167,30003,200,0,反弹,反彈,Reflect,Phản Đòn,반사,Refletir,สะท้อน,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,27,<45;68;90;113;136;159;182;205>,0,<>
168,30003,200,0,抵御,抵禦,Block,Chặn Đòn,막기,Bloquear,ปิดกั้น,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,17,<45;68;90;113;136;159;182;205>,0,<>
169,30003,200,0,免疫控制率,免疫控制率,Control resist rate,Tỷ Lệ Kháng Khống Chế,제어 저항률,Taxa de resistência de controle,อัตราการต้านทานการควบคุม,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,91,<45;68;90;113;136;159;182;205>,0,<>
170,30003,200,0,伤害减免,傷害減免,DMG reduction,Giảm Sát Thương,피해 감소,Redução de DMG,การลดความเสียหาย,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,23,<45;68;90;113;136;159;182;205>,0,<>
171,30003,200,0,必杀抗性,必殺抗性,Ultimate Skill resistance,Kháng Kỹ Năng Cuối,필살기 저항,Resistência à Habilidade Suprema,ทักษะการต้านทานขั้นสูงสุด,<<0;10;50>;<11;20;100>;<21;30;150>;<31;40;200>;<41;50;250>;<51;60;300>;<61;70;350>;<71;999999;350>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,25,<45;68;90;113;136;159;182;205>,0,<>
181,30004,200,0,固定速度,固定速度,Fixed speed,Tốc Độ Cố Định,고정 속도,Velocidade fixa,ความเร็วคงที่,<<0;10;100>;<11;20;150>;<21;30;200>;<31;40;250>;<41;50;300>;<51;60;350>;<61;70;400>;<71;999999;400>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,13,<6;8;11;13;16;19;22;25>,0,<>
182,30004,200,0,怒气回复速度,怒氣回復速度,Anger recovery speed,Tốc Độ Hồi Nộ Khí,분노 회복 속도,Velocidade de recuperação da raiva,ความเร็วในการฟื้นตัวจากความโกรธ,<<0;10;100>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,5,<45;68;90;113;136;159;182;205>,0,<>
183,30004,200,0,固定双攻,固定雙攻,Fixed P. & Sp. ATK,Tấn Công Vật Lý & Đặc Biệt Cố Định,고정 물리 및 특수 공격,P. fixo e ATK Sp.,แก้ไขค่า P. & Sp. ATK,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,7,<120;168;216;264;312;360;408;456>,8,<120;168;216;264;312;360;408;456>
184,30004,200,0,百分比双攻,百分比雙攻,Percentage P. & Sp. ATK,% Tấn Công Vật Lý & Đặc Biệt,% 물리 및 특수 공격,Porcentagem P. & Sp. ATK,เปอร์เซ็นต์ P. & Sp. ATK,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,7,<1.5%;1.95%;2.4%;2.85%;3.3%;3.75%;4.2%;4.65%>,8,<1.5%;1.95%;2.4%;2.85%;3.3%;3.75%;4.2%;4.65%>
185,30004,200,0,双防忽视,雙防忽視,P. & Sp. DEF Ignorance,Xuyên Phòng Thủ Vật Lý & Đặc Biệt,물리 및 특수 방어 무시,P. & Sp. DEF Ignorância,P. & Sp. DEF ความไม่รู้,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,11,<45;68;90;113;136;159;182;205>,12,<45;68;90;113;136;159;182;205>
186,30004,200,0,暴击,暴擊,Crit,Bạo Kích,치명타,Crítico,คริติคอล,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,14,<45;68;90;113;136;159;182;205>,0,<>
187,30004,200,0,暴击伤害,暴擊傷害,CRI DMG,Sát Thương Bạo Kích,치명타 피해,CRI DMG,CRI ดีเอ็มจี,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,15,<45;68;90;113;136;159;182;205>,0,<>
188,30004,200,0,破抵御,破抵禦,Block Break rate,Tỷ Lệ Phá Chặn,막기 돌파율,Taxa de quebra de bloco,อัตราการบล็อคเบรก,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,18,<45;68;90;113;136;159;182;205>,0,<>
189,30004,200,0,控制率,控制率,Control rate,Tỷ Lệ Khống Chế,제어율,Taxa de controle,อัตราการควบคุม,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,90,<45;68;90;113;136;159;182;205>,0,<>
190,30004,200,0,伤害加成,傷害加成,ATK bonus,Thưởng Tấn Công,공격 보너스,Bônus de ATK,โบนัส ATK,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,22,<45;68;90;113;136;159;182;205>,0,<>
191,30004,200,0,必杀加成,必殺加成,Ultimate Skill bonus,Thưởng Kỹ Năng Cuối,필살기 보너스,Bônus de Habilidade Suprema,โบนัสทักษะขั้นสูงสุด,<<0;10;50>;<11;20;100>;<21;30;100>;<31;40;100>;<41;50;100>;<51;60;100>;<61;70;100>;<71;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,24,<45;68;90;113;136;159;182;205>,0,<>
201,30005,200,0,固定生命,固定生命,Fixed HP,HP Cố Định,고정 HP,HP fixo,HP คงที่,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,1,<600;840;1080;1320;1560;1800;2040;2280>,0,<>
202,30005,200,0,百分比生命,百分比生命,Percentage of HP,% HP,% HP,Porcentagem de HP,เปอร์เซ็นต์ของแรงม้า,<<0;10;100>;<11;20;150>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,1,<1.5%;1.95%;2.4%;2.85%;3.3%;3.75%;4.2%;4.65%>,0,<>
203,30005,200,0,固定双防,固定雙防,Fixed P. & Sp. DEF,Phòng Thủ Vật Lý & Đặc Biệt Cố Định,고정 물리 및 특수 방어,DEF fixo P. & Sp.,คงที่ P. & Sp. DEF,<<0;10;200>;<11;20;200>;<21;30;200>;<31;40;200>;<41;50;200>;<51;60;200>;<61;70;200>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,9,<84;118;151;185;220;255;290;325>,10,<84;118;151;185;220;255;290;325>
204,30005,200,0,百分比双防,百分比雙防,Percentage P. & Sp. DEF,% Phòng Thủ Vật Lý & Đặc Biệt,% 물리 및 특수 방어,Porcentagem P. & Sp. DEF,เปอร์เซ็นต์ P. & Sp. DEF,<<0;10;100>;<11;20;150>;<21;30;150>;<31;40;150>;<41;50;150>;<51;60;150>;<61;70;150>;<71;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;40;0>;<41;50;0>;<51;60;0>;<61;70;0>;<71;999999;0>>,9,<1.5%;1.95%;2.4%;2.85%;3.3%;3.75%;4.2%;4.65%>,10,<1.5%;1.95%;2.4%;2.85%;3.3%;3.75%;4.2%;4.65%>
