变量名,type,targetType,targetType2,targetArg,targetArg2,yyID,point,award,isShow,sort,title,title_tw,title_en,title_vn,title_kr,title_pt,title_th,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,jumpTo,languages
,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,1,82,82,1,31,,50,{rmb=50;gold=20000},,1,完美！,完美！,perfect!,hoàn hảo!,완벽,perfeito!,สมบูรณ์แบบ!,任意精灵的个体值洗练至全部完美,任意精靈的個體值洗練至全部完美,The individual value of any Pokémon is refined to all perfection,Giá trị cá nhân của bất kỳ trình hướng dẫn nào được tinh chỉnh để hoàn thiện,임의의 포켓몬의 개체값 완벽까지 제련됨,O valor individual de qualquer Pokémon é refinado até a perfeição,คุณค่าเฉพาะตัวของโปเกมอนแต่ละตัวได้รับการปรับแต่งจนสมบูรณ์แบบที่สุด,,
1102,1,82,82,10,31,,50,{rmb=500;gold=20000},,2,完美！,完美！,perfect!,hoàn hảo!,완벽,perfeito!,สมบูรณ์แบบ!,累计拥有10个体值全部完美的精灵,累計擁有10個體值全部完美的精靈,Have a total of 10 geniuses all perfect,Có tổng cộng 10 genies tất cả đều hoàn hảo,10개 개체값 전부 완벽한 포켓몬 보유,Tenho um total de 10 gênios todos perfeitos,มีอัจฉริยะทั้งหมด 10 คน ล้วนสมบูรณ์แบบ,,
1103,1,83,83,300,,,30,{rmb=30;gold=20000},FALSE,1,我为人人,我為人人,I am all,Tôi là tất cả,타인을 위해,Eu sou tudo,ฉันเป็นทุกอย่าง,在许愿中心内累计赠送300次碎片          ,在許願中心內累計贈送300次碎片,A total of 300 pieces of fragments were given away in the Wishing Center,Tổng cộng 300 mảnh vỡ được trao tặng tại Trung tâm Ước nguyện,소원 센터에서 누적 300개 조각 증정,Um total de 300 peças de fragmentos foram doadas no Wishing Center,มอบเศษชิ้นส่วนรวม 300 ชิ้น ณ ศูนย์ขอพร,,
1104,1,84,84,1000,,,30,{rmb=50;gold=20000},FALSE,1,普通刷新,普通刷新,Normal refresh,Làm mới bình thường,일반 갱신,Atualização normal,รีเฟรชปกติ,精选商店累计手动刷新1000次,精選商店累計手動刷新1000次,"Selected stores have been manually refreshed 1,000 times in total",Tổng cộng 1.000 lần làm mới thủ công trong các cửa hàng được chọn,특선 상점 수동으로 갱신 누적 1000회,As lojas selecionadas foram atualizadas manualmente 1.000 vezes no total,"ร้านค้าที่เลือกได้รับการรีเฟรชด้วยตนเองทั้งหมด 1,000 ครั้ง",,
1105,1,85,85,300,,,30,{rmb=100;gold=20000},FALSE,1,神秘刷新,神秘刷新,Mystery refresh,Làm mới bí ẩn,신비한 갱신,Atualização misteriosa,การรีเฟรชความลึกลับ,神秘商店累计手动刷新300次         ,神秘商店累計手動刷新300次,The Mystery Store has been manually refreshed 300 times in total,Mystery Store đã được làm mới thủ công tổng cộng 300 lần,신비 상점에서 수동으로 누적 300회 리셋,A Mystery Store foi atualizada manualmente 300 vezes no total,Mystery Store ได้รับการรีเฟรชด้วยตนเองทั้งหมด 300 ครั้ง,,
1106,1,88,88,1,2200,,50,{rmb=200;gold=20000},,1,指数2200！,指數2200！,Index 2200!,Chỉ số 2200!,2200 지수!,Índice 2200!,ดัชนี 2200!,任意精灵的符石品质指数达到2200,任意精靈的符石品質指數達到2200,The quality index of any Pokémon's runestone reaches 2200,Chỉ số chất lượng của bất kỳ runestone của linh hồn nào đạt 2200,임의의 포켓몬 룬스톤 등급 지수 2200 달성,O índice de qualidade da runa de qualquer Pokémon chega a 2200,ดัชนีคุณภาพของรูนสโตนของโปเกมอนตัวใดก็ตามจะอยู่ที่ 2200,,
1107,1,87,87,100,6,,50,{rmb=200;gold=20000},FALSE,1,红色符石,紅色符石,Red gem,Runestone đỏ,빨간색 룬스톤,gema vermelha,อัญมณีสีแดง,累计获得100个红色品质符石         ,累計獲得100個紅色品質符石,Acquired a total of 100 red quality gems,Nhận tổng cộng 100 runestones chất lượng đỏ,적색 품질 룬스톤 누적 100개 획득,Adquiriu um total de 100 gemas de qualidade vermelha,ได้รับอัญมณีคุณภาพสีแดงรวม 100 ชิ้น,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2,14,14,10,,,10,{rmb=30;13=10},,1,刚拿到图鉴吧,剛拿到圖鑒吧,Did you just get the Pokédex?,Vừa Nhận Được Pokédex,도감을 얻었어,Você acabou de receber a Pokédex?,คุณเพิ่งได้ Pokédex ไหม?,图鉴激活精灵10个,圖鑒啟動精靈10個,Unlock 10 Pokémons in Pokédex,10 Pokémon kích hoạt Pokédex,도감에 포켓몬 10개 활성화,Desbloqueie 10 Pokémons no Pokédex,ปลดล็อคโปเกมอน 10 ตัวในโปเกเด็กซ์,handbook,
2002,2,14,14,25,,,10,{rmb=30;13=10},,2,开启精灵冒险,開啟精靈冒險,Begin the Pokémon Adventure,Bắt Đầu Thám Hiểm Pokémon,포켓몬 모험 시작,Comece a aventura Pokémon,เริ่มต้นการผจญภัยโปเกมอน,图鉴激活精灵25个,圖鑒啟動精靈25個,Unlock 25 Pokémons in Pokédex,25 Pokémon kích hoạt Pokédex,도감에 포켓몬 25개 활성화,Desbloqueie 25 Pokémons no Pokédex,ปลดล็อคโปเกมอน 25 ตัวในPokédex,handbook,
2003,2,14,14,50,,,10,{rmb=50;13=10},,3,冒险有段时间,冒險有段時間,Go for an adventure for some time,Thám Hiểm Một Thời Gian,모험의 시간,Vá para uma aventura por algum tempo,ออกไปผจญภัยสักพักหนึ่ง,图鉴激活精灵50个,圖鑒啟動精靈50個,Unlock 50 Pokémons in Pokédex,50 Pokémon kích hoạt Pokédex,도감에 포켓몬 50개 활성화,Desbloqueie 50 Pokémons no Pokédex,ปลดล็อคโปเกมอน 50 ตัวในPokédex,handbook,
2004,2,14,14,100,,,20,{rmb=50;13=10},,4,收集过百,收集過百,Collect more than a hundred,Thu Thập Trên 100,백 마리 수집,Colecione mais de cem,สะสมได้กว่าร้อย,图鉴激活精灵100个,圖鑒啟動精靈100個,Unlock 100 Pokémons in Pokédex,100 Pokémon kích hoạt Pokédex,도감에 포켓몬 100개 활성화,Desbloqueie 100 Pokémons no Pokédex,ปลดล็อคโปเกมอน 100 ตัวในPokédex,handbook,
2005,2,14,14,150,,,30,{rmb=50;13=20},,5,收获不少精灵,收穫不少精靈,You've caught many Pokémons,Thu Hoạch Nhiều Pokémon,많은 포켓몬들,Você pegou muitos Pokémons,คุณจับโปเกมอนได้หลายตัวแล้ว,图鉴激活精灵150个,圖鑒啟動精靈150個,Unlock 150 Pokémons in Pokédex,150 Pokémon kích hoạt Pokédex,도감에 포켓몬 150개 활성화,Desbloqueie 150 Pokémons no Pokédex,ปลดล็อคโปเกมอน 150 ตัวในPokédex,handbook,
2006,2,14,14,200,,,40,{rmb=50;13=20},,6,停不下来,停不下來,Unstoppable,Không Thể Dừng Lại,멈출 수 없어,Imparável,หยุดไม่อยู่,图鉴激活精灵200个,圖鑒啟動精靈200個,Unlock 200 Pokémons in Pokédex,200 Pokémon kích hoạt Pokédex,도감에 포켓몬 200개 활성화,Desbloqueie 200 Pokémons no Pokédex,ปลดล็อคโปเกมอน 200 ตัวในPokédex,handbook,
2007,2,14,14,250,,,50,{rmb=50;13=20;2003=1},,7,图鉴250！,图鉴250！,Pokedex250,Sách có minh họa 250!,250 도감!,Pokédex250,โปเกเด็กซ์250,图鉴激活精灵250个,圖鑒啟動精靈250個,Unlock 250 Pokémons in Pokédex,250 Pokémon kích hoạt Pokédex,도감에 포켓몬 250개 활성화,Desbloqueie 250 Pokémons no Pokédex,ปลดล็อคโปเกมอน 250 ตัวในPokédex,handbook,
2008,2,14,14,300,,,50,{rmb=50;13=20},,8,点亮全图鉴！,點亮全圖鑒！,Complete all Pokédex entries!,Thắp Sáng Toàn Bộ Pokédex,도감 완성!,Complete todas as entradas da Pokédex!,เข้ารายการ Pokédex ทั้งหมดให้ครบ!,图鉴激活精灵300个,圖鑒啟動精靈300個,Unlock 300 Pokémons in Pokédex,300 Pokémon kích hoạt Pokédex,도감에 포켓몬 300개 활성화,Desbloqueie 300 Pokémons no Pokédex,ปลดล็อคโปเกมอน 300 ตัวในPokédex,handbook,
2009,2,15,1501,5,1,,10,{rmb=30;13=10},,1,一般系收藏家,一般系收藏家,Normal-type Collector,Collector Hệ Thường,노말 수집가,Colecionador de tipo normal,คอลเลกเตอร์ชนิดปกติ,一般系精灵收集5个,一般系精靈收集5個,Collect 5 Normal-type Pokémons,Thu thập 5 Pokémon Hệ Thường,노말 포켓몬 5개 수집,Colete 5 Pokémons do tipo Normal,รวบรวมโปเกมอนประเภทปกติ 5 ตัว,handbook,
2010,2,15,1501,10,1,,15,{rmb=30;13=10},,2,一般系收藏家,一般系收藏家,Normal-type Collector,Collector Hệ Thường,노말 수집가,Colecionador de tipo normal,คอลเลกเตอร์ชนิดปกติ,一般系精灵收集10个,一般系精靈收集10個,Collect 10 Normal-type Pokémons,Thu thập 10 Pokémon Hệ Thường,노말 포켓몬 10개 수집,Colete 10 Pokémons do tipo Normal,รวบรวมโปเกมอนประเภทปกติ 10 ตัว,handbook,
2011,2,15,1501,15,1,,20,{rmb=30;13=10},,3,一般系收藏家,一般系收藏家,Normal-type Collector,Collector Hệ Thường,노말 수집가,Colecionador de tipo normal,คอลเลกเตอร์ชนิดปกติ,一般系精灵收集15个,一般系精靈收集15個,Collect 15 Normal-type Pokémons,Thu thập 15 Pokémon Hệ Thường,노말 포켓몬 15개 수집,Colete 15 Pokémons do tipo Normal,รวบรวมโปเกมอนประเภทปกติ 15 ตัว,handbook,
2012,2,15,1501,20,1,,20,{rmb=30;13=10},,4,一般系收藏家,一般系收藏家,Normal-type Collector,Collector Hệ Thường,노말 수집가,Colecionador de tipo normal,คอลเลกเตอร์ชนิดปกติ,一般系精灵收集20个,一般系精靈收集20個,Collect 20 Normal-type Pokémons,Thu thập 20 Pokémon Hệ Thường,노말 포켓몬 20개 수집,Colete 20 Pokémons do tipo Normal,รวบรวมโปเกมอนประเภทปกติ 20 ตัว,handbook,
2013,2,15,1501,30,1,,30,{rmb=30;13=10},,5,一般系收藏家,一般系收藏家,Normal-type Collector,Collector Hệ Thường,노말 수집가,Colecionador de tipo normal,คอลเลกเตอร์ชนิดปกติ,一般系精灵收集30个,一般系精靈收集30個,Collect 30 Normal-type Pokémons,Thu thập 30 Pokémon Hệ Thường,노말 포켓몬 30개 수집,Colete 30 Pokémons do tipo Normal,รวบรวมโปเกมอนประเภทปกติ 30 ตัว,handbook,
2014,2,15,1502,5,2,,10,{rmb=30;13=10},,1,火系收藏家,火系收藏家,Fire-type Collector,Collector Hệ Lửa,불꽃 타입 수집가,Colecionador tipo fogo,คอลเลกเตอร์ชนิดไฟ,火系精灵收集5个,火系精靈收集5個,Collect 5 Fire-type Pokémons,Thu thập 5 Pokémon Hệ Lửa,불꽃 타입 포켓몬 5개 수집,Colete 5 Pokémon do tipo fogo,รวบรวมโปเกมอนประเภทไฟ 5 ตัว,handbook,
2015,2,15,1502,10,2,,15,{rmb=30;13=10},,2,火系收藏家,火系收藏家,Fire-type Collector,Collector Hệ Lửa,불꽃 타입 수집가,Colecionador tipo fogo,คอลเลกเตอร์ชนิดไฟ,火系精灵收集10个,火系精靈收集10個,Collect 10 Fire-type Pokémons,Thu thập 10 Pokémon Hệ Lửa,불꽃 타입 포켓몬 10개 수집,Colete 10 Pokémon do tipo fogo,รวบรวมโปเกมอนประเภทไฟ 10 ตัว,handbook,
2016,2,15,1502,15,2,,20,{rmb=30;13=10},,3,火系收藏家,火系收藏家,Fire-type Collector,Collector Hệ Lửa,불꽃 타입 수집가,Colecionador tipo fogo,คอลเลกเตอร์ชนิดไฟ,火系精灵收集15个,火系精靈收集15個,Collect 15 Fire-type Pokémons,Thu thập 15 Pokémon Hệ Lửa,불꽃 타입 포켓몬 15개 수집,Colete 15 Pokémon do tipo fogo,รวบรวมโปเกมอนประเภทไฟ 15 ตัว,handbook,
2017,2,15,1502,20,2,,20,{rmb=30;13=10},,4,火系收藏家,火系收藏家,Fire-type Collector,Collector Hệ Lửa,불꽃 타입 수집가,Colecionador tipo fogo,คอลเลกเตอร์ชนิดไฟ,火系精灵收集20个,火系精靈收集20個,Collect 20 Fire-type Pokémons,Thu thập 20 Pokémon Hệ Lửa,불꽃 타입 포켓몬 20개 수집,Colete 20 Pokémon do tipo fogo,รวบรวมโปเกมอนประเภทไฟ 20 ตัว,handbook,
2018,2,15,1502,30,2,,30,{rmb=30;13=10},,5,火系收藏家,火系收藏家,Fire-type Collector,Collector Hệ Lửa,불꽃 타입 수집가,Colecionador tipo fogo,คอลเลกเตอร์ชนิดไฟ,火系精灵收集30个,火系精靈收集30個,Collect 30 Fire-type Pokémons,Thu thập 30 Pokémon Hệ Lửa,불꽃 타입 포켓몬 30개 수집,Colete 30 Pokémon do tipo fogo,รวบรวมโปเกมอนประเภทไฟ 30 ตัว,handbook,
2019,2,15,1503,5,3,,10,{rmb=30;13=10},,1,水系收藏家,水系收藏家,Water-type Collector,Collector Hệ Nước,물 타입 수집가,Coletor tipo água,ตัวเก็บประจุชนิดน้ำ,水系精灵收集5个,水系精靈收集5個,Collect 5 Water-type Pokémons,Thu thập 5 Pokémon Hệ Nước,물 타입 포켓몬 5개 수집,Colete 5 Pokémon do tipo Água,รวบรวมโปเกมอนประเภทน้ำ 5 ตัว,handbook,
2020,2,15,1503,10,3,,15,{rmb=30;13=10},,2,水系收藏家,水系收藏家,Water-type Collector,Collector Hệ Nước,물 타입 수집가,Coletor tipo água,ตัวเก็บประจุชนิดน้ำ,水系精灵收集10个,水系精靈收集10個,Collect 10 Water-type Pokémons,Thu thập 10 Pokémon Hệ Nước,물 타입 포켓몬 10개 수집,Colete 10 Pokémon do tipo Água,รวบรวมโปเกมอนประเภทน้ำ 10 ตัว,handbook,
2021,2,15,1503,15,3,,20,{rmb=30;13=10},,3,水系收藏家,水系收藏家,Water-type Collector,Collector Hệ Nước,물 타입 수집가,Coletor tipo água,ตัวเก็บประจุชนิดน้ำ,水系精灵收集15个,水系精靈收集15個,Collect 15 Water-type Pokémons,Thu thập 15 Pokémon Hệ Nước,물 타입 포켓몬 15개 수집,Colecione 15 Pokémon do tipo Água,รวบรวมโปเกมอนประเภทน้ำ 15 ตัว,handbook,
2022,2,15,1503,20,3,,20,{rmb=30;13=10},,4,水系收藏家,水系收藏家,Water-type Collector,Collector Hệ Nước,물 타입 수집가,Coletor tipo água,ตัวเก็บประจุชนิดน้ำ,水系精灵收集20个,水系精靈收集20個,Collect 20 Water-type Pokémons,Thu thập 20 Pokémon Hệ Nước,물 타입 포켓몬 20개 수집,Colete 20 Pokémon do tipo Água,รวบรวมโปเกมอนประเภทน้ำ 20 ตัว,handbook,
2023,2,15,1503,30,3,,30,{rmb=30;13=10},,5,水系收藏家,水系收藏家,Water-type Collector,Collector Hệ Nước,물 타입 수집가,Coletor tipo água,ตัวเก็บประจุชนิดน้ำ,水系精灵收集30个,水系精靈收集30個,Collect 30 Water-type Pokémons,Thu thập 30 Pokémon Hệ Nước,물 타입 포켓몬 30개 수집,Colecione 30 Pokémon do tipo Água,รวบรวมโปเกมอนประเภทน้ำ 30 ตัว,handbook,
2024,2,15,1504,5,4,,10,{rmb=30;13=10},,1,草系收藏家,草系收藏家,Grass-type Collector,Collector Hệ Cỏ,풀 타입 수집가,Colecionador tipo grama,เครื่องเก็บสะสมชนิดหญ้า,草系精灵收集5个,草系精靈收集5個,Collect 5 Grass-type Pokémons,Thu thập 5 Pokémon Hệ Cỏ,풀 타입 포켓몬 5개 수집,Colete 5 Pokémon do tipo grama,รวบรวมโปเกมอนประเภทหญ้า 5 ตัว,handbook,
2025,2,15,1504,10,4,,15,{rmb=30;13=10},,2,草系收藏家,草系收藏家,Grass-type Collector,Collector Hệ Cỏ,풀 타입 수집가,Colecionador tipo grama,เครื่องเก็บสะสมชนิดหญ้า,草系精灵收集10个,草系精靈收集10個,Collect 10 Grass-type Pokémons,Thu thập 10 Pokémon Hệ Cỏ,풀 타입 포켓몬 10개 수집,Colete 10 Pokémon do tipo grama,รวบรวมโปเกมอนประเภทหญ้า 10 ตัว,handbook,
2026,2,15,1504,15,4,,20,{rmb=30;13=10},,3,草系收藏家,草系收藏家,Grass-type Collector,Collector Hệ Cỏ,풀 타입 수집가,Colecionador tipo grama,เครื่องเก็บสะสมชนิดหญ้า,草系精灵收集15个,草系精靈收集15個,Collect 15 Grass-type Pokémons,Thu thập 15 Pokémon Hệ Cỏ,노말 포켓몬 15개 수집,Colete 15 Pokémon do tipo grama,รวบรวมโปเกมอนประเภทหญ้า 15 ตัว,handbook,
2027,2,15,1504,20,4,,20,{rmb=30;13=10},,4,草系收藏家,草系收藏家,Grass-type Collector,Collector Hệ Cỏ,풀 타입 수집가,Colecionador tipo grama,เครื่องเก็บสะสมชนิดหญ้า,草系精灵收集20个,草系精靈收集20個,Collect 20 Grass-type Pokémons,Thu thập 20 Pokémon Hệ Cỏ,풀 타입 포켓몬 20개 수집,Colete 20 Pokémon do tipo grama,รวบรวมโปเกมอนประเภทหญ้า 20 ตัว,handbook,
2028,2,15,1504,30,4,,30,{rmb=30;13=10},,5,草系收藏家,草系收藏家,Grass-type Collector,Collector Hệ Cỏ,풀 타입 수집가,Colecionador tipo grama,เครื่องเก็บสะสมชนิดหญ้า,草系精灵收集30个,草系精靈收集30個,Collect 30 Grass-type Pokémons,Thu thập 30 Pokémon Hệ Cỏ,풀 타입 포켓몬 30개 수집,Colete 30 Pokémon do tipo grama,รวบรวมโปเกมอนประเภทหญ้า 30 ตัว,handbook,
2029,2,15,1505,5,5,,10,{rmb=30;13=10},,1,电系收藏家,電系收藏家,Electric-type Collector,Collector Hệ Điện,전기 타입 수집가,Coletor tipo elétrico,ตัวเก็บประจุไฟฟ้า,电系精灵收集5个,電系精靈收集5個,Collect 5 Electric-type Pokémons,Thu thập 5 Pokémon Hệ Điện,전기 타입 포켓몬 5개 수집,Colete 5 Pokémon do tipo elétrico,รวบรวมโปเกมอนประเภทไฟฟ้า 5 ตัว,handbook,
2030,2,15,1505,10,5,,15,{rmb=30;13=10},,2,电系收藏家,電系收藏家,Electric-type Collector,Collector Hệ Điện,전기 타입 수집가,Coletor tipo elétrico,ตัวเก็บประจุไฟฟ้า,电系精灵收集10个,電系精靈收集10個,Collect 10 Electric-type Pokémons,Thu thập 10 Pokémon Hệ Điện,전기 타입 포켓몬 10개 수집,Colete 10 Pokémon do tipo elétrico,รวบรวมโปเกมอนประเภทไฟฟ้า 10 ตัว,handbook,
2031,2,15,1505,15,5,,20,{rmb=30;13=10},,3,电系收藏家,電系收藏家,Electric-type Collector,Collector Hệ Điện,전기 타입 수집가,Coletor tipo elétrico,ตัวเก็บประจุไฟฟ้า,电系精灵收集15个,電系精靈收集15個,Collect 15 Electric-type Pokémons,Thu thập 15 Pokémon Hệ Điện,전기 타입 포켓몬 15개 수집,Colecione 15 Pokémon do tipo elétrico,รวบรวมโปเกมอนประเภทไฟฟ้า 15 ตัว,handbook,
2032,2,15,1505,20,5,,20,{rmb=30;13=10},,4,电系收藏家,電系收藏家,Electric-type Collector,Collector Hệ Điện,전기 타입 수집가,Coletor tipo elétrico,ตัวเก็บประจุไฟฟ้า,电系精灵收集20个,電系精靈收集20個,Collect 20 Electric-type Pokémons,Thu thập 20 Pokémon Hệ Điện,전기 타입 포켓몬 20개 수집,Colete 20 Pokémon do tipo elétrico,รวบรวมโปเกมอนประเภทไฟฟ้า 20 ตัว,handbook,
2033,2,15,1505,30,5,,30,{rmb=30;13=10},,5,电系收藏家,電系收藏家,Electric-type Collector,Collector Hệ Điện,전기 타입 수집가,Coletor tipo elétrico,ตัวเก็บประจุไฟฟ้า,电系精灵收集30个,電系精靈收集30個,Collect 30 Electric-type Pokémons,Thu thập 30 Pokémon Hệ Điện,전기 타입 포켓몬 30개 수집,Colecione 30 Pokémon do tipo elétrico,รวบรวมโปเกมอนประเภทไฟฟ้า 30 ตัว,handbook,
2034,2,15,1506,5,6,,10,{rmb=30;13=10},,1,冰系收藏家,冰系收藏家,Ice-type Collector,Collector Hệ Băng,얼음 타입 수집가,Colecionador tipo gelo,เครื่องเก็บสะสมชนิดน้ำแข็ง,冰系精灵收集5个,冰系精靈收集5個,Collect 5 Ice-type Pokémons,Thu thập 5 Pokémon Hệ Băng,얼음 타입 포켓몬 5개 수집,Colete 5 Pokémon do tipo gelo,รวบรวมโปเกมอนประเภทน้ำแข็ง 5 ตัว,handbook,
2035,2,15,1506,10,6,,15,{rmb=30;13=10},,2,冰系收藏家,冰系收藏家,Ice-type Collector,Collector Hệ Băng,얼음 타입 수집가,Colecionador tipo gelo,เครื่องเก็บสะสมชนิดน้ำแข็ง,冰系精灵收集10个,冰系精靈收集10個,Collect 10 Ice-type Pokémons,Thu thập 10 Pokémon Hệ Băng,얼음 타입 포켓몬 10개 수집,Colete 10 Pokémon do tipo gelo,รวบรวมโปเกมอนประเภทน้ำแข็ง 10 ตัว,handbook,
2036,2,15,1506,15,6,,20,{rmb=30;13=10},,3,冰系收藏家,冰系收藏家,Ice-type Collector,Collector Hệ Băng,얼음 타입 수집가,Colecionador tipo gelo,เครื่องเก็บสะสมชนิดน้ำแข็ง,冰系精灵收集15个,冰系精靈收集15個,Collect 15 Ice-type Pokémons,Thu thập 15 Pokémon Hệ Băng,얼음 타입 포켓몬 15개 수집,Colecione 15 Pokémon do tipo Gelo,รวบรวมโปเกมอนประเภทน้ำแข็ง 15 ตัว,handbook,
2037,2,15,1506,20,6,,20,{rmb=30;13=10},,4,冰系收藏家,冰系收藏家,Ice-type Collector,Collector Hệ Băng,얼음 타입 수집가,Colecionador tipo gelo,เครื่องเก็บสะสมชนิดน้ำแข็ง,冰系精灵收集20个,冰系精靈收集20個,Collect 20 Ice-type Pokémons,Thu thập 20 Pokémon Hệ Băng,얼음 타입 포켓몬 20개 수집,Colete 20 Pokémon do tipo Gelo,รวบรวมโปเกมอนประเภทน้ำแข็ง 20 ตัว,handbook,
2038,2,15,1506,30,6,,30,{rmb=30;13=10},,5,冰系收藏家,冰系收藏家,Ice-type Collector,Collector Hệ Băng,얼음 타입 수집가,Colecionador tipo gelo,เครื่องเก็บสะสมชนิดน้ำแข็ง,冰系精灵收集30个,冰系精靈收集30個,Collect 30 Ice-type Pokémons,Thu thập 30 Pokémon Hệ Băng,얼음 타입 포켓몬 30개 수집,Colecione 30 Pokémon do tipo Gelo,รวบรวมโปเกมอนประเภทน้ำแข็ง 30 ตัว,handbook,
2039,2,15,1507,5,7,,10,{rmb=30;13=10},,1,格斗系收藏家,格鬥系收藏家,Fighting-type Collector,Collector Hệ Đấu,격투 타입 수집가,Colecionador do tipo lutador,นักสะสมประเภทต่อสู้,格斗系精灵收集5个,格鬥系精靈收集5個,Collect 5 Fighting-type Pokémons,Thu thập 5 Pokémon Hệ Đấu,격투 타입 포켓몬 5개 수집,Colecione 5 Pokémon do tipo Lutador,รวบรวมโปเกมอนประเภทต่อสู้ 5 ตัว,handbook,
2040,2,15,1507,10,7,,15,{rmb=30;13=10},,2,格斗系收藏家,格鬥系收藏家,Fighting-type Collector,Collector Hệ Đấu,격투 타입 수집가,Colecionador do tipo lutador,นักสะสมประเภทต่อสู้,格斗系精灵收集10个,格鬥系精靈收集10個,Collect 10 Fighting-type Pokémons,Thu thập 10 Pokémon Hệ Đấu,격투 타입 포켓몬 10개 수집,Colecione 10 Pokémon do tipo Lutador,รวบรวมโปเกมอนประเภทต่อสู้ 10 ตัว,handbook,
2041,2,15,1507,15,7,,20,{rmb=30;13=10},,3,格斗系收藏家,格鬥系收藏家,Fighting-type Collector,Collector Hệ Đấu,격투 타입 수집가,Colecionador do tipo lutador,นักสะสมประเภทต่อสู้,格斗系精灵收集15个,格鬥系精靈收集15個,Collect 15 Fighting-type Pokémons,Thu thập 15 Pokémon Hệ Đấu,격투 타입 포켓몬 15개 수집,Colecione 15 Pokémon do tipo Lutador,รวบรวมโปเกมอนประเภทต่อสู้ 15 ตัว,handbook,
2042,2,15,1507,20,7,,20,{rmb=30;13=10},,4,格斗系收藏家,格鬥系收藏家,Fighting-type Collector,Collector Hệ Đấu,격투 타입 수집가,Colecionador do tipo lutador,นักสะสมประเภทต่อสู้,格斗系精灵收集20个,格鬥系精靈收集20個,Collect 20 Fighting-type Pokémons,Thu thập 20 Pokémon Hệ Đấu,격투 타입 포켓몬 20개 수집,Colecione 20 Pokémon do tipo Lutador,รวบรวมโปเกมอนประเภทต่อสู้ 20 ตัว,handbook,
2043,2,15,1507,30,7,,30,{rmb=30;13=10},,5,格斗系收藏家,格鬥系收藏家,Fighting-type Collector,Collector Hệ Đấu,격투 타입 수집가,Colecionador do tipo lutador,นักสะสมประเภทต่อสู้,格斗系精灵收集30个,格鬥系精靈收集30個,Collect 30 Fighting-type Pokémons,Thu thập 30 Pokémon Hệ Đấu,격투 타입 포켓몬 30개 수집,Colecione 30 Pokémon do tipo Lutador,รวบรวมโปเกมอนประเภทต่อสู้ 30 ตัว,handbook,
2044,2,15,1508,5,8,,10,{rmb=30;13=10},,1,毒系收藏家,毒系收藏家,Poison-type Collector,Collector Hệ Độc,독 타입 수집가,Colecionador tipo veneno,นักสะสมประเภทพิษ,毒系精灵收集5个,毒系精靈收集5個,Collect 5 Poison-type Pokémons,Thu thập 5 Pokémon Hệ Độc,독 타입 포켓몬 5개 수집,Colete 5 Pokémons do tipo Veneno,รวบรวมโปเกมอนประเภทพิษ 5 ตัว,handbook,
2045,2,15,1508,10,8,,15,{rmb=30;13=10},,2,毒系收藏家,毒系收藏家,Poison-type Collector,Collector Hệ Độc,독 타입 수집가,Colecionador tipo veneno,นักสะสมประเภทพิษ,毒系精灵收集10个,毒系精靈收集10個,Collect 10 Poison-type Pokémons,Thu thập 10 Pokémon Hệ Độc,독 타입 포켓몬 10개 수집,Colete 10 Pokémons do tipo Veneno,รวบรวมโปเกมอนประเภทพิษ 10 ตัว,handbook,
2046,2,15,1508,15,8,,20,{rmb=30;13=10},,3,毒系收藏家,毒系收藏家,Poison-type Collector,Collector Hệ Độc,독 타입 수집가,Colecionador tipo veneno,นักสะสมประเภทพิษ,毒系精灵收集15个,毒系精靈收集15個,Collect 15 Poison-type Pokémons,Thu thập 15 Pokémon Hệ Độc,독 타입 포켓몬 15개 수집,Colete 15 Pokémons do tipo Veneno,รวบรวมโปเกมอนประเภทพิษ 15 ตัว,handbook,
2047,2,15,1508,20,8,,20,{rmb=30;13=10},,4,毒系收藏家,毒系收藏家,Poison-type Collector,Collector Hệ Độc,독 타입 수집가,Colecionador tipo veneno,นักสะสมประเภทพิษ,毒系精灵收集20个,毒系精靈收集20個,Collect 20 Poison-type Pokémons,Thu thập 20 Pokémon Hệ Độc,독 타입 포켓몬 20개 수집,Colete 20 Pokémons do tipo Veneno,รวบรวมโปเกมอนประเภทพิษ 20 ตัว,handbook,
2048,2,15,1508,30,8,,30,{rmb=30;13=10},,5,毒系收藏家,毒系收藏家,Poison-type Collector,Collector Hệ Độc,독 타입 수집가,Colecionador tipo veneno,นักสะสมประเภทพิษ,毒系精灵收集30个,毒系精靈收集30個,Collect 30 Poison-type Pokémons,Thu thập 30 Pokémon Hệ Độc,독 타입 포켓몬 30개 수집,Colete 30 Pokémons do tipo Veneno,รวบรวมโปเกมอนประเภทพิษ 30 ตัว,handbook,
