变量名,huodongID,daySum,themeType,themeName,themeName_tw,themeName_en,themeName_vn,themeName_kr,themeName_pt,themeName_th,tabIndex,tabName,tabName_tw,tabName_en,tabName_vn,tabName_kr,tabName_pt,tabName_th,countType,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,award,costMap,priceShow,buyMax
191,11001,19,18,第19天,第19天,Day19,404404,19일 차,Day19,Day19,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,2,22,300,,当日累积充值300钻石,當日累積儲值300鑽石,Purchase 300 diamonds in total today,Purchase 300 diamonds in total today,당일 300다이아 누적 충전,Compre 300 diamantes no total hoje,ซื้อเพชรรวม 300 เม็ดวันนี้,{20391=1;13=10;504=10;gold=30000},,,
192,11001,19,18,第19天,第19天,Day19,404404,19일 차,Day19,Day19,1,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,3,72,,,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
193,11001,20,19,第20天,第20天,Day20,404404,20일 차,Day20,Day20,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,1,15,1,,每日登录豪礼,每日登錄豪禮,Daily login Deluxe Pack,Daily login Deluxe Pack,매일 로그인 호화 선물,Login diário Pacote Deluxe,แพ็ค Deluxe สำหรับการเข้าสู่ระบบรายวัน,{20391=1;13=10;504=10;gold=30000},,,
194,11001,20,19,第20天,第20天,Day20,404404,20일 차,Day20,Day20,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,2,22,300,,当日累积充值300钻石,當日累積儲值300鑽石,Purchase 300 diamonds in total today,Purchase 300 diamonds in total today,당일 300다이아 누적 충전,Compre 300 diamantes no total hoje,ซื้อเพชรรวม 300 เม็ดวันนี้,{20391=1;13=10;504=10;gold=30000},,,
195,11001,20,19,第20天,第20天,Day20,404404,20일 차,Day20,Day20,1,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,3,72,,,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
196,11001,21,20,第21天,第21天,Day21,404404,21일 차,Day21,Day21,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,1,15,1,,每日登录豪礼,每日登錄豪禮,Daily login Deluxe Pack,Daily login Deluxe Pack,매일 로그인 호화 선물,Login diário Pacote Deluxe,แพ็ค Deluxe สำหรับการเข้าสู่ระบบรายวัน,{20391=1;13=10;504=10;gold=30000},,,
197,11001,21,20,第21天,第21天,Day21,404404,21일 차,Day21,Day21,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,2,22,300,,当日累积充值300钻石,當日累積儲值300鑽石,Purchase 300 diamonds in total today,Purchase 300 diamonds in total today,당일 300다이아 누적 충전,Compre 300 diamantes no total hoje,ซื้อเพชรรวม 300 เม็ดวันนี้,{20391=1;13=10;504=10;gold=30000},,,
198,11001,21,20,第21天,第21天,Day21,404404,21일 차,Day21,Day21,1,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,3,72,,,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
199,11001,22,21,第22天,第22天,Day22,404404,22일 차,Day22,Day22,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,1,15,1,,每日登录豪礼,每日登錄豪禮,Daily login Deluxe Pack,Daily login Deluxe Pack,매일 로그인 호화 선물,Login diário Pacote Deluxe,แพ็ค Deluxe สำหรับการเข้าสู่ระบบรายวัน,{20391=1;13=10;504=10;gold=30000},,,
200,11001,22,21,第22天,第22天,Day22,404404,22일 차,Day22,Day22,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,2,22,300,,当日累积充值300钻石,當日累積儲值300鑽石,Purchase 300 diamonds in total today,Purchase 300 diamonds in total today,당일 300다이아 누적 충전,Compre 300 diamantes no total hoje,ซื้อเพชรรวม 300 เม็ดวันนี้,{20391=1;13=10;504=10;gold=30000},,,
201,11001,22,21,第22天,第22天,Day22,404404,22일 차,Day22,Day22,1,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,3,72,,,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
202,11001,23,22,第23天,第23天,Day23,404404,23일 차,Day23,Day23,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,1,15,1,,每日登录豪礼,每日登錄豪禮,Daily login Deluxe Pack,Daily login Deluxe Pack,매일 로그인 호화 선물,Login diário Pacote Deluxe,แพ็ค Deluxe สำหรับการเข้าสู่ระบบรายวัน,{20391=1;13=10;504=10;gold=30000},,,
203,11001,23,22,第23天,第23天,Day23,404404,23일 차,Day23,Day23,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,2,22,300,,当日累积充值300钻石,當日累積儲值300鑽石,Purchase 300 diamonds in total today,Purchase 300 diamonds in total today,당일 300다이아 누적 충전,Compre 300 diamantes no total hoje,ซื้อเพชรรวม 300 เม็ดวันนี้,{20391=1;13=10;504=10;gold=30000},,,
204,11001,23,22,第23天,第23天,Day23,404404,23일 차,Day23,Day23,1,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,3,72,,,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
205,11001,24,23,第24天,第24天,Day24,404404,24일 차,Day24,Day24,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,1,15,1,,每日登录豪礼,每日登錄豪禮,Daily login Deluxe Pack,Daily login Deluxe Pack,매일 로그인 호화 선물,Login diário Pacote Deluxe,แพ็ค Deluxe สำหรับการเข้าสู่ระบบรายวัน,{20391=1;13=10;504=10;gold=30000},,,
206,11001,24,23,第24天,第24天,Day24,404404,24일 차,Day24,Day24,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,2,22,300,,当日累积充值300钻石,當日累積儲值300鑽石,Purchase 300 diamonds in total today,Purchase 300 diamonds in total today,당일 300다이아 누적 충전,Compre 300 diamantes no total hoje,ซื้อเพชรรวม 300 เม็ดวันนี้,{20391=1;13=10;504=10;gold=30000},,,
207,11001,24,23,第24天,第24天,Day24,404404,24일 차,Day24,Day24,1,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,3,72,,,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
208,11001,25,24,第25天,第25天,Day25,404404,25일 차,Day25,Day25,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,1,15,1,,每日登录豪礼,每日登錄豪禮,Daily login Deluxe Pack,Daily login Deluxe Pack,매일 로그인 호화 선물,Login diário Pacote Deluxe,แพ็ค Deluxe สำหรับการเข้าสู่ระบบรายวัน,{20391=1;13=10;504=10;gold=30000},,,
209,11001,25,24,第25天,第25天,Day25,404404,25일 차,Day25,Day25,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,2,22,300,,当日累积充值300钻石,當日累積儲值300鑽石,Purchase 300 diamonds in total today,Purchase 300 diamonds in total today,당일 300다이아 누적 충전,Compre 300 diamantes no total hoje,ซื้อเพชรรวม 300 เม็ดวันนี้,{20391=1;13=10;504=10;gold=30000},,,
210,11001,25,24,第25天,第25天,Day25,404404,25일 차,Day25,Day25,1,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,3,72,,,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
211,11001,26,25,第26天,第26天,Day26,404404,26일 차,Day26,Day26,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,1,15,1,,每日登录豪礼,每日登錄豪禮,Daily login Deluxe Pack,Daily login Deluxe Pack,매일 로그인 호화 선물,Login diário Pacote Deluxe,แพ็ค Deluxe สำหรับการเข้าสู่ระบบรายวัน,{20391=1;13=10;504=10;gold=30000},,,
212,11001,26,25,第26天,第26天,Day26,404404,26일 차,Day26,Day26,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,2,22,300,,当日累积充值300钻石,當日累積儲值300鑽石,Purchase 300 diamonds in total today,Purchase 300 diamonds in total today,당일 300다이아 누적 충전,Compre 300 diamantes no total hoje,ซื้อเพชรรวม 300 เม็ดวันนี้,{20391=1;13=10;504=10;gold=30000},,,
213,11001,26,25,第26天,第26天,Day26,404404,26일 차,Day26,Day26,1,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,3,72,,,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
214,11001,27,26,第27天,第27天,Day27,404404,27일 차,Day27,Day27,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,1,15,1,,每日登录豪礼,每日登錄豪禮,Daily login Deluxe Pack,Daily login Deluxe Pack,매일 로그인 호화 선물,Login diário Pacote Deluxe,แพ็ค Deluxe สำหรับการเข้าสู่ระบบรายวัน,{20391=1;13=10;504=10;gold=30000},,,
215,11001,27,26,第27天,第27天,Day27,404404,27일 차,Day27,Day27,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,2,22,300,,当日累积充值300钻石,當日累積儲值300鑽石,Purchase 300 diamonds in total today,Purchase 300 diamonds in total today,당일 300다이아 누적 충전,Compre 300 diamantes no total hoje,ซื้อเพชรรวม 300 เม็ดวันนี้,{20391=1;13=10;504=10;gold=30000},,,
216,11001,27,26,第27天,第27天,Day27,404404,27일 차,Day27,Day27,1,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,3,72,,,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
217,11001,28,27,第28天,第28天,Day28,404404,28일 차,Day28,Day28,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,1,15,1,,每日登录豪礼,每日登錄豪禮,Daily login Deluxe Pack,Daily login Deluxe Pack,매일 로그인 호화 선물,Login diário Pacote Deluxe,แพ็ค Deluxe สำหรับการเข้าสู่ระบบรายวัน,{20391=1;13=10;504=10;gold=30000},,,
218,11001,28,27,第28天,第28天,Day28,404404,28일 차,Day28,Day28,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,2,22,300,,当日累积充值300钻石,當日累積儲值300鑽石,Purchase 300 diamonds in total today,Purchase 300 diamonds in total today,당일 300다이아 누적 충전,Compre 300 diamantes no total hoje,ซื้อเพชรรวม 300 เม็ดวันนี้,{20391=1;13=10;504=10;gold=30000},,,
219,11001,28,27,第28天,第28天,Day28,404404,28일 차,Day28,Day28,1,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,3,72,,,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,{rmb=30;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,1,15,1,,每日登录豪礼,每日登錄豪禮,Daily login Deluxe Pack,Daily login Deluxe Pack,매일 로그인 호화 선물,Login diário Pacote Deluxe,แพ็ค Deluxe สำหรับการเข้าสู่ระบบรายวัน,{rmb=100;930=5;519=10;gold=100000;},,,
221,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,1,1,20,,等级达到20,等級達到20,Attain level 20,Attain level 20,레벨 20 달성,Alcance o nível 20,บรรลุระดับ 20,{rmb=80;gold=8000;12=20},,,
222,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10105,,通过第一章3关,通過第一章3關,Clear Chapter 1-3,Clear Chapter 1-3,챕터1 스테이지3 클리어,Limpar Capítulo 1-3,เคลียร์บทที่ 1-3,{20771=1;5001=1;5002=1;5003=1},,,
223,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10206,,通过第二章8关,通過第二章8關,Clear Chapter 2-8,Clear Chapter 2-8,챕터2 스테이지8 클리어,Limpar Capítulo 2-8,เคลียร์บทที่ 2-8,{20771=1;5001=2;5002=2;5003=2},,,
224,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10308,,通过第三章8关,通過第三章8關,Clear Chapter 3-8,Clear Chapter 3-8,챕터3 스테이지8 클리어,Limpar Capítulo 3-8,เคลียร์บทที่ 3-8,{20771=1;5004=2;5005=2;5006=2},,,
225,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10408,,通过第四章8关,通過第四章8關,Clear Chapter 4-8 ,Clear Chapter 4-8 ,챕터4 스테이지8 클리어,Limpar Capítulo 4-8,เคลียร์บทที่ 4-8,{20771=1;5004=2;5005=2;5006=2},,,
226,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10510,,通过第五章10关,通過第五章10關,Clear Chapter 5-10,Clear Chapter 5-10,챕터5 스테이지10 클리어,Limpar Capítulo 5-10,เคลียร์บทที่ 5-10,{20771=1;5007=2;5008=2;5009=2},,,
227,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10610,,通过第六章10关,通過第六章10關,Clear Chapter 6-10,Clear Chapter 6-10,챕터6 스테이지10 클리어,Limpar Capítulo 6-10,เคลียร์บทที่ 6-10,{20771=1;5007=3;5008=3;5009=3},,,
228,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10710,,通过第七章10关,通過第七章10關,Clear Chapter 7-10,Clear Chapter 7-10,챕터7 스테이지10 클리어,Limpar Capítulo 7-10,เคลียร์บทที่ 7-10,{20771=1;5010=3;5011=3;5012=3},,,
229,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10810,,通过第八章10关,通過第八章10關,Clear Chapter 8-10,Clear Chapter 8-10,챕터8 스테이지10 클리어,Limpar Capítulo 8-10,เคลียร์บทที่ 8-10,{20771=1;5010=3;5011=3;5012=3},,,
230,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,通关之路,通關之路,Endless Tower,Endless Tower,클리어의 길,Torre sem fim,หอคอยที่ไร้สิ้นสุด,1,2,10910,,通过第九章10关,通過第九章10關,Clear Chapter 9-10,Clear Chapter 9-10,챕터9 스테이지10 클리어,Limpar Capítulo 9-10,เคลียร์บทที่ 9-10,{20771=1;5010=3;5011=3;5012=3},,,
231,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,困难之路,困難之路,Elite Stage,Elite Stage,하드 난이도,Estágio Elite,เวทีอีลิท,1,2,20103,,通过困难第一章3关,通過困難第一章3關,Clear Chapter 1-3 of Hard level,Clear Chapter 1-3 of Hard level,하드 챕터1 스테이지3 클리어,Conclua o Capítulo 1-3 do nível Difícil,เคลียร์บทที่ 1-3 ของระดับ Hard,{20771=1;100=1;gold=6000},,,
232,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,困难之路,困難之路,Elite Stage,Elite Stage,하드 난이도,Estágio Elite,เวทีอีลิท,1,2,20203,,通过困难第二章3关,通過困難第二章3關,Clear Chapter 2-3 of Hard mode,Clear Chapter 2-3 of Hard mode,하드 챕터2 스테이지3 클리어,Conclua o Capítulo 2-3 do Modo Difícil,เคลียร์โหมด Hard บทที่ 2-3,{20771=1;100=1;gold=6000},,,
233,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,困难之路,困難之路,Elite Stage,Elite Stage,하드 난이도,Estágio Elite,เวทีอีลิท,1,2,20304,,通过困难第三章4关,通過困難第三章4關,Clear Chapter 3-4 of Hard mode,Clear Chapter 3-4 of Hard mode,하드 챕터3 스테이지4 클리어,Conclua o Capítulo 3-4 do Modo Difícil,เคลียร์โหมด Hard บทที่ 3-4,{20771=1;100=1;gold=6000},,,
234,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,困难之路,困難之路,Elite Stage,Elite Stage,하드 난이도,Estágio Elite,เวทีอีลิท,1,2,20404,,通过困难第四章4关,通過困難第四章4關,Clear Chapter 4-4 of Hard level,Clear Chapter 4-4 of Hard level,하드 챕터4 스테이지4 클리어,Conclua o Capítulo 4-4 do nível Difícil,เคลียร์บทที่ 4-4 ของระดับ Hard,{20771=1;100=1;gold=6000},,,
235,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,困难之路,困難之路,Elite Stage,Elite Stage,하드 난이도,Estágio Elite,เวทีอีลิท,1,2,20504,,通过困难第五章5关,通過困難第五章5關,Clear Chapter 5-5 of Hard mode,Clear Chapter 5-5 of Hard mode,하드 챕터5 스테이지5 클리어,Conclua o Capítulo 5-5 do Modo Difícil,เคลียร์โหมด Hard บทที่ 5-5,{20771=1;100=1;gold=6000},,,
236,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,困难之路,困難之路,Elite Stage,Elite Stage,하드 난이도,Estágio Elite,เวทีอีลิท,1,2,20605,,通过困难第六章5关,通過困難第六章5關,Clear Chapter 6-5 of Hard mode,Clear Chapter 6-5 of Hard mode,하드 챕터6 스테이지5 클리어,Conclua o Capítulo 6-5 do Modo Difícil,เคลียร์โหมด Hard บทที่ 6-5,{20771=1;100=1;gold=10000},,,
237,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,困难之路,困難之路,Elite Stage,Elite Stage,하드 난이도,Estágio Elite,เวทีอีลิท,1,2,20705,,通过困难第七章5关,通過困難第七章5關,Clear Chapter 7-5 of Hard mode,Clear Chapter 7-5 of Hard mode,하드 챕터7 스테이지5 클리어,Conclua o Capítulo 7-5 do Modo Difícil,เคลียร์โหมด Hard บทที่ 7-5,{20771=1;100=1;gold=20000},,,
238,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,困难之路,困難之路,Elite Stage,Elite Stage,하드 난이도,Estágio Elite,เวทีอีลิท,1,2,20805,,通过困难第八章5关,通過困難第八章5關,Clear Chapter 8-5 of Hard level,Clear Chapter 8-5 of Hard level,하드 챕터8 스테이지5 클리어,Conclua o Capítulo 8-5 do nível Difícil,เคลียร์บทที่ 8-5 ของระดับ Hard,{20771=1;100=1;gold=30000},,,
239,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,2,困难之路,困難之路,Elite Stage,Elite Stage,하드 난이도,Estágio Elite,เวทีอีลิท,1,2,20905,,通过困难第九章5关,通過困難第九章5關,Clear Chapter 9-5 of Hard mode,Clear Chapter 9-5 of Hard mode,하드 챕터9 스테이지5 클리어,Conclua o Capítulo 9-5 do Modo Difícil,เคลียร์โหมด Hard บทที่ 9-5,{20771=1;100=1;gold=30000},,,
240,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,3,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,3,72,,,限时折扣,限時折扣,Time-limited discount,Time-limited discount,기간한정 할인,Desconto por tempo limitado,ส่วนลดมีระยะเวลาจำกัด,{100=5;500=2;14=10},{rmb=250},{rmb=500},
,12001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,,,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,,,1,1,1,,首日登录送vip5,首日登錄送vip5,You get VIP 5 for login on the first day,You get VIP 5 for login on the first day,첫 로그인 VIP5 증정,,,{gold=100000;vip=5;12=20},,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,12001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,1,15,1,,每日登录豪礼,每日登錄豪禮,Daily login Deluxe Pack,Daily login Deluxe Pack,매일 로그인 호화 선물,Login diário Pacote Deluxe,แพ็ค Deluxe สำหรับการเข้าสู่ระบบรายวัน,{rmb=100;20271=30;12=15;gold=100000},,,
242,12001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,0,等级礼包,等級禮包,Level Pack,Level Pack,레벨 패키지,Pacote de níveis,แพ็คระดับ,1,1,25,,等级达到25,等級達到25,Attain level 25,Attain level 25,레벨 25 달성,Alcance o nível 25,บรรลุระดับ 25,{rmb=100;gold=10000;12=20},,,
243,12001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,1,精灵进阶,精靈進階,Pokémon Upgrade,Pokémon Upgrade,포켓몬 진화,Atualização Pokémon,อัพเกรดโปเกมอน,1,9,,{3=3},3个精灵升级至绿+1品质,3個精靈升級至綠+1品質,Upgrade 3Pokémons to Uncommon +1,Upgrade 3Pokémons to Uncommon +1,포켓몬 3마리 초록색+1 등급 달성,Atualize 3Pokémons para Incomum +1,อัพเกรดโปเกมอน 3 ตัวเป็น Uncommon +1,{20771=1;5000=5;rmb=20},,,
244,12001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,1,精灵进阶,精靈進階,Pokémon Upgrade,Pokémon Upgrade,포켓몬 진화,Atualização Pokémon,อัพเกรดโปเกมอน,1,9,,{5=2},5个精灵升级至绿色品质,5個精靈升級至綠色品質,Upgrade 5 Pokémons to Uncommon,Upgrade 5 Pokémons to Uncommon,포켓몬 5마리 초록색 등급 달성,Melhore 5 Pokémons para Incomum,อัพเกรดโปเกมอน 5 ตัวให้เป็นอันธรรมดา,{20771=1;5000=5;rmb=20},,,
245,12001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,1,精灵进阶,精靈進階,Pokémon Upgrade,Pokémon Upgrade,포켓몬 진화,Atualização Pokémon,อัพเกรดโปเกมอน,1,9,,{5=4},5个精灵升级至绿+2品质,5個精靈升級至綠+2品質,Upgrade 5Pokémons to Uncommon +2,Upgrade 5Pokémons to Uncommon +2,포켓몬 5마리 초록색+2 등급 달성,Atualize 5 Pokémon para Incomum +2,อัพเกรดโปเกมอน 5 ตัวเป็น Uncommon +2,{20771=1;5000=5;rmb=30},,,
246,12001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,1,精灵进阶,精靈進階,Pokémon Upgrade,Pokémon Upgrade,포켓몬 진화,Atualização Pokémon,อัพเกรดโปเกมอน,1,9,,{3=5},3个精灵升级至蓝色品质,3個精靈升級至藍色品質,Upgrade 3 Pokémons to Rare ,Upgrade 3 Pokémons to Rare ,포켓몬 3마리 파란색 등급 달성,Melhore 3 Pokémons para Raro,อัพเกรดโปเกมอน 3 ตัวให้เป็นระดับหายาก,{20771=1;5000=10;rmb=30},,,
247,12001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,1,精灵进阶,精靈進階,Pokémon Upgrade,Pokémon Upgrade,포켓몬 진화,Atualização Pokémon,อัพเกรดโปเกมอน,1,9,,{6=5},6个精灵升级至蓝色品质,6個精靈升級至藍色品質,Upgrade 6 Pokémons to Rare ,Upgrade 6 Pokémons to Rare ,포켓몬 6마리 파란색 등급 달성,Atualize 6 Pokémons para Raro,อัพเกรดโปเกมอน 6 ตัวให้เป็นระดับหายาก,{20771=1;5000=15;rmb=30},,,
248,12001,2,1,第2天,第2天,Day2,Thứ 2 Trời,2일 차,Day2,Day2,1,精灵进阶,精靈進階,Pokémon Upgrade,Pokémon Upgrade,포켓몬 진화,Atualização Pokémon,อัพเกรดโปเกมอน,1,9,,{6=6},6个精灵升级至蓝+1品质,6個精靈升級至藍+1品質,Upgrade 6Pokémons to Rare +1 ,Upgrade 6Pokémons to Rare +1 ,포켓몬 6마리 파란색+1 등급 달성,Atualize 6 Pokémon para Raro +1,อัพเกรดโปเกมอน 6 ตัวเป็นโปเกมอนหายาก +1,{20771=1;5000=20;rmb=40},,,
