变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,desc,desc_tw,desc_en,desc_vn,desc_th,cards,equipID,skinID,attrMap
6411,水流力量,水流力量,Force of Water,Sức mạnh của dòng chảy,현재 힘,Força da Água,พลังน้ำ,,,,,,<1311;381;801>,,,{7=10%;8=10%}
6412,冰系一脉,冰系一脈,Ice Bloodline,Dòng họ băng,아이스 라인,Elemento Gelo,ธาตุน้ำแข็ง,,,,,,<1921;3501;2301>,,,{1=12%}
6413,温柔之心,溫柔之心,Gentle Heart,Trái tim dịu dàng,부드러운 마음,Coração terno,หัวใจที่อ่อนโยน,,,,,,<1501;471>,,,{7=10%;8=10%}
6414,智囊担当,智囊擔當,Think Tank,Nhóm cố vấn,싱크 탱크,Grupo de reflexão,กลุ่มวิจัย,,,,,,<261;1901;221>,,,{23=500}
6911,岩石壁垒,岩石壁壘,Rock Barrier,Hàng rào đá,바위 장벽,Parede de pedra,กำแพงหิน,,,,,,<3471;2011;2631>,,,{7=10%;8=10%}
6912,沙暴之势,沙暴之勢,Sandstorm,Sức mạnh của bão cát,모래 폭풍,Tempestade de areia,พายุทราย,,,,,,<301;101;801>,,,{1=10%}
6913,自然组合,自然組合,Natural combination,Sự kết hợp tự nhiên,자연스러운 조합,Combinação natural,การผสมผสานที่เป็นธรรมชาติ,,,,,,<451;2611;2591>,,,{7=10%;8=10%}
7011,岩石突击,岩石突擊,Rock Assault,Tấn công bằng đá,암석 돌격,Assalto de pedra,ร็อคแอสซัลท์,,,,,,<3171;3501;691>,,,{7=10%;8=10%}
7012,低空领域,低空領域,Low-altitude Field,Không phận tầm thấp,저공 영역,Área de baixa altitude,พื้นที่ต่ำ,,,,,,<3661;161;51>,,,{1=12%}
7013,森林之约,森林之約,Contract of Forest,Hiệp ước Rừng,숲의 약속,Nomeação Florestal,การแต่งตั้งเจ้าหน้าที่ป่าไม้,,,,,,<381;1311;2841>,,,{7=10%;8=10%}
7014,奇迹复原,奇跡復原,Miracle Recovery,Phục hồi kỳ diệu,기적의 복원,Recuperação Milagrosa,การฟื้นตัวอย่างอัศจรรย์,,,,,,<711;1851;81>,,,{14=500}
7111,游泳健将,游泳健將,Swimmer,Vận động viên bơi lội xuất sắc,수영,Atleta de natação,นักกีฬาว่ายน้ำ,,,,,,<1311;3471;541>,,,{7=10%;8=10%}
7112,贪吃嗜睡,貪吃嗜睡,Glutton who sleeps a lot,Ăn tham ngủ nhiều,폭식과 졸음,Gula e sonolência,ความตะกละและความง่วงนอน,,,,,,<1421>,,,{1=12%}
7113,誓约伙伴,誓約夥伴,Pledge Partner,Những người bạn thề nguyện,맹세 파트너,Parceiro de compromisso,พันธมิตรผู้ให้คำมั่นสัญญา,,,,,,<1251;3501;471>,,,{7=10%;8=10%}
7114,强力组合,強力組合,Powerful combination,Sự kết hợp mạnh mẽ,강력한 조합,Uma combinação poderosa,การผสมผสานอันทรงพลัง,,,,,,<401;631>,,,{23=500}
7211,圣鸟传说,聖鳥傳說,The Legend of the Legendary Birds,Truyền thuyết về loài chim linh thiêng,신성한 새의 전설,Lenda do Pássaro Sagrado,ตำนานนกศักดิ์สิทธิ์,,,,,,<731;741>,,,{7=10%;8=10%}
7212,冰封千里,冰封千里,Glaciate,Ngàn dặm băng giá,수천 마일의 얼어 붙은,Milhares de milhas de gelo,น้ำแข็งนับพันไมล์,,,,,,<3501;3021;3011>,,,{1=12%}
7213,凝水成冰,凝水成冰,Turning water into ice,Nước đông thành đá.,얼음으로 응축,Condensação de água em gelo,การควบแน่นของน้ำกลายเป็นน้ำแข็ง,,,,,,<1241;2922;3471>,,,{7=10%;8=10%}
7214,冰火两重,冰火兩重,Ice and Fire,Băng và lửa,더블 아이스,Fogo e gelo,ไฟและน้ำแข็ง,,,,,,<1231;3291;11>,,,{22=500}
7311,圣鸟传说,聖鳥傳說,The Legend of the Legendary Birds,Truyền thuyết về loài chim linh thiêng,신성한 새의 전설,Lenda do Pássaro Sagrado,ตำนานนกศักดิ์สิทธิ์,,,,,,<741;721>,,,{7=10%;8=10%}
7312,驱雷擎电,驅雷擎電,Thunderstorm,Điều khiển sấm sét,드라이브 썬더,Trovão e relâmpago,ฟ้าร้องฟ้าผ่า,,,,,,<331;1221;91>,,,{1=12%}
7313,风驰电掣,風馳電掣,Fast As Lightning,Nhanh như chớp,빠른 스위치,Veloz e furioso,เร็วและแรง,,,,,,<51;3511;71>,,,{7=10%;8=10%}
7314,过载虚弱,超載虛弱,Overload weakening,Sự suy yếu quá tải,과부하 및 약점,Fraqueza de sobrecarga,จุดอ่อนจากการโอเวอร์โหลด,,,,,,<1811;471;1441>,,,{23=500}
7411,圣鸟传说,聖鳥傳說,The Legend of the Legendary Birds,Truyền thuyết về loài chim linh thiêng,신성한 새의 전설,Lenda do Pássaro Sagrado,ตำนานนกศักดิ์สิทธิ์,,,,,,<731;721>,,,{7=10%;8=10%}
7412,炎焰之力,炎焰之力,Power of Fire,Sức mạnh của ngọn lửa cháy,화염의 힘,Poder da Chama,พลังแห่งเปลวไฟ,,,,,,<1231;1171;3291>,,,{1=12%}
7413,燎原之火,燎原之火,Burning Flames,Đám lửa lan rộng,프레리 프레리의 불,Um incêndio na pradaria,ไฟไหม้ทุ่งหญ้า,,,,,,<1291;781;281>,,,{7=10%;8=10%}
7414,全体打击,全體打擊,Attack all,Cuộc tấn công toàn diện,모든 타격,Ataque geral,โจมตีรอบด้าน,,,,,,<131;301;481>,,,{14=500}
7511,龙系家族,龍系家族,Dragon-type family,Gia tộc Rồng,드래곤 패밀리,Família Dragão,ครอบครัวมังกร,,,,,,<3141;1891>,,,{7=10%;8=10%}
7512,肥大体型,肥大體型,Extra-large size,Thể trạng béo phì,비대,Corpo obeso,ร่างกายอ้วน,,,,,,<3541;2481;3281>,,,{1=12%}
7513,逆鳞之怒,逆鱗之怒,Outrage,Sự giận dữ của vảy ngược,규모의 분노,Fúria da Escala Reversa,ความโกรธแค้นของมาตราส่วนย้อนกลับ,,,,,,<3001;2231>,,,{7=10%;8=10%}
7514,愤怒一击,憤怒一擊,Fury Strike,Đòn Trừng Phạt,화난 타격,Golpe Furioso,เป่าโกรธ,,,,,,<1301;3341;791>,,,{14=500}
7611,王者桂冠,王者桂冠,King's Laurel,Vòng nguyệt quế của nhà vô địch,월계관,Coroa do Rei,มงกุฎของราชา,,,,,,<1271;2231;1251>,,,{7=15%;8=15%}
7612,超凡念力,超凡念力,Extraordinary Psychic Powers,Sức mạnh tâm linh phi thường,놀라운 힘,Telecinese extraordinária,พลังจิตเคลื่อนย้ายวัตถุที่เหนือธรรมดา,,,,,,<771;1901;261>,,,{1=20%}
7613,力量同源,力量同源,Same Energy Source,Sức mạnh cùng nguồn gốc,같은 힘,A mesma fonte de força,แหล่งพลังเดียวกัน,,,,,,<771;1391>,,,{7=15%;8=15%}
7614,绝对压制,絕對壓制,Absolute suppression,Áp chế tuyệt đối,절대 억제,Supressão absoluta,การระงับโดยสมบูรณ์,,,,,,<1981;2301;271>,,,{14=750}
7711,波导勇者,波導勇者,Aura Hero,Anh hùng dẫn sóng,파동의 용사,Herói Pássaro,นกฮีโร่,,,,,,<2241;711>,,,{7=10%;8=10%}
7712,精神同步,精神同步,Psycho Synchronize,Đồng bộ tinh thần,정신 동기화,Sincronicidade Mental,ความสอดคล้องทางจิตใจ,,,,,,<261;3291>,,,{1=12%}
7713,危机觉察,危機覺察,Danger Detection,Nhận thức khủng hoảng,위기 인식,Conscientização sobre crise,การตระหนักรู้ถึงวิกฤต,,,,,,<1171;1081>,,,{7=10%;8=10%}
7714,超级仿制,超級仿製,Super Imitation,Siêu nhái,슈퍼 모방,Super imitação,การเลียนแบบสุดยอด,,,,,,<761>,,,{22=500}
7811,草之誓约,草之誓約,Grass Pledge,Lời thề của cỏ,풀의 맹세,Juramento da Grama,คำสาบานแห่งหญ้า,,,,,,<281;2301;2011>,,,{7=10%;8=10%}
7812,森林意志,森林意志,Forest Will,Ý chí của Rừng,숲의 의지,Vontade da Floresta,ฟอเรสต์วิลล์,,,,,,<1;3281;1291>,,,{1=10%}
7813,冒险同伴,冒險同伴,Adventure Partner,Những người bạn đồng hành phiêu lưu,모험 동반자,Companheiro de aventura,เพื่อนร่วมผจญภัย,,,,,,<271;2591;131>,,,{7=10%;8=10%}
7911,火焰掌控,火焰掌控,Flame Control,Kiểm soát ngọn lửa,화염 제어,Maestria do Fogo,ความเชี่ยวชาญด้านไฟ,,,,,,<1611;2481;3291>,,,{7=10%;8=10%}
7912,炎焰之力,炎焰之力,Power of Fire,Sức mạnh của ngọn lửa,화염의 힘,Poder da Chama,พลังแห่งเปลวไฟ,,,,,,<2611;691;3281>,,,{1=10%}
7913,太阳意志,太陽意志,Sun will,Ý chí của mặt trời,태양의 의지,Sol vai,ซันวิลล์,,,,,,<601;2631;3341>,,,{7=10%;8=10%}
8011,水流力量,水流力量,Force of Current,Sức mạnh của dòng chảy,현재 힘,Força da Água,พลังน้ำ,,,,,,<551;3471;21;2922>,,,{7=10%;8=10%}
8012,水之波动,水之波動,Water Pulse,Gợn sóng nước,물의파동,Ondas de água,คลื่นน้ำ,,,,,,<471;1861;3011>,,,{1=10%}
8013,覆舟之势,覆舟之勢,Overturn,Xu hướng lật thuyền,전복,A tendência de virar,แนวโน้มที่จะพลิกคว่ำ,,,,,,<1311;2271;371>,,,{7=10%;8=10%}
8611,妖精血脉,妖精血脈,Fairy Blood,Huyết mạch yêu tinh,포켓몬 혈통,Sangue de fada,เลือดนางฟ้า,,,,,,<1391;131;151>,,,{7=10%;8=10%}
8612,飞行家族,飛行家族,Flying Family,Gia đình bay,비행 가족,Família voadora,ครอบครัวบินได้,,,,,,<161;571;701;2891>,,,{1=12%}
8613,逃离陷阱,逃離陷阱,Trap Escape,Thoát khỏi cái bẫy,함정 탈출,Escapando da Armadilha,การหลบหนีจากกับดัก,,,,,,<491;2231;121>,,,{7=10%;8=10%}
8614,劲敌对决,勁敵對決,Rival Showdown,Trận chiến của các Titan,강적 대결,Confronto de rivais,การเผชิญหน้าระหว่างคู่แข่ง,,,,,,<2031;2471;791;61>,,,{14=500}
8811,雷电家族,雷電家族,Electric family,Gia đình Sấm sét,라이덴 가족,Família Raiden,ครอบครัวไรเดน,,,,,,<591;731>,,,{7=10%;8=10%}
8812,毛皮静电,毛皮靜電,Coat Static,Tĩnh điện từ lông thú,모피 정적,Eletricidade estática de pele,ไฟฟ้าสถิตย์จากขนสัตว์,,,,,,<1221;2071;91>,,,{1=12%}
8813,似龙非龙,似龍非龍,Dragon-like,Giống rồng mà không phải rồng,용처럼,"Como um dragão, mas não um dragão",เหมือนมังกรแต่ไม่ใช่มังกร,,,,,,<631;601;11>,,,{7=10%;8=10%}
8814,毛茸茸们,毛茸茸們,Furries,Những người/vật mềm mại,모피,Peludo,เฟอร์รี่,,,,,,<2891;3431>,,,{23=500}
8911,原始组合,原始組合,Original Formation,Sự kết hợp ban đầu,원래 조합,Combinação original,การผสมผสานดั้งเดิม,,,,,,<51;71;61;471>,,,{7=8%;8=8%}
8912,守护情谊,守護情誼,Protect the relationship,Bảo vệ tình bạn,후견,Protegendo a amizade,การปกป้องมิตรภาพ,,,,,,<551;3431;131>,,,{1=10%}
8913,觉醒力量,覺醒力量,Awakening power,Sức mạnh thức tỉnh,각성 력,Despertar o Poder,พลังแห่งการตื่นรู้,,,,,,<551;801;1861>,,,{7=8%;8=8%}
9711,趣味魔法,趣味魔法,Hobby Magic,Ma thuật sở thích,취미 마법,Mágica divertida,ความสนุกมายากล,,,,,,<131;3431;3291>,,,{7=10%;8=10%}
9712,鬼屋集合,鬼屋集合,Haunted House Gathering,Hội tụ tại nhà ma,귀신의 집 모임,Coleção Casa Mal-Assombrada,คอลเลคชั่นบ้านผีสิง,,,,,,<391;1811;2991>,,,{1=12%}
9713,梦境掌控,夢境掌控,Dream Control,Kiểm soát giấc mơ,꿈 제어,Controle dos sonhos,การควบคุมความฝัน,,,,,,<1801;2841;3561>,,,{7=10%;8=10%}
9714,幽灵出没,幽靈出沒,Ghosts appear,Ma quỉ xuất hiện,유령이 나타나다,Assombração Fantasma,ผีหลอกหลอน,,,,,,<771;1851>,,,{22=500}
10311,地面打击,地面打擊,Ground Strike,Đánh bom mặt đất,지상 타격,Ataque terrestre,การโจมตีภาคพื้นดิน,,,,,,<401;1311;2611>,,,{7=10%;8=10%}
10312,低空飞行,低空飛行,Low-altitude Fly,Chuyến bay ở độ cao thấp,저공 비행,Voando em baixa altitude,การบินที่ระดับความสูงต่ำ,,,,,,<161;701;341>,,,{1=12%}
10313,丰缘对抗,豐緣對抗,Hoen Counter,Đối đầu Hoenn,호연 대결,Confronto de Hoenn,การเผชิญหน้าของโฮเอ็น,,,,,,<241;1291;271;451>,,,{7=10%;8=10%}
10314,冲出迷宫,沖出迷宮,Maze Blitz,Vượt thoát khỏi mê cung,미궁 돌파,Sair do labirinto,หลุดออกจากเขาวงกต,,,,,,<2031;2011;2271>,,,{23=500}
10711,虫虫崛起,蟲蟲崛起,Bug Rising,Sự Trỗi Dậy Của Côn Trùng,버그의 상승,Insetos sobem,แมลงเพิ่มขึ้น,,,,,,<571;2681;191;41>,,,{7=10%;8=10%}
10712,好斗之心,好鬥之心,Heart of a Fighter,Tinh thần chiến đấu,투쟁의 심장,Coração Lutador,การต่อสู้ของหัวใจ,,,,,,<1301;271;461>,,,{1=12%}
10713,毒素注入,毒素注入,Poison injection,Tiêm chất độc,독소 주입,Injeção de Toxina,การฉีดสารพิษ,,,,,,<391;2271>,,,{7=10%;8=10%}
10714,除恶务尽,除惡務盡,Eradicate evil,Diệt trừ tận gốc,악을 멀리하십시오,Elimine todo o mal,กำจัดความชั่วร้ายทั้งหมด,,,,,,<3141;1841>,,,{14=500}
10811,冰系家族,冰系家族,Ice-type family,Gia đình hệ Băng,얼음 가족,Família de gelo,ครอบครัวไอซ์,,,,,,<721;2301;3501>,,,{7=10%;8=10%}
10812,世代最恶,世代最惡,The most evil of the generation,Thế hệ tồi tệ nhất,세대에서 최악,A pior geração,รุ่นที่แย่ที่สุด,,,,,,<2721;1841>,,,{1=12%}
10813,恶鬼上门,惡鬼上門,Evil Spirit Appears,Ác quỷ gõ cửa,악령이 온다,Diabo Vem,ปีศาจมาแล้ว,,,,,,<391;1171;2921>,,,{7=10%;8=10%}
10814,不良组合,不良組合,Poor combination,Sự kết hợp tồi,잘못된 조합,Má combinação,การผสมผสานที่ไม่ดี,,,,,,<2821;2271;2631>,,,{14=500}
11711,地狱恶犬,地獄惡犬,Cerberus,Quỷ săn,헬 하운드,Cão do Inferno,สุนัขนรก,,,,,,<1081;3141>,,,{7=10%;8=10%}
11712,狗狗出击,狗狗出擊,Dog Pound,Chó tấn công,개 공격,Ataque de cachorro,สุนัขโจมตี,,,,,,<241;1841>,,,{1=12%}
11713,地狱烈焰,地獄烈焰,Inferno,Lửa địa ngục,지옥 불,Fogo do inferno,ไฟนรก,,,,,,<601;3341;1611>,,,{7=10%;8=10%}
11714,生人勿近,生人勿近,No strangers allowed,Tránh xa,가까이 오지 마,Mantenha-se afastado,เก็บไว้ให้ห่าง,,,,,,<391;1851;3561>,,,{23=500}
12211,圣兽传说,聖獸傳說,Legend of the Legendary Beasts,Huyền Thoại Thánh Thú,성수 전설,Lenda da Besta Sagrada,ตำนานสัตว์ศักดิ์สิทธิ์,,,,,,<1241;1231>,,,{7=10%;8=10%}
12212,雷电降临,雷電降臨,Thunder arrives,Sấm sét giáng xuống,천둥이오고있다,Trovões e relâmpagos,เสียงฟ้าร้องฟ้าผ่า,,,,,,<591;731;2071>,,,{1=12%}
12213,电光火石,電光火石,Quick Attack,Nhanh như chớp,전광석화,Raio,ฟ้าผ่า,,,,,,<1251;2591>,,,{7=10%;8=10%}
12214,控场大师,控場大師,Master of Control,Bậc thầy điều khiển,현장 제어 석사,Mestre do Controle,ผู้เชี่ยวชาญด้านการควบคุม,,,,,,<261;2301>,,,{23=500}
12311,圣兽传说,聖獸傳說,Legend of the Legendary Beasts,Huyền thoại Thánh Thú,성수 전설,Lenda da Besta Sagrada,ตำนานสัตว์ศักดิ์สิทธิ์,,,,,,<1221;1241>,,,{7=10%;8=10%}
12312,怒火冲天,怒火沖天,Towering Rage,Nổi giận dữ dội,너무 화났어,Raiva,ความโกรธ,,,,,,<241;741;11>,,,{1=12%}
12313,结晶帝王,結晶帝王,King of Crystals,Đế Vương Pha Lê,크리스탈 황제,Imperador de Cristal,จักรพรรดิคริสตัล,,,,,,<551;801;401>,,,{7=10%;8=10%}
12314,百炼成钢,百煉成鋼,Turning ore into steel,Thép được tôi luyện từ nhiều lần rèn giũa.,강철로 단련하다,temperado em aço,อบให้แข็งเป็นเหล็ก,,,,,,<1901;1501>,,,{23=500}
12411,圣兽传说,聖獸傳說,Legend of the Legendary Beasts,Truyền thuyết Thánh Thú,성수 전설,Lenda da Besta Sagrada,ตำนานสัตว์ศักดิ์สิทธิ์,,,,,,<1221;1231>,,,{7=10%;8=10%}
12412,水之波动,水之波動,Water Pulse,Gợn sóng nước,물의파동,Ondas de água,คลื่นน้ำ,,,,,,<1311;3301;21>,,,{1=12%}
12413,迅捷灵动,迅捷靈動,Swift and agile,Nhanh nhẹn và linh hoạt,신속하고 유연함,Rápido e ágil,รวดเร็วและคล่องตัว,,,,,,<1291;51>,,,{7=10%;8=10%}
12414,镜花水月,鏡花水月,A Mirage,"Hoa trong gương, trăng trong nước",거울 꽃 물 달,Imagem espelhada,ภาพสะท้อน,,,,,,<2821;131>,,,{23=500}
12511,岩石壁垒,岩石壁壘,Rock Barrier,Rào chắn đá,바위 장벽,Parede de pedra,กำแพงหิน,,,,,,<491;1501;401>,,,{7=10%;8=10%}
12512,沙暴之势,沙暴之勢,Sandstorm,Sức mạnh của bão cát,모래 폭풍,Tempestade de areia,พายุทราย,,,,,,<2231;2611;101>,,,{1=12%}
12513,极恶世代,極惡世代,Worst Generation,Thế hệ tồi tệ nhất,이블 세대,A Pior Geração,รุ่นที่แย่ที่สุด,,,,,,<2721;1081>,,,{7=10%;8=10%}
12514,轰岩大炮,轟岩大炮,Rock Cannon,Pháo Đá Bùng Nổ,록 캐넌,Canhão de Explosão de Rochas,ปืนใหญ่ระเบิดหิน,,,,,,<751;2591>,,,{23=500}
12541,岩枯驻防,岩枯駐防,Yanghu Garrison,Đồn Yanghu,옌후 주둔지,Guarnição de Yanghu,การ์ดนิรภัยหยานหู,,,,,,<1911;3171;4031;4141>,,,{7=15%;8=15%}
12542,卷土重来,捲土重來,To make a comeback; to return with renewed strength,Sự trở lại mạnh mẽ; quay trở lại với sức mạnh mới,다시 일어서다; 세력을 회복하여 돌아오다,Retornar com força renovada; fazer uma reaparição triunfal,การกลับมาอย่างยิ่งใหญ่; กลับมาด้วยพลังที่เพิ่มขึ้น,,,,,,<1901;771;393>,,,{1=20%}
12543,山崩地裂,山崩地裂,Landslide,Sạt lở đất,산사태,Deslizamento de terra,แผ่นดินถล่ม,,,,,,<1971;2381>,,,{7=15%;8=15%}
12544,邪恶波动,邪惡波動,Evil fluctuation,Sự dao động tà ác,악의적 파동,Fluxo maligno,คลื่นพลังชั่วร้าย,,,,,,<3642;2431;3611>,,,{23=750}
12611,霸主传说,霸主傳說,Heroic Legends,Huyền Thoại Bá Chủ,대 군주 전설,Lenda do Overlord,ตำนานแห่งโอเวอร์ลอร์ด,,,,,,<1271>,,,{7=15%;8=15%}
12612,圣鸟统领,聖鳥統領,Leader of the Legendary Birds,Thủ lĩnh Chim Thánh,홀리 버드 사령관,Comandante do Pássaro Sagrado,ผู้บัญชาการนกศักดิ์สิทธิ์,,,,,,<721;731;741>,,,{1=20%}
12613,水之波动,水之波動,Water Pulse,Gợn sóng nước,물의파동,Ondas de água,คลื่นน้ำ,,,,,,<1961;1241;3301>,,,{7=15%;8=15%}
12614,超能之躯,超能之軀,Psychic Body,Siêu năng lực,슈퍼 바디,Super Poder,พลังพิเศษ,,,,,,<771;1901;551>,,,{23=750}
12711,天空主宰,天空主宰,Master of the Sky,Chúa Tể Bầu Trời,하늘을 지배하세요,Governante do Céu,ผู้ปกครองท้องฟ้า,,,,,,<761;741>,,,{7=15%;8=15%}
12712,浴火重生,浴火重生,Rise from the Ashes,Phượng hoàng lửa,잿더미에서 일어나,Ressurgir das Cinzas,ลุกขึ้นจากเถ้าถ่าน,,,,,,<1221;1231;1241>,,,{1=20%}
12713,火焰掌控,火焰掌控,Flame Control,Kiểm soát ngọn lửa,화염 제어,Maestria do Fogo,ความเชี่ยวชาญด้านไฟ,,,,,,<1231;741;1301>,,,{7=15%;8=15%}
12714,彩虹羽翼,彩虹羽翼,Rainbow Wing,Cánh cung vồng,무지개 날개,Asas de arco-íris,ปีกสายรุ้ง,,,,,,<1261;721;3511;51>,,,{23=750}
12811,超能军团,超能軍團,Psuchic Legion,Đội quân siêu năng lực,초능력 군단,Legião Super Poderosa,กองทัพพลังพิเศษ,,,,,,<1991;261;771;1391>,,,{7=15%;8=15%}
12812,救死扶伤,救死扶傷,Rescuing Hand,"Cứu người, cứu thương",인술,Resgatar os moribundos e os feridos,ช่วยเหลือผู้ที่กำลังจะตายและได้รับบาดเจ็บ,,,,,,<2441;501;861>,,,{1=20%}
12813,时间缝隙,時間縫隙,Time Gap,Khe hở thời gian,시간의 틈,Intervalo de tempo,ช่องว่างเวลา,,,,,,<2841;1941;1951;2401>,,,{7=15%;8=15%}
12814,守护伙伴,守護夥伴,Guardian Partner,Người bạn đồng hành,파트너 수호,Parceiro Guardião,พันธมิตรผู้พิทักษ์,,,,,,<4171;3251;3541>,,,{23=750}
12911,宝石三家,寶石三家,Three Gems,Ba ngôi nhà đá quý,젬 산지 아,Três Jóias,ไตรรัตน์,,,,,,<1301;1311>,,,{7=10%;8=10%}
12912,盘根错节,盤根錯節,Complicated and Tricky,Rắc rối và phức tạp,얽혀,Complexo,ซับซ้อน,,,,,,<2011;3281;1>,,,{1=12%}
12913,不服单挑,不服單挑,Sparring,Đừng có mà!,확신 할 수 없음,Desafio único não convencido,ความท้าทายเดียวที่ไม่มั่นใจ,,,,,,<571;1421;1301>,,,{7=10%;8=10%}
12914,滋润万物,滋潤萬物,Nourish All Things on Earth,Dưỡng nuôi muôn loài,모든 것을 보습,Nutrindo todas as coisas,บำรุงทุกสิ่งทุกอย่าง,,,,,,<1241;2922;781;1351>,,,{14=500}
13011,宝石三家,寶石三家,Three Gems,Ba gia tộc đá quý,젬 산지 아,Três Jóias,ไตรรัตน์,,,,,,<1291;1311>,,,{7=10%;8=10%}
13012,炎焰之力,炎焰之力,Power of Fire,Sức mạnh của ngọn lửa,화염의 힘,Poder da Chama,พลังแห่งเปลวไฟ,,,,,,<741;1231;11>,,,{1=12%}
13013,不服单挑,不服單挑,Sparring,Không chấp nhận đấu tay đôi,확신 할 수 없음,Desafio único não convencido,ความท้าทายเดียวที่ไม่มั่นใจ,,,,,,<571;1291;51>,,,{7=10%;8=10%}
13014,格斗专家,格鬥專家,Fighting Expert,Chuyên gia võ thuật,격투 전문가,Especialista em Luta,ผู้เชี่ยวชาญการต่อสู้,,,,,,<1391;271;1251>,,,{14=500}
13111,宝石三家,寶石三家,Three Gems,Ba ngôi nhà đá quý,젬 산지 아,Três Jóias,ไตรรัตน์,,,,,,<1301;1291>,,,{7=10%;8=10%}
13112,怒涛之力,怒濤之力,Tide Power,Sức mạnh của những con sóng dữ,분노의 힘,Poder das Ondas Furiosas,พลังแห่งคลื่นยักษ์,,,,,,<1241;631;801>,,,{1=12%}
13113,污力滔滔,汙力滔滔,Smutty,Dơ bẩn tràn lan,난류 오염,O poder da sujeira,อำนาจแห่งความสกปรก,,,,,,<371;2922>,,,{7=10%;8=10%}
13114,天生呆萌,天生呆萌,Born to be cute,Dáng vẻ ngây thơ dễ thương,귀엽게 태어나,Nascido para ser fofo,เกิดมาเพื่อน่ารัก,,,,,,<771;221;2871>,,,{23=500}
13511,水流力量,水流力量,Force of Current,Sức mạnh của dòng chảy,현재 힘,Força da Água,พลังน้ำ,,,,,,<281;2301;171>,,,{7=8%;8=8%}
13512,水之波动,水之波動,Water Pulse,Gợn sóng nước,물의파동,Ondas de água,คลื่นน้ำ,,,,,,<541;551;801>,,,{1=10%}
13513,覆舟之势,覆舟之勢,Overturn,Thế mạnh của một chiếc thuyền bị lật,전복,A tendência de virar,แนวโน้มที่จะพลิกคว่ำ,,,,,,<131;461;2631>,,,{7=8%;8=8%}
13911,超凡意志,超凡意志,Extraordinary will,Ý chí phi thường,특별한 의지,Vontade extraordinária,ความปรารถนาอันพิเศษ,,,,,,<261;771>,,,{7=10%;8=10%}
13912,妖精同盟,妖精同盟,Pokémon Alliance,Liên minh Tiên,페어리 리그,Aliança das Fadas,พันธมิตรแฟรี่,,,,,,<3351;131;151>,,,{1=12%}
13913,华丽大赛,華麗大賽,Pokémon Contests,Cuộc thi lộng lẫy,화려한 콘테스트,Concurso lindo,ประกวดสุดสวย,,,,,,<1891>,,,{7=10%;8=10%}
13914,魔法闪耀,魔法閃耀,Dazzling Gleam,Phép thuật lấp lánh,매직 샤인,Brilho Mágico,ประกายวิเศษ,,,,,,<391;3291>,,,{22=500}
14211,一拳超人,一拳超人,One Punch Man,One Punch Man,원 펀맨,Um Homem-Punho Único,วันพันช์แมน,,,,,,<1251;1071>,,,{7=10%;8=10%}
14212,普通家庭,普通家庭,Normal Family,Gia đình bình thường,정상적인 가족,Família comum,ครอบครัวธรรมดา,,,,,,<51;1441;471>,,,{1=12%}
14213,身强体壮,身強體壯,Strong and Healthy Physique,Mạnh mẽ và khỏe mạnh,강한 몸매,Forte e saudável,แข็งแรงและมีสุขภาพแข็งแรง,,,,,,<3541;2631;271>,,,{7=10%;8=10%}
14214,懒人根骨,懶人根骨,Lazybones,Cơ địa của người lười biếng,게으른 뿌리,Ossos preguiçosos,กระดูกขี้เกียจ,,,,,,<261;711>,,,{14=500}
14411,原始组合,原始組合,Original Formation,Sự kết hợp ban đầu,원래 조합,Combinação original,การผสมผสานดั้งเดิม,,,,,,<471;51;1421>,,,{7=10%;8=10%}
14412,守护情谊,守護情誼,Protect the relationship,Bảo vệ tình bạn,후견,Protegendo a amizade,การปกป้องมิตรภาพ,,,,,,<1611;801;2631>,,,{1=10%}
14413,觉醒力量,覺醒力量,Awakening power,Sức mạnh thức tỉnh,각성 력,Despertar o Poder,พลังแห่งการตื่นรู้,,,,,,<471;2611;61>,,,{7=10%;8=10%}
15011,钢铁意志,鋼鐵意志,Steel Will,Ý chí sắt thép,강철 같은 의지,Vontade de Ferro,ความตั้งใจอันแรงกล้า,,,,,,<1901;331>,,,{7=10%;8=10%}
15012,坚甲附体,堅甲附體,Rock armor addition,Giáp trụ vững chắc,강력한 갑옷,Posse de armadura,การครอบครองเกราะ,,,,,,<1071;2011;3281>,,,{1=12%}
15013,横行霸道,橫行霸道,Oppressive,Ngạo mạn và chuyên quyền,맹렬한,Desenfreado,อาละวาด,,,,,,<491;2721>,,,{7=10%;8=10%}
15014,岩石脑袋,岩石腦袋,Rock Head,Đầu đá,바위 머리,Cabeça de pedra,ร็อคเฮด,,,,,,<2591;401;301>,,,{23=500}
16111,火焰掌控,火焰掌控,Flame Control,Khống chế ngọn lửa,화염 제어,Maestria do Fogo,ความเชี่ยวชาญด้านไฟ,,,,,,<2481;3341;3291>,,,{7=10%;8=10%}
16112,炎焰之力,炎焰之力,Power of Fire,Sức mạnh của ngọn lửa cháy,화염의 힘,Poder da Chama,พลังแห่งเปลวไฟ,,,,,,<11;601;791;2611>,,,{1=10%}
16113,太阳意志,太陽意志,Sun will,Ý chí của mặt trời,태양의 의지,Sol vai,ซันวิลล์,,,,,,<1441;2301;3511>,,,{7=10%;8=10%}
