变量名,key,text,text_tw,text_en,text_vn,text_kr,text_pt,text_th
6244,summary,Introduction,簡介,Introduction,Giới thiệu vắn tắt,소개,Introdução,การแนะนำ
6245,uniqueSkill,Lethal Skill,必殺技,Lethal Skill,Tất sát kỹ,필살기,Habilidade letal,ทักษะการสังหาร
6246,personalInfo,Personal information,個人資訊,Personal information,Thông tin cá nhân,개인 정보,Informações pessoais,ข้อมูลส่วนตัว
6247,spriteRename,Modify Pokémon's name,修改精靈名字,Modify Pokémon's name,Sửa chữa tinh linh danh tự,포켓몬 이름 수정,Modificar o nome do Pokémon,ปรับเปลี่ยนชื่อโปเกมอน
6248,roleRename,Edit name of trainer,修改訓練家名字,Edit name of trainer,Sửa chữa huấn luyện nhà danh tự,트레이너 이름 수정,Editar nome do treinador,แก้ไขชื่อผู้ฝึกสอน
6249,roleLevel,Trainer level,訓練家等級,Trainer level,Huấn luyện nhà đẳng cấp,트레이너 레벨,Nível de treinador,ระดับเทรนเนอร์
6250,exps,EXP,經驗值,EXP,Điểm kinh nghiệm,경험치,EXP,ประสบการณ์
6251,getAwards,Items obtained,獲得物品,Items obtained,Thu hoạch được vật phẩm,획득 아이템,Itens obtidos,รายการที่ได้รับ
6252,allSprite,All Pokémons,全體精靈,All Pokémons,Toàn thể tinh linh,전체 포켓몬,Todos os Pokémons,โปเกมอนทั้งหมด
6253,someSprite,%s-type Pokémon,%s系精靈,%s-type Pokémon,%s Hệ tinh linh,%s 계열 포켓몬,Pokémon tipo %s,โปเกมอนประเภท %s
6254,withoutSomeFigure,No %s image,無%s的形象,No %s image,Không %s Hình tượng,%s 아바타 없음,Nenhuma imagem %s,ไม่มีรูปภาพ%s
6255,canExchangeTImes,No. of exchanges available (%d/%d),可兌換次數（%d/%d）,No. of exchanges available (%d/%d),Có thể hối đoái số lần (%d/%d),교환 가능 횟수(%d/%d),Nº de trocas disponíveis (%s/%s),จำนวนการแลกเปลี่ยนที่สามารถใช้ได้ (%s/%s)
6256,changesHaveBeenDetectedLogo,"""You've changed your avatar, do you want to leave without saving?""",檢查到有頭像修改，不保存退出？,"""You've changed your avatar, do you want to leave without saving?""","Kiểm tra đến có ảnh chân dung sửa chữa, không bảo tồn rời khỏi?",프로필이 수정되었습니다. 저장하지 않고 퇴장하겠습니까?,"Você mudou seu avatar, quer sair sem salvar?",“คุณเปลี่ยนอวาตาร์ของคุณแล้ว คุณต้องการออกโดยไม่บันทึกใช่ไหม?”
6257,framePreview,Avatar frame preview,頭像框預覽,Avatar frame preview,Ảnh chân dung khung dự lãm,테두리 미리보기,Prévia do quadro do Avatar,ตัวอย่างกรอบรูปอวาตาร์
6258,logoPreview,Avatar Preview,頭像預覽,Avatar Preview,Ảnh chân dung dự lãm,프로필 미리보기,Prévia do Avatar,ตัวอย่างอวาตาร์
6259,spaceAttribute,Type,屬 性,Type,Thuộc Tính,타 입,Tipo,พิมพ์
6260,spaceSpeciality,Ability,特 性,Ability,Đặc biệt Tính,특 성,Habilidade,ความสามารถ
6261,spaceSkill,Skill,技 能,Skill,Kỹ Có thể,기 술,Habilidade,ทักษะ
6262,auto,Auto,自動,Auto,Tự động,자동,Auto,ออโต้
6263,manual,Act,手動,Act,Dùng tay,수동,Agir,กระทำ
6264,canUnlock,Unlock,可解鎖,Unlock,Có thể giải khóa,개방 가능,Desbloquear,ปลดล็อค
6265,notUnlock,Locked,未解鎖,Locked,Chưa giải khóa,미개방,Bloqueado,ล็อค
6266,spaceActive,Activate,激 活,Activate,Kích Sống,활성화,Ativar,เปิดใช้งาน
6267,frameNotUnlock,Avatar frame is locked and cannot be saved,頭像框未解鎖，無法保存,Avatar frame is locked and cannot be saved,"Ảnh chân dung khung chưa giải khóa, không cách nào bảo tồn",테두리가 개방되지 않아 저장할 수 없습니다.,O quadro do avatar está bloqueado e não pode ser salvo,เฟรมอวาตาร์ถูกล็อคและไม่สามารถบันทึกได้
6268,logoNotUnlock,Avatar is locked and cannot be saved,頭像未解鎖，無法保存,Avatar is locked and cannot be saved,"Ảnh chân dung chưa giải khóa, không cách nào bảo tồn",프로필이 개방되지 않아 저장할 수 없습니다.,O avatar está bloqueado e não pode ser salvo,อวาตาร์ถูกล็อคและไม่สามารถบันทึกได้
6269,hot,[Hot],【火爆】,[Hot],[ Nóng nảy ],[포화],[Quente],[ร้อน]
6270,fluency,[Smooth],【流暢】,[Smooth],[ Trôi chảy ],[원활],[Suave],[เรียบ]
6271,preserve,[Maintenance],【維護】,[Maintenance],[ Giữ gìn ],[점검],[Manutenção],[การซ่อมบำรุง]
6272,rareFigure,Rare,稀有形象,Rare,Hi hữu hình tượng,레어 아바타,Cru,หายาก
6273,serverLastLogin,%d Server %s,%d區 %s,%d Server %s,%d Khu %s,%d서버 %s,%s Servidor %s,%s เซิร์ฟเวอร์ %s
6274,myServer,My server,我的伺服器,My server,Ta Server,내 서버,Meu servidor,เซิฟเวอร์ของฉัน
6275,serverIndex,%d-%d server,%d—%d服,%d-%d server,%d—%d Phục,%d-%d서버,Servidor %s-%s,เซิร์ฟเวอร์ %s-%s
6276,handbookTitle,Pokédex,精靈圖鑒,Pokédex,Tinh linh đồ giám,포켓몬 도감,Pokédex,โปเกเด็กซ์
6277,levelUp,Evolve,進化,Evolve,Tiến hóa,진화,Evoluir,วิวัฒนาการ
6278,alreadyHas,Owned,已擁有,Owned,Đã có được,보유 중,Controlado,เป็นเจ้าของ
6279,normalFigure,Normal,普通形象,Normal,Phổ thông hình tượng,일반 아바타,Normal,ปกติ
6280,whichServer,Server %d,%d區,Server %d,%d Khu,%d서버,Servidor %s,เซิร์ฟเวอร์ %s
6281,addedBonus,Extra rewards,額外獎勵,Extra rewards,Khen thưởng thêm,추가 보상,Recompensas extras,รางวัลพิเศษเพิ่มเติม
6282,staminaNotEnoughNotSweep,"""Insufficient energy, unable to blitz""",體力不足，無法掃蕩,"""Insufficient energy, unable to blitz""","Thể lực không đủ, không cách nào càn quét",체력이 부족해 소탕할 수 없습니다.,"Energia insuficiente, incapaz de blitz",“พลังไม่เพียงพอ ไม่สามารถบลิทซ์ได้”
6283,saodangMultiRoleNotEnough,"""Insufficient Adventure Pass level, unable to blitz multiple times!""",冒險執照等級不足，無法掃蕩多次！,"""Insufficient Adventure Pass level, unable to blitz multiple times!""","Cấp độ giấy phép phiêu lưu không đủ, không thể quét nhiều lần!",모험 허가증 레벨이 부족해 소탕할 수 없습니다!,"Nível insuficiente do Passe de Aventura, não é possível atacar várias vezes!",เลเวล Adventure Pass ไม่เพียงพอ ไม่สามารถบลิตซ์ซ้ำหลายๆ ครั้งได้!
6284,changesHaveBeenDetectedFrame,"""You've changed your avatar frame, do you want to leave without saving?""",檢查到有頭像框修改，不保存退出？,"""You've changed your avatar frame, do you want to leave without saving?""","Kiểm tra đến có ảnh chân dung khung sửa chữa, không bảo tồn rời khỏi?",테두리가 수정되었습니다. 저장하지 않고 퇴장하겠습니까?,Você alterou a moldura do seu avatar. Quer sair sem salvar?,“คุณเปลี่ยนเฟรมอวาตาร์ของคุณแล้ว คุณต้องการออกโดยไม่บันทึกใช่ไหม”
6285,breakfast,Breakfast,早餐,Breakfast,Bữa sáng,아침 식사,Café da manhã,อาหารเช้า
6286,launch,Lunch,午餐,Lunch,Cơm trưa,점심 식사,Almoço,อาหารกลางวัน
6287,dinner,Dinner,晚餐,Dinner,Bữa tối,저녁 식사,Jantar,อาหารเย็น
6288,supper,Supper,夜宵,Supper,Bữa ăn khuya,야식,Jantar,อาหารเย็น
6289,cakeNameTime,%s%d:00-%d:00,%s%d:00-%d:00,%s%d:00-%d:00,%s%d:00-%d:00,%s %d:00~%d:00,%s%s:00-%s:00,%s%s:00-%s:00
6290,currTimeEat,Current meal that can recover %d Energy after eating,當前飯點，食用後可回復%d點體力,Current meal that can recover %d Energy after eating,"Trước mắt giờ cơm, dùng ăn sau nhưng hồi phục %d Một ít thể lực",현재 식사 시간입니다. 체력을 %d 회복할 수 있습니다.,Refeição atual que pode recuperar %s de energia após comer,มื้ออาหารปัจจุบันที่สามารถฟื้นพลังงานได้ %s หลังรับประทานอาหาร
6291,pastTimeEat,Mealtime is over that can recover %d Energy after reclaiming,已過飯點，補領後可回復%d點體力,Mealtime is over that can recover %d Energy after reclaiming,"Đã qua giờ cơm, bổ lĩnh sau nhưng hồi phục %d Một ít thể lực",식사 시간이 지났습니다. 보충 시 체력을 %d 회복할 수 있습니다.,A hora da refeição acabou e pode recuperar %s de energia após a recuperação,เวลาอาหารหมดลงแล้วและสามารถฟื้นคืนพลังงานได้ %s หลังจากเรียกคืน
6292,notCurrTimeEat,"""It's not time for a meal yet, please wait a while more!""",還沒到飯點，請耐心等待一下吧！,"""It's not time for a meal yet, please wait a while more!""","Còn chưa tới giờ cơm, mời kiên nhẫn chờ đợi một cái đi!",아직 식사 시간이 되지 않았습니다. 잠시만 기다려 주세요!,"Ainda não é hora de comer, por favor, espere mais um pouco!",“ยังไม่ถึงเวลาอาหาร กรุณารอก่อนสักหน่อย!”
6293,handbookBreakTitle,%s collects %d%s%s%s Pokémon,%s收集%d只%s%s%s精靈,%s collects %d%s%s%s Pokémon,%s Thu thập %d Chỉ %s%s%s Tinh linh,%s 님이 %d마리의 %s%s%s 포켓몬 수집,%s coleta %s%s%s%s Pokémon,%s รวบรวม %s%s%s%s โปเกมอน
6294,handbookBreakContent,All Pokémons of %s increases %s,%s全體精靈%s提升,All Pokémons of %s increases %s,%s Toàn thể tinh linh %s Tăng lên,%s전체 포켓몬 %s 증가,Todos os Pokémons de %s aumentam %s,โปเกมอนทุกตัวของ %s เพิ่มขึ้น %s
6295,arrivalLevelOpen,Lv.%d unlock,Lv.%d開啟,Lv.%d unlock,Lv.%d Mở ra,Lv.%d 개방,Lv.%s desbloqueado,ปลดล็อค Lv.%s
6296,addBlackListSuccess,You have blocked this trainer,添加黑名單成功,You have blocked this trainer,Tăng thêm sổ đen thành công,블랙리스트 추가 성공,Você bloqueou este treinador,คุณได้บล็อคเทรนเนอร์นี้แล้ว
6297,removeBlackListSuccess,You have unblocked this trainer,移除黑名單成功,You have unblocked this trainer,Gỡ ra sổ đen thành công,블랙리스트 삭제 성공,Você desbloqueou este treinador,คุณได้ปลดบล็อคเทรนเนอร์นี้แล้ว
6298,unBlackList,Unblock,解除拉黑,Unblock,Giải trừ kéo đen,블랙리스트 삭제,Desbloquear,ปลดบล็อค
6299,spaceBlackList,Block,拉 黑,Block,Kéo Đen,차 단,Bloquear,ปิดกั้น
6300,logoWasSavedSuccessfully,Avatar saved successfully,頭像保存成功,Avatar saved successfully,Ảnh chân dung bảo tồn thành công,프로필 저장 성공,Avatar salvo com sucesso,บันทึกอวาตาร์เรียบร้อยแล้ว
6301,frameWasSavedSuccessfully,Avatar frame saved successfully,頭像框保存成功,Avatar frame saved successfully,Ảnh chân dung khung bảo tồn thành công,테두리 저장 성공,Moldura de avatar salva com sucesso,บันทึกกรอบรูปอวาตาร์สำเร็จแล้ว
6302,logoHasBeenSaved,Avatar has been saved,頭像已保存,Avatar has been saved,Ảnh chân dung đã bảo tồn,프로필 저장,Avatar foi salvo,อวตารได้รับการบันทึกแล้ว
6303,frameHasBeenSaved,Avatar frame has been saved,頭像框已保存,Avatar frame has been saved,Ảnh chân dung khung đã bảo tồn,테두리가 저장되었습니다.,O quadro do avatar foi salvo,กรอบรูปอวาตาร์ได้รับการบันทึกแล้ว
6304,breakSuccess,Breakthrough successfully,突破成功,Breakthrough successfully,Đột phá thành công,돌파 성공,Avanço bem-sucedido,ก้าวสู่ความสำเร็จ
6305,talentTreeUnlockCondition,"Unlock condition: %s Upgrade %d Talent Points in Talent feature and all previous Talent tree are unlocked, trainer level reach Lv.%d",解鎖條件:%s天賦樹中投入%d點天賦點且所有前置天賦樹均已解鎖，戰隊等級達到%d級,"Unlock condition: %s Upgrade %d Talent Points in Talent feature and all previous Talent tree are unlocked, trainer level reach Lv.%d",404404,"개방 조건: %s 특성트리에 특성포인트 %d 투입 및 모든 조건 특성트리가 개방되고, 팀 %d레벨 달성","Condição de desbloqueio: %s Atualize %s Pontos de Talento no recurso Talento e toda a árvore de Talento anterior são desbloqueados, o nível do treinador atinge o Lv.%s",เงื่อนไขการปลดล็อค: ปลดล็อค %s อัพเกรด %s คะแนนพรสวรรค์ในฟีเจอร์พรสวรรค์และแผนภูมิพรสวรรค์ก่อนหน้าทั้งหมด ระดับเทรนเนอร์จะถึงระดับ Lv.%s
6306,currTreeCostTalentPoint,The talent tree has currently put in %d talent points,當前天賦樹已投入%d天賦點,The talent tree has currently put in %d talent points,Trước mắt thiên phú cây đã đầu nhập %d Điểm thiên phú,현재 특성트리에 특성포인트 %d 투입,A árvore de talentos atualmente colocou %s pontos de talento,ต้นไม้ความสามารถได้เพิ่มคะแนนความสามารถเป็น %s คะแนนแล้ว
6307,teamReachTargetLevel,Team reaches level %d,戰隊等級達到%d級,Team reaches level %d,Chiến đội đẳng cấp đạt tới %d Cấp,팀 %d레벨 달성,A equipe atinge o nível %s,ทีมถึงระดับ %s แล้ว
6308,talentLevelReach,Forward Talent Level Reached,前置天賦等級達到,Forward Talent Level Reached,Trước đưa thiên phú đẳng cấp đạt tới,조건 특성 레벨 도달,Nível de talento avançado alcançado,ถึงระดับความสามารถล่วงหน้าแล้ว
6309,talentLevel,Level: %d/%d,等級：%d/%d,Level: %d/%d,Đẳng cấp: %d/%d,레벨: %d/%d,Nível: %s/%s,ระดับ : %s/%s
6310,talent,Talent,天賦,Talent,Thiên phú,특성,Talento,ความสามารถพิเศษ
6311,levelUnLock,Next chapter unlocks at Lv. %d,LV.%d開啟下一章,Next chapter unlocks at Lv. %d,LV.%d Mở ra chương sau,Lv.%d에 다음 챕터 개방,O próximo capítulo é desbloqueado no nível %s,บทต่อไปปลดล็อคที่ระดับ %s
6312,commonTextOk,OK,確 定,OK,Xác thực Định,확 인,OK,ตกลง
6313,commonTextGet,Claim,領取,Claim,Nhận lấy,수령,Alegar,เรียกร้อง
6314,playmindgames,C.P.,戰,C.P.,Chiến,전력,PC,ซีพี
6315,acquiringWay,Get %s,%s獲取,Get %s,%s Thu hoạch,%s 획득,Obter %s,รับ %s
6316,deleteFriend,"""After deleting your friend, you will also be removed from their friends list""",刪除好友後你將同時從對方好友列表中消失,"""After deleting your friend, you will also be removed from their friends list""",Xóa bỏ hảo hữu sau ngươi đem đồng thời từ đối phương hảo hữu liệt biểu bên trong biến mất,친구 삭제 시 상대방의 목록에서도 친구 관계가 삭제됩니다.,"Após excluir seu amigo, você também será removido da lista de amigos dele",หลังจากลบเพื่อนของคุณแล้ว คุณจะถูกลบออกจากรายชื่อเพื่อนของพวกเขาด้วย
6317,pvpResetTime,Cooldown,立即冷卻,Cooldown,Lập tức làm lạnh,즉시 쿨타임,Esfriar,คูลดาวน์
6318,pvpBuyTime,Chance+1,購買次數,Chance+1,Mua số lần,구매 횟수,Chance+1,โอกาส+1
6319,rankPointRule,"""#C0x55504D#(Initiating and winning the challenge gives #C0xEF3453#+2#C0x55504D# points, while losing gives #C0xEF3453#+1#C0x55504D# points. Trainers who have attained VIP5 or level 45 and above can also earn #C0xEF3453#+2#C0x55504D# points)""",#C0x55504D#（主動挑戰勝利積分#C0xEF3453#+2#C0x55504D#，失敗積分#C0xEF3453#+1#C0x55504D#，達到VIP5或者等級到達45後失敗也獲得積分#C0xEF3453#+2#C0x55504D#）,"""#C0x55504D#(Initiating and winning the challenge gives #C0xEF3453#+2#C0x55504D# points, while losing gives #C0xEF3453#+1#C0x55504D# points. Trainers who have attained VIP5 or level 45 and above can also earn #C0xEF3453#+2#C0x55504D# points)""","#C0x55504D# (Thắng thử thách tích điểm #C0xEF3453# +2 #C0x55504D#, thua tích điểm #C0xEF3453# +1 #C0x55504D#, đạt VIP5 hoặc cấp độ 45 thì thua vẫn được tích điểm #C0xEF3453# +2 #C0x55504D#)","""#C0x55504D#(도전 승리 시 포인트 #C0xEF3453#+2#C0x55504D#, 패배 시 포인트 #C0xEF3453#+1#C0x55504D#, VIP 5 또는 45레벨 이후 패배 시에도 포인트 #C0xEF3453#+2#C0x55504D#)""","#C0x55504D#(Iniciar e vencer o desafio dá #C0xEF3453#+2#C0x55504D# pontos, enquanto perder dá #C0xEF3453#+1#C0x55504D# pontos. Treinadores que atingiram VIP5 ou nível 45 e acima também podem ganhar #C0xEF3453#+2#C0x55504D# pontos)",#C0x55504D#(การเริ่มและชนะการท้าทายจะได้รับคะแนน #C0xEF3453#+2#C0x55504D# ในขณะที่การแพ้จะได้รับคะแนน #C0xEF3453#+1#C0x55504D# ผู้ฝึกสอนที่ได้ระดับ VIP5 หรือเลเวล 45 ขึ้นไปก็ยังสามารถได้รับคะแนน #C0xEF3453#+2#C0x55504D# ได้เช่นกัน)
6320,before,""" ago""",前,""" ago""",Trước,상위,atrás,ที่ผ่านมา
6321,spaceExchange,Exchange,兌 換,Exchange,Đổi Đổi,교 환,Intercâmbio,แลกเปลี่ยน
6322,hasChange,Exchanged,已兌換,Exchanged,Đã hối đoái,교환 완료,Trocado,แลกเปลี่ยน
6323,todayNumber,No. of times today:,今日次數:,No. of times today:,Hôm nay số lần: ,오늘 횟수:,Número de vezes hoje:,จำนวนครั้งในวันนี้:
6324,transcriptTitle,Daily Dungeon,日常副本,Daily Dungeon,Thường ngày phó bản,일상 던전,Calabouço Diário,ดันเจี้ยนประจำวัน
6325,doubleReward,Double rewards,雙倍獎勵,Double rewards,Gấp đôi ban thưởng,2배 보상,Recompensas em dobro,รางวัลสองเท่า
6326,additionalNumber,Chance+1,額外次數,Chance+1,Ngoài định mức số lần,추가 횟수,Chance+1,โอกาส+1
6328,spaceChallenge,Challenge,挑 戰,Challenge,Chọn Chiến,도 전,Desafio,ท้าทาย
6329,GoldTranscript,Coin dungeon,金幣副本,Coin dungeon,Kim tệ phó bản,골드 코인 던전,Masmorra de moedas,คุกใต้ดินเหรียญ
6330,expTranscript,EXP Dungeon,經驗副本,EXP Dungeon,Kinh nghiệm phó bản,경험치 던전,Masmorra EXP,ดันเจี้ยน EXP
6331,materialTranscript,Material Dungeon,材料副本,Material Dungeon,Vật liệu phó bản,재료 던전,Masmorra de materiais,ดันเจี้ยนวัสดุ
6332,currentLevelNotAvailable,Insufficient level,等級不足,Insufficient level,Cấp bậc chưa đủ,레벨 부족,Nível insuficiente,ระดับไม่เพียงพอ
6333,notPerfectClearanceNextLevel,You've not cleared the previous level,上一級未通關,You've not cleared the previous level,Lên một cấp chưa thông quan,지난 레벨을 클리어하지 않았습니다.,Você não completou o nível anterior,คุณยังไม่ได้ผ่านด่านก่อนหน้า
6334,arenaCoinNotEnoughNotBuy,Insufficient Arena Coins to purchase,競技貨幣不足，不能購買,Insufficient Arena Coins to purchase,"Thi đấu tiền tệ không đủ, không thể mua","""아레나 화폐 부족, 구매할 수 없습니다.""",Moedas de Arena insuficientes para comprar,มี Arena Coins ไม่เพียงพอที่จะซื้อ
6335,youAreNotVIP,You are not a VIP yet,您現在還不是VIP,You are not a VIP yet,Ngài hiện tại còn không phải VIP,현재 VIP가 아닙니다.,Você ainda não é VIP,คุณยังไม่ใช่ VIP
6336,haveChallengeTimesUnused,"""You still have available chances left, don't need to purchase for more""",還有挑戰次數未用，無需購買,"""You still have available chances left, don't need to purchase for more""","Còn có khiêu chiến số lần không dùng, không cần mua",아직 도전 횟수가 남아 구매할 필요가 없습니다.,"Você ainda tem chances disponíveis, não precisa comprar mais",“คุณยังมีโอกาสเหลืออยู่ ไม่จำเป็นต้องซื้อเพิ่ม”
6337,resetNumberEliteLevels1,#C0xFF5B545B# Do you want to spend %d#Icommon/icon/icon_diamond.png-56-56# and reset the no. of Difficult level attempts?,#C0xFF5B545B#是否消耗%d#Icommon/icon/icon_diamond.png-56-56#，重置困難關卡次數？,#C0xFF5B545B# Do you want to spend %d#Icommon/icon/icon_diamond.png-56-56# and reset the no. of Difficult level attempts?,"#C0xFF5B545B#Xác nhận dùng %d#Icommon/icon/icon_diamond.png-56-56#, Reset số lần Ải Khó?",#C0xFF5B545B#%d#Icommon/icon/icon_diamond.png-56-56#를 소모해 하드 스테이지 횟수를 초기화하겠습니까?,#C0xFF5B545B# Você quer gastar %s#Icommon/icon/icon_diamond.png-56-56# e redefinir o número de tentativas de nível Difícil?,#C0xFF5B545B# คุณต้องการใช้ %s#Icommon/icon/icon_diamond.png-56-56# และรีเซ็ตจำนวนครั้งในการพยายามผ่านระดับความยากหรือไม่?
6338,pvpRank,Rank No.: %d(,排名：%d(,Rank No.: %d(,Xếp hạng: %d(,순위: %d(,Classificação nº: %s(,อันดับที่: %s(
6340,pvpRankUnChanged,"""Win your opponent, there are no changes in ranking""",戰勝對手，排名未發生變動,"""Win your opponent, there are no changes in ranking""","Chiến thắng đối thủ, xếp hạng chưa phát sinh biến động",상대방에게 승리해도 순위에 변화가 발생하지 않았습니다.,"Vença seu oponente, não há mudanças na classificação",“ชนะคู่ต่อสู้ได้ ไม่มีการเปลี่ยนแปลงอันดับ”
6341,pvpFail,You have failed to beat your opponent in battle. \n Ranking remains unchanged,您在戰鬥中未能戰勝對手\n排名不變,You have failed to beat your opponent in battle. \n Ranking remains unchanged,Ngài trong chiến đấu chưa thể chiến thắng đối thủ \n Xếp hạng không thay đổi,전투 중 상대방에게 승리하지 못했습니다.\n순위에 변화가 발생하지 않았습니다.,Você não conseguiu derrotar seu oponente na batalha. n A classificação permanece inalterada,คุณล้มเหลวในการเอาชนะคู่ต่อสู้ในการต่อสู้ n อันดับยังคงไม่เปลี่ยนแปลง
6342,totalKill,Total victories: %d/%d,累計擊敗數:%d/%d,Total victories: %d/%d,Tính gộp lại đánh bại số:%d/%d,누적 처치 수: %d/%d,Total de vitórias: %s/%s,ชัยชนะทั้งหมด: %s/%s
6343,detail,Details,詳情,Details,Tường tình,상세정보,Detalhes,รายละเอียด
6344,produce,Proceed,產出,Proceed,Sản xuất,생산,Prosseguir,ดำเนินการ
6345,fetter,Bond,羈絆,Bond,Ràng buộc,유대,Ligação,พันธบัตร
6346,analyze,Analysis,分析,Analysis,Phân tích,분석,Análise,การวิเคราะห์
6347,roleLogo,Avatar,頭像,Avatar,Ảnh chân dung,프로필,Avatar,อวตาร
6348,figure,Personal image,個人形象,Personal image,Cái hình người tượng,개인 아바타,Imagem pessoal,ภาพส่วนตัว
6349,cardBag,Pokémons,精靈背包,Pokémons,Tinh linh ba lô,포켓몬 가방,Pokémons,โปเกม่อน
6350,battleSet,Settings,設置,Settings,Thiết trí,설정,Configurações,การตั้งค่า
6351,battleBack,Quit,退出,Quit,Rời khỏi,퇴장,Desistir,ล้มเลิก
6352,battleRestart,Restart,重開,Restart,Mở lại,부활,Reiniciar,เริ่มใหม่อีกครั้ง
6353,battleContinue,Continue,繼續,Continue,Tiếp tục,계속,Continuar,ดำเนินการต่อ
6354,back2City,Return to Main,回主介面,Return to Main,Về chủ giao diện,메인으로,Retornar para o principal,กลับสู่หน้าหลัก
6355,playAgain,Battle again,再戰一次,Battle again,Tái chiến một lần,다시 전투,Lute novamente,สู้กันใหม่อีกครั้ง
6356,dungeonList,Level list,關卡列表,Level list,Cửa ải liệt biểu,스테이지 목록,Lista de níveis,รายการระดับ
6357,blackListNull,You've not blocked anyone,沒有遮罩人鴨,You've not blocked anyone,Không có che đậy người vịt,차단한 사람이 없습니다.,Você não bloqueou ninguém,คุณไม่ได้บล็อคใครเลย
6358,blackList,Blacklist,黑名單,Blacklist,Sổ đen,블랙리스트,Lista negra,บัญชีดำ
6359,talentBasis,Basic,基礎,Basic,Cơ sở,기초,Básico,พื้นฐาน
6360,talentAdvance,Normal,進階,Normal,Tiến giai,진급,Normal,ปกติ
6361,talentElement,Element,元素,Element,Nguyên tố,엘리먼트,Elemento,องค์ประกอบ
6362,talentChallenge,Challenge,挑戰,Challenge,Khiêu chiến,도전,Desafio,ท้าทาย
6363,talentDetailRoleLevel,#C0x5B545B#Trainer reaches level #%s#%d#C0x5B545B#,#C0x5B545B#人物等級達到#%s#%d#C0x5B545B#級,#C0x5B545B#Trainer reaches level #%s#%d#C0x5B545B#,#C0x5B545B# Nhân vật đẳng cấp đạt tới #%s#%d#C0x5B545B# Cấp,#C0x5B545B#캐릭터 레벨 #%s#%d#C0x5B545B#달성,#C0x5B545B#O treinador atinge o nível #%s#%s#C0x5B545B#,#C0x5B545B#เทรนเนอร์ถึงระดับ #%s#%s#C0x5B545B#
6364,getaSectionBoxTitle,Chapter %d,第%d章,Chapter %d,Thứ %d Chương,%d장,Capítulo %s,บทที่ %s
6365,removeSelectBlackListSuccess,#C0x5B545B# has removed #C0xF76B45#%s#C0x5B545B# from the blacklist,#C0x5B545B#將#C0xF76B45#%s#C0x5B545B#從黑名單中移除,#C0x5B545B# has removed #C0xF76B45#%s#C0x5B545B# from the blacklist,#C0x5B545B# Đem #C0xF76B45#%s#C0x5B545B# Từ sổ đen bên trong gỡ ra,#C0x5B545B##C0xF76B45#%s#C0x5B545B# 님을 블랙리스트에서 삭제했습니다.,#C0x5B545B# removeu #C0xF76B45#%s#C0x5B545B# da lista negra,#C0x5B545B# ได้ลบ #C0xF76B45#%s#C0x5B545B# ออกจากบัญชีดำแล้ว
6366,removeSelectFriend1,#C0x5B545B#Remove #C0xF76B45#%s#C0x5B545B# from your friends list,#C0x5B545B#將#C0xF76B45#%s#C0x5B545B#從你的好友列表中刪除,#C0x5B545B#Remove #C0xF76B45#%s#C0x5B545B# from your friends list,Xóa %s khỏi danh sách bạn bè của bạn,#C0x5B545B##C0xF76B45#%s#C0x5B545B# 님을 친구 목록에서 삭제했습니다.,#C0x5B545B#Remova #C0xF76B45#%s#C0x5B545B# da sua lista de amigos,#C0x5B545B#ลบ #C0xF76B45#%s#C0x5B545B# จากรายชื่อเพื่อนของคุณ
6367,removeSelectFriend2,"""#C0x5B545B#After deleting your friend, you will also be removed from their friends list""",#C0x5B545B#刪除好友後你將同時從對方好友列表中消失,"""#C0x5B545B#After deleting your friend, you will also be removed from their friends list""",#C0x5B545B# Xóa bỏ hảo hữu sau ngươi đem đồng thời từ đối phương hảo hữu liệt biểu bên trong biến mất,#C0x5B545B#친구 삭제 시 상대방의 목록에서도 친구 관계가 삭제됩니다.,"#C0x5B545B#Após excluir seu amigo, você também será removido da lista de amigos dele",#C0x5B545B#หลังจากลบเพื่อนของคุณแล้ว คุณจะถูกลบออกจากรายชื่อเพื่อนของพวกเขาด้วย
6368,sellingPrice,Price,售價,Price,Giá bán,판매가,Preço,ราคา
6369,roleLogoFrame,Avatar frame,頭像框,Avatar frame,Ảnh chân dung khung,테두리,Moldura Avatar,กรอบรูปอวาตาร์
6370,sellout,Sold out,已售罄,Sold out,Đã bán sạch,매진,Vendido,ขายหมดแล้ว
6371,nextDayRefresh5,Refresh at 0:00 next day,次日5點刷新,Refresh at 0:00 next day,Ngày kế tiếp 5 Điểm đổi mới,다음날 0시 갱신,Atualizar às 0:00 do dia seguinte,รีเฟรชเวลา 0:00 ของวันถัดไป
6372,notAtOpenLevel,Insufficient level to unlock,未到開啟等級,Insufficient level to unlock,Chưa tới mở ra đẳng cấp,개방 레벨이 되지 않았습니다.,Nível insuficiente para desbloquear,ระดับไม่เพียงพอที่จะปลดล็อค
6373,notOpenToday,Yet to unlock today,今日未開啟,Yet to unlock today,Hôm nay chưa mở ra,오늘 미개방,Ainda para desbloquear hoje,ยังไม่ปลดล็อควันนี้
6374,changeEnemy,Change,更換對手,Change,Thay đổi đối thủ,상대 변경,Mudar,เปลี่ยน
6375,battleEvaluation,Battle Score,戰鬥評價,Battle Score,Chiến đấu đánh giá,전투 평점,Pontuação da Batalha,คะแนนการต่อสู้
6376,battleScore,Battle points,戰鬥積分,Battle points,Chiến đấu điểm tích lũy,전투 포인트,Pontos de batalha,คะแนนการต่อสู้
