变量名,_beizhu,_comment,stage,specialName,startSceen,startLevel,startGate,extendCondition,order,service,award,awardChoose,showAward,gotoScene,gotoStep,outDelay,showType,force,useRoleFigure,unitId,offPos,headRes,headPos,roleName,roleName_tw,roleName_en,roleName_kr,roleName_vn,roleName_pt,roleName_th,talkContent,talkContent_tw,talkContent_en,talkContent_vn,talkContent_kr,talkContent_pt,talkContent_th,bgRes,__tagName,tagName,jumpToNode,animate,animateAngle,animatePos,battleEnter,anyPosCancel,lightSize,chooseDesc1,choose1,chooseDesc2,choose2
,,赠送10连抽卡券-剧情对白,36,,,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotomdex,โรทอมเด็กซ์,潜力值可以提升精灵实力，不同的潜力值阶段还会获得额外效果加成,潛力值可以提升精靈實力，不同的潛力值階段還會獲得額外效果加成,"Potential value can increase the power of Pokémons, and different potential value levels can unlock different additional effects.","Chỉ số tiềm năng có thể tăng sức mạnh của Pokémon, và các giai đoạn chỉ số tiềm năng khác nhau cũng sẽ nhận được thêm hiệu ứng cộng thêm.","""잠재력 수치는 포켓몬의 전투력을 높일 수 있고, 추가 효과 보너스를 얻을 수도 있어 로토.""","Os valores de potencial podem aumentar a força dos Pokémon, e diferentes estágios de valores de potencial também receberão bônus de efeito adicionais.",ค่าพลังแฝงสามารถเพิ่มความแข็งแกร่งของโปเกมอนได้ และแต่ละขั้นของค่าพลังแฝงยังจะได้รับโบนัสผลเพิ่มเติมอีกด้วย,,,,,,,,,,,,,,
,,赠送10连抽卡券-前往抽卡,36,,,,,,,,,,,,,0.1,,1,,,{x=-100;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,点击这里进入精灵背包,點擊這裡進入精靈背包,Tap here to open the bag.,Nhấn vào đây để vào túi Pokémon,포켓몬 가방을 열어 봐 로토.,Clique aqui para entrar na Mochila Pokémon,คลิกที่นี่เพื่อเข้าไปในกระเป๋าโปเกมอน,,精灵背包,<centerBottomPanel;actionList;cardBag>,,effect/shouyindao.skel,150,,,,,,,,
,,精灵升潜力值赠送材料-选择第一个精灵,36,,,,,,,,,,,,,0.1,,2,,,{x=-700;y=250},login/new_character/img_tjltm@.png,{x=0;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,点击这里进入精灵的强化界面,點擊這裡進入精靈的強化介面,Tap here to enter the Pokémon enhancement interface.,Nhấn vào đây để vào giao diện tăng cường Pokémon,이번엔 여길 터치해 포켓몬 강화 메뉴로 입장해 로토.,Clique aqui para acessar a interface de fortalecimento de Pokémon,คลิกที่นี่เพื่อเข้าสู่ส่วนเสริมพลังโปเกมอน,,第一个精灵,<centerPanel;cardList;subList;cardItem1>,,effect/shouyindao.skel,,,,,,,,,
,,精灵升潜力值赠送材料-点击潜力值页签,36,,,,,,,,,,,,,0.1,,1,,,{x=200;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,点一下这里，打开潜力值面板。,點一下這裡，打開潛力值面板。,Tap here to open the Potential Value interface.,Nhấn vào đây để mở bảng điểm tiềm năng.,여길 터치하면 잠재력 메뉴를 열 수 있어 로토.,Toque aqui para abrir o painel de Pontos de Potencial.,แตะที่นี่เพื่อเปิดแผงคะแนนศักยภาพ,,升级,<right;list;star;btnNormal>,,effect/shouyindao.skel,,,,,,,,,
,,精灵升潜力值赠送材料-赠送材料剧情对白,36,,,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,提升潜力值需要消耗潜力值道具和本体精灵，潜力值道具可以通过精英关卡获得，目前你还没有获得挑战精英关卡的资格，那就先赠送你一些材料。,提升潛力值需要消耗潛力值道具和本體精靈，潛力值道具可以通過精英關卡獲得，目前你還沒有獲得挑戰精英關卡的資格，那就先贈送你一些材料。,"Potential Item and Pokémon itself are needed to increasing the potential value. As you're not eligible to challenge the Elite levels currently, here are some materials for you.","Nâng cao Giá trị tiềm năng cần tiêu hao đạo cụ Giá trị tiềm năng và Pokémon chính. Đạo cụ Giá trị tiềm năng có thể thu được từ các màn chơi Tinh Anh. Hiện tại, bạn chưa đủ điều kiện để thách đấu các màn chơi Tinh Anh, vì vậy chúng tôi sẽ tặng bạn một số nguyên liệu trước.","""잠재력을 높이려면 잠재력 수치 아이템과 포켓몬을 소모해야 해 로토. 잠재력 아이템은 정예 스테이지에서 획득할 수 있어 로토. 넌 아직 정예 스테이지에 도전할 자격이 없으니까, 이번엔 내가 재료를 줄게 로토.""","Aumentar o Valor de Potencial requer itens de Valor de Potencial e o Pokémon principal. Itens de Valor de Potencial podem ser obtidos em Estágios de Elite. Atualmente, você não tem a qualificação para desafiar Estágios de Elite, então vamos te dar alguns materiais primeiro.",การเพิ่มค่าศักยภาพต้องใช้ไอเท็มค่าศักยภาพและโปเกมอนหลัก ไอเท็มค่าศักยภาพสามารถได้รับจากด่านระดับสูง ปัจจุบันคุณยังไม่มีสิทธิ์ท้าทายด่านระดับสูง ดังนั้นเราจะมอบวัสดุบางอย่างให้คุณก่อน,,,,,,,,,,,,,,
,,精灵升潜力值赠送材料-赠送材料,36,,,,,,,1,{800=8},,TRUE,,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,精灵升潜力值赠送材料-打开背包,37,,,,,,,,,,,,,0.1,,1,,,{x=-100;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotomdex,โรทอมเด็กซ์,点击这里进入精灵背包,點擊這裡進入精靈背包,Tap here to open the bag.,Nhấn vào đây để vào túi Pokémon,포켓몬 가방을 열어 봐 로토.,Clique aqui para acessar a Mochila Pokémon,คลิกที่นี่เพื่อเข้าสู่กระเป๋าโปเกมอน,,精灵背包,<centerBottomPanel;actionList;cardBag>,,effect/shouyindao.skel,150,,,,,,,,
,,精灵升潜力值赠送材料-选择第一个精灵,37,,,,,,,,,,,,,0.1,,2,,,{x=-700;y=250},login/new_character/img_tjltm@.png,{x=0;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ Tay,Rotom Dex,โรทอมเด็กซ์,点击这里进入精灵的强化界面,點擊這裡進入精靈的強化介面,Tap here to enter the Pokémon enhancement interface.,Nhấn vào đây để vào giao diện tăng cường Pokémon,이번엔 여길 터치해 포켓몬 강화 메뉴로 입장해 로토.,Clique aqui para acessar a interface de fortalecimento do Pokémon,คลิกที่นี่เพื่อเข้าสู่ส่วนเสริมพลังโปเกมอน,,第一个精灵,<centerPanel;cardList;subList;cardItem1>,,effect/shouyindao.skel,,,,,,,,,
,,精灵升潜力值赠送材料-点击潜力值页签,37,,,,,,,,,,,,,0.1,,1,,,{x=200;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,点一下这里，打开潜力值面板。,點一下這裡，打開潛力值面板。,Tap here to open the Potential Value interface.,Nhấn vào đây để mở bảng giá trị tiềm năng.,여길 터치하면 잠재력 메뉴를 열 수 있어 로토.,Toque aqui para abrir o painel de Valor Potencial.,แตะที่นี่เพื่อเปิดแผงค่าศักยภาพ,,升级,<right;list;star;btnNormal>,,effect/shouyindao.skel,,,,,,,,,
,,精灵升潜力值-点击突破按钮,37,,,,,,,1,,,,,,0.1,,2,,,{x=500;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,点击这里进行潜力值提升,點擊這裡進行潛力值提升,Tap here to upgrade Potential Value.,Nhấp vào đây để tăng tiềm năng,터치해서 잠재력 증가를 진행해 로토.,Clique aqui para aumentar o potencial,คลิกที่นี่เพื่อเพิ่มศักยภาพ,,,<panel;btnOk>,,effect/shouyindao.skel,,,,,,,,,
,,精灵升潜力值-空白按钮,373,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,精灵升潜力值-继续战斗,32,,,,,,,,,,,,,0.1,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,通过提升，精灵的战斗得到了显著提升，让我们继续冒险吧,通過提升，精靈的戰鬥得到了顯著提升，讓我們繼續冒險吧,"Through upgrading, the combat power of the Pokémon has increased greatly. Now, let's continue with the adventure!","Nhờ nâng cấp, sức mạnh chiến đấu của Pokémon đã được cải thiện đáng kể. Hãy tiếp tục cuộc phiêu lưu của chúng ta nào!",증가를 통해 포켓몬의 전투력이 현저히 증가했어 로토. 그럼 계속 모험을 진행하자 로토.,"Com a melhoria, a capacidade de batalha do Pokémon foi significativamente aprimorada. Vamos continuar nossa aventura!",ด้วยการพัฒนา พลังการต่อสู้ของโปเกมอนได้รับการปรับปรุงอย่างมากแล้ว มาผจญภัยกันต่อเถอะ!,,,,,effect/shouyindao.skel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,
500,500,饰品升级-剧情对白,50,,all,,10202,,,1,{gold=30000},,,1,501,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,恭喜你，解锁了饰品功能，通过升级饰品可以提升角色的各项属性,恭喜你，解鎖了飾品功能，通過升級飾品可以提升角色的各項屬性,"Congratulations for unlocking the trinket feature, you may enhance the various Pokémon stats by upgrading the trinket.",Chúc mừng bạn! Bạn đã mở khóa chức năng Phụ kiện. Nâng cấp phụ kiện có thể tăng cường các thuộc tính khác nhau của nhân vật.,"""축하해, 액세서리 시스템이 개방됐어. 액세서리의 레벨을 높이면 캐릭터의 각 속성을 증가시킬 수 있어 로토.""",Parabéns! Você desbloqueou a função de Acessórios. Melhorar os acessórios pode aumentar vários atributos do seu personagem.,ขอแสดงความยินดี! คุณได้ปลดล็อกฟังก์ชั่นเครื่องประดับแล้ว การอัปเกรดเครื่องประดับสามารถเพิ่มคุณลักษณะต่างๆ ของตัวละครของคุณได้,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,501,饰品升级-剧情对白,51,,all,,10202,,,,,,,1,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,恭喜你，解锁了饰品功能，通过升级饰品可以提升角色的各项属性,恭喜你，解鎖了飾品功能，通過升級飾品可以提升角色的各項屬性,"Congratulations for unlocking the trinket feature, you may enhance the various Pokémon stats by upgrading the trinket.",Chúc mừng bạn! Bạn đã mở khóa chức năng phụ kiện. Nâng cấp phụ kiện có thể tăng cường các thuộc tính khác nhau của nhân vật.,"""축하해, 액세서리 시스템이 개방됐어. 액세서리의 레벨을 높이면 캐릭터의 각 속성을 증가시킬 수 있어 로토.""",Parabéns! Você desbloqueou a função de acessórios. Melhorar os acessórios pode aumentar os vários atributos do seu personagem.,ขอแสดงความยินดี! คุณได้ปลดล็อกฟังก์ชันเครื่องประดับแล้ว การอัปเกรดเครื่องประดับสามารถเพิ่มค่าสถานะต่างๆ ของตัวละครได้,,,,,,,,,,,,,,
502,502,饰品升级-打开背包,51,,,,,,,,,,,,,0.1,,1,,,{x=-100;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,点击这里进入精灵背包,點擊這裡進入精靈背包,Tap here to open the bag.,Nhấp vào đây để vào túi Pokémon,포켓몬 가방을 열어 봐 로토.,Clique aqui para acessar a Mochila Pokémon,คลิกที่นี่เพื่อเข้าไปยังกระเป๋าโปเกมอน,,精灵背包,<centerBottomPanel;actionList;cardBag>,,effect/shouyindao.skel,150,,,,,,,,
503,503,饰品升级-选择第一个精灵,51,,,,,,,,,,,,,0.1,,2,,,{x=-700;y=250},login/new_character/img_tjltm@.png,{x=0;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotomdex,โรทอมเด็กซ์,点击这里进入精灵的强化界面,點擊這裡進入精靈的強化介面,Tap here to enter the Pokémon enhancement interface.,Nhấn vào đây để vào giao diện tăng cường Pokémon,이번엔 여길 터치해 포켓몬 강화 메뉴로 입장해 로토.,Clique aqui para acessar a interface de fortalecimento do Pokémon,คลิกที่นี่เพื่อเข้าสู่ส่วนเสริมพลังโปเกมอน,,第一个精灵,<centerPanel;cardList;subList;cardItem1>,,effect/shouyindao.skel,,,,,,,,,
504,504,饰品升级-点击饰品页签,51,,,,,,,,,,,,,0.1,,1,,,{x=-300;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,点一下这里，打开饰品界面,點一下這裡，打開飾品介面,Tap here to open the Trinket interface.,Nhấn vào đây để mở giao diện phụ kiện,그럼 여길 터치해서 액세서리 메뉴를 열어 봐 로토.,Toque aqui para abrir a interface de acessórios,แตะที่นี่เพื่อเปิดอินเทอร์เฟซอุปกรณ์เสริม,,,<left;btnEquip>,,effect/shouyindao.skel,,,,,,,,,
505,505,饰品升级-点击强化一次按钮1,51,,,,,,,1,,,,,514,0.1,,1,,,{x=-100;y=0},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotomdex,โรทอมเด็กซ์,点击这里进行饰品强化,點擊這裡進行飾品強化,Tap here to enhance trinkets.,Nhấn vào đây để cường hóa phụ kiện,액세서리 강화를 진행해 로토.,Clique aqui para aprimorar acessórios,คลิกที่นี่เพื่อเสริมพลังเครื่องประดับ,,,<strengthenPanel;btnStrengthen>,,effect/shouyindao.skel,,,,,,,,,
,,精灵进化-剧情对白,51,,,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,恭喜你，进化成功了，让我们继续冒险吧,恭喜你，進化成功了，讓我們繼續冒險吧,Congratulations for the successful evolution! Let's continue our adventure!,"Chúc mừng bạn, quá trình tiến hóa đã thành công! Hãy cùng tiếp tục cuộc phiêu lưu của chúng ta nào!","""축하해, 진화에 성공했어 로토. 그럼 모험을 계속해 보자 로토.""","Parabéns, sua evolução foi um sucesso! Vamos continuar nossa aventura!",ขอแสดงความยินดี! การวิวัฒนาการสำเร็จแล้ว! มาผจญภัยกันต่อเถอะ!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,511,饰品升级-打开背包,52,,all,,10202,,,,,,,,,0.1,,1,,,{x=-100;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,点击这里进入精灵背包,點擊這裡進入精靈背包,Tap here to open the bag.,Nhấn vào đây để vào túi Pokémon,포켓몬 가방을 열어 봐 로토.,Clique aqui para acessar a Mochila Pokémon,คลิกที่นี่เพื่อเข้าสู่กระเป๋าโปเกมอน,,精灵背包,<centerBottomPanel;actionList;cardBag>,,effect/shouyindao.skel,150,,,,,,,,
512,512,饰品升级-选择第一个精灵,52,,,,,,,,,,,,,0.1,,2,,,{x=-700;y=250},login/new_character/img_tjltm@.png,{x=0;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotomdex,โรทอมเด็กซ์,点击这里进入精灵的强化界面,點擊這裡進入精靈的強化介面,Tap here to enter the Pokémon enhancement interface.,Nhấp vào đây để vào giao diện tăng cường Pokémon.,이번엔 여길 터치해 포켓몬 강화 메뉴로 입장해 로토.,Clique aqui para acessar a interface de fortalecimento de Pokémon.,คลิกที่นี่เพื่อเข้าสู่ส่วนเสริมพลังโปเกมอน,,第一个精灵,<centerPanel;cardList;subList;cardItem1>,,effect/shouyindao.skel,,,,,,,,,
513,513,饰品升级-点击饰品页签,52,,,,,,,,,,,,,0.1,,1,,,{x=-300;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,点一下这里，打开饰品界面,點一下這裡，打開飾品介面,Tap here to open the Trinket interface.,Nhấn vào đây để mở giao diện phụ kiện,그럼 여길 터치해서 액세서리 메뉴를 열어 봐 로토.,Toque aqui para abrir a interface de acessórios,แตะที่นี่เพื่อเปิดส่วนต่อประสานอุปกรณ์เสริม,,,<left;btnEquip;btn>,,effect/shouyindao.skel,,,,,,,,,
514,514,饰品升级-点击一键强化按钮,52,,,,,,,1,,,,,,0.1,,1,,,{x=-400;y=50},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,点击这里进行饰品一键强化,點擊這裡進行飾品一鍵強化,Tap here to one-tap enhance trinkets.,Nhấn vào đây để nâng cấp phụ kiện một lần bấm,여길 터치하면 액세서리 간편강화를 진행할 수 있어 로토.,Clique aqui para aprimoramento de acessórios com um clique,คลิกที่นี่เพื่อเสริมพลังเครื่องประดับแบบคลิกเดียว,,,<strengthenPanel;btnOne>,,effect/shouyindao.skel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,601,精英关卡-主城到达,60,,all,1,10204,,,,,,,1,,0.1,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ Tay,Rotom Dex,โรทอมเด็กซ์,接下来，让我们去挑战困难关卡,接下來，讓我們去挑戰困難關卡,Let's challenge the Hard levels next.,"Tiếp theo, chúng ta hãy thử thách cấp độ khó.",그럼 이번엔 하드 스테이지에 도전해 보자 로토.,"Em seguida, vamos desafiar o nível difícil.",ต่อไปนี้ ไปท้าทายด่านยากกันเถอะ,,,,,,,,,,,,,,
602,602,精英关卡-主城到达,60,,,,,,,,,,,,,,,1,,,{x=450;y=250},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,点击这里进入关卡,點擊這裡進入關卡,Tap here to enter the level.,Nhấp vào đây để vào màn chơi,스테이지로 입장해 로토.,Clique aqui para entrar na fase,คลิกที่นี่เพื่อเข้าสู่ด่าน,,主界面关卡,<rightBottomPanel;btnPve>,,effect/shouyindao.skel,150,,,,,,,,
603,603,精英关卡-主城到达,60,,,,,,,,,,,,,1,,2,,,{x=-300;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,点击这里切换困难关卡,點擊這裡切換困難關卡,Tap here to switch into the Hard levels.,Nhấp vào đây để chuyển sang cấp độ khó,여길 터치해서 하드 스테이지로 전환해 로토.,Clique aqui para mudar para o nível difícil,คลิกที่นี่เพื่อเปลี่ยนไปเล่นด่านยาก,,主界面关卡,<leftDown;btnDiffect>,,effect/shouyindao.skel,150,,,,,,,,
604,604,精英关卡-引导选择关卡,60,,,,,,,1,,,,,,2,,2,,,{x=0;y=300},login/new_character/img_tjltm@.png,{x=0;y=300},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,点击这里，选择将要进入的关卡,點擊這裡，選擇將要進入的關卡,Tap here to select the level.,Nhấp vào đây để chọn màn chơi bạn muốn vào.,입장할 스테이지를 선택해 로토.,Clique aqui para selecionar o nível que deseja entrar.,คลิกที่นี่เพื่อเลือกด่านที่คุณต้องการเข้า,,,<pageView;page1;gate1>,,effect/shouyindao.skel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,651,饰品进阶-剧情对白,65,,all,1,20101,,,,,,,1,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,困难关卡不仅有道具掉落，还有饰品进阶卷轴呢！试试给饰品进阶吧！,困難關卡不僅有道具掉落，還有飾品進階卷軸呢！試試給飾品進階吧！,"Difficult levels do not only drop items, but also advanced trinket scrolls! Try upgrading the trinkets!","Chặng khó không chỉ có vật phẩm rơi ra, mà còn có cả cuộn giấy nâng cấp phụ kiện nữa! Hãy thử nâng cấp phụ kiện của bạn nào!",하드 스테이지에서는 아이템 외에 액세서리 진화 스크롤도 드랍하거든 로토! 그럼 액세서리를 진급시켜 보자 로토!,"Níveis difíceis não apenas dropam itens, mas também pergaminhos de aprimoramento de acessórios! Tente melhorar seus acessórios!",ด่านยากไม่เพียงแต่ดรอปไอเทมเท่านั้น แต่ยังมีม้วนหนังสือพัฒนาเครื่องประดับด้วย! ลองพัฒนาเครื่องประดับของคุณดูสิ!,,,,,,,,,,,,,,
652,652,饰品进阶-打开背包,65,,,,,,,,,,,,,0.1,,1,,,{x=-100;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,点击这里进入精灵背包,點擊這裡進入精靈背包,Tap here to open the bag.,Nhấp vào đây để vào túi Pokémon,포켓몬 가방을 열어 봐 로토.,Clique aqui para acessar a Mochila Pokémon,คลิกที่นี่เพื่อเข้าไปในกระเป๋าโปเกมอน,,精灵背包,<centerBottomPanel;actionList;cardBag>,,effect/shouyindao.skel,150,,,,,,,,
653,653,饰品进阶-选择第一个精灵,65,,,,,,,,,,,,,0.1,,2,,,{x=-700;y=250},login/new_character/img_tjltm@.png,{x=0;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,点击这里进入精灵的强化界面,點擊這裡進入精靈的強化介面,Tap here to enter the Pokémon enhancement interface.,Nhấn vào đây để vào giao diện tăng cường Pokémon,이번엔 여길 터치해 포켓몬 강화 메뉴로 입장해 로토.,Clique aqui para acessar a interface de fortalecimento de Pokémon,คลิกที่นี่เพื่อเข้าสู่ส่วนเสริมพลังโปเกมอน,,第一个精灵,<centerPanel;cardList;subList;cardItem1>,,effect/shouyindao.skel,,,,,,,,,
654,654,饰品进阶-点击饰品页签,65,,,,,,,,,,,,,0.1,,1,,,{x=-300;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotomdex,โรทอมเดกซ์,点一下这里，打开饰品界面,點一下這裡，打開飾品介面,Tap here to open the Trinket interface.,Nhấn vào đây để mở giao diện phụ kiện,그럼 여길 터치해서 액세서리 메뉴를 열어 봐 로토.,Toque aqui para abrir a interface de acessórios,แตะที่นี่เพื่อเปิดส่วนต่อประสานอุปกรณ์เสริม,,,<left;btnEquip>,,effect/shouyindao.skel,,,,,,,,,
655,655,饰品进阶-点击进阶按钮1,65,,,,,,,1,,,,,,0.1,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเด็กซ์,消耗困难关卡掉落的饰品进阶卷轴可以提升饰品品阶和等级上限,消耗困難關卡掉落的飾品進階卷軸可以提升飾品品階和等級上限,Use the trinkets that are dropped in the Hard levels to upgrade scrolls can increase the grade  and maximum level of the trinkets.,Sử dụng cuộn nâng cấp phụ kiện rơi từ các màn chơi khó có thể nâng cấp bậc và giới hạn cấp độ của phụ kiện.,하드 스테이지에서 드랍하는 액세서리 진화 스크롤을 소모하면 액세서리의 등급과 레벨 한도를 높일 수 있어 로토.,"Usando os pergaminhos de aprimoramento de acessórios obtidos em estágios difíceis, você pode aumentar o nível e o limite de nível do acessório.",ใช้ свитокพัฒนาเครื่องประดับที่ดรอปจากด่านยาก สามารถเพิ่มระดับและระดับสูงสุดของเครื่องประดับได้,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,1001,开启图鉴-剧情对白,101,,city.view,10,,,,,,,,1,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ tay,Rotom Dex,โรทอมเดกซ์,恭喜你，解锁了图鉴功能，让我们去看看吧,恭喜你，解鎖了圖鑒功能，讓我們去看看吧,"Congratulations! You've unlocked the Pokédex, let's check it out!",Chúc mừng bạn đã mở khóa chức năng Pokédex! Hãy cùng xem thử nào!,"""축하해, 도감 기능이 개방됐어 로토. 어서 살펴보자 로토.""",Parabéns! Você desbloqueou a função Pokédex. Vamos dar uma olhada!,ขอแสดงความยินดี! คุณปลดล็อกฟังก์ชัน Pokédex แล้ว ไปดูกันเลย!,,,,,,,,,,,,,,
1002,1002,开启图鉴-功能入口,101,,,,,,,1,,,,,,0.1,1,2,,,{x=-350;y=50},login/new_character/img_tjltm@.png,{x=0;y=300},图鉴洛托姆,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Rotom Sổ Tay,Rotom Dex,โรทอมเดกซ์,恭喜你，成功开启图鉴，点击这里打开图鉴,恭喜你，成功開啟圖鑒，點擊這裡打開圖鑒,Congratulations for activating the Pokédex. Click here to open it.,Chúc mừng bạn đã mở thành công Pokédex! Nhấn vào đây để mở.,축하해. 도감 개방에 성공했어 로토. 터치해 도감을 열어 보자. 로토,Parabéns! Você abriu com sucesso a Pokédex. Clique aqui para abri-la.,ขอแสดงความยินดี! คุณเปิด Pokédex สำเร็จแล้ว คลิกที่นี่เพื่อเปิด,,图鉴,<centerBottomPanel;actionList;handbook>,,effect/shouyindao.skel,,,,,,,,,
