变量名,title,title_tw,title_en,title_vn,title_kr,title_pt,title_th,languages,showType,color,resBg,res,spineSize,type,sameId,kind,source,itemId,feature,rank,needNotice,alwaysDisplay,days,message,_message,message_tw,message_en,needNotice_vn,message_kr,message_pt,message_th,conditionDesc,conditionDesc_tw,conditionDesc_en,conditionDesc_kr,conditionDesc_vn,conditionDesc_pt,conditionDesc_th,condition1,conditionArg1_1,conditionArg1_2,conditionDesc2,condition2,conditionArg2_1,conditionArg2_2,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3
37,跨服战神,跨服戰神,Cross-server God of War,Thần chiến tranh Liên server,크로스 서버 전쟁의 신,Deus da Guerra Inter-servidor,เทพสงครามข้ามเซิร์ฟเวอร์,,spine,<92;153;112>,,title/kfjjc_kuafuzhanshen.skel,<254;104>,1,41,1,,,crossArena,1,,1,7,#C0xFF5B545B#【Cross-Server Arena ranked No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【跨服竞技场No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【跨服競技場No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#【Cross-Server Arena ranked No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,"#C0xFF5B545B#【Hạng 1 Đấu trường Liên server】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đi xin chữ ký của anh ấy đi～","#C0xFF5B545B#【크로스 서버 아레나 1위】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다, 어서 가서 사인을 받으세요~","#C0xFF5B545B#【Nº1 da Arena Inter-servidor】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# está online, vá pegar o autógrafo dele!～",#C0xFF5B545B#【อันดับ 1 อารีน่าข้ามเซิร์ฟเวอร์】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#ออนไลน์แล้ว รีบไปขอลายเซ็นเขากันเถอะ~,跨服竞技场第一（赛季中每日22:00结算时、季终结算时）,跨服競技場第一（賽季中每日22:00結算時、季終結算時）,"Cross-server Arena No.1 (at daily settlement 22:00 during the season, and at season-end settlement)",크로스 서버 아레나 1위 (시즌 중 매일 22:00 정산 및 시즌 종료 시),"Hạng 1 Đấu trường Liên server (tổng kết lúc 22:00 hàng ngày trong mùa giải, và tổng kết cuối mùa)",1º lugar na Arena Inter-servidor (no acerto diário às 22:00 durante a temporada e no acerto final da temporada),อันดับ 1 อารีน่าข้ามเซิร์ฟเวอร์ (สรุปผลเวลา 22:00 ทุกวันในช่วงฤดูกาล และตอนสรุปผลสิ้นสุดฤดูกาล),,,,,,,,0,14,100,0,0,,0,0,
38,超强勇者,超強勇者,Super Strong Hero,Dũng sĩ siêu cường,초강력 용사,Herói Super Forte,ผู้กล้าสุดแกร่ง,,spine,<92;153;112>,,title/kfjjc_chaoqiangyongzhe.skel,<254;104>,1,42,1,,,crossArena,2,,1,7,#C0xFF5B545B#【Cross-Server Arena ranked No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【跨服竞技场No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【跨服競技場No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#【Cross-Server Arena ranked No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,"#C0xFF5B545B#【Hạng 2 Đấu trường Liên server】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đi xin chữ ký của anh ấy đi～","#C0xFF5B545B#【크로스 서버 아레나 2위】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다, 어서 가서 사인을 받으세요~","#C0xFF5B545B#【Nº2 da Arena Inter-servidor】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# está online, vá pegar o autógrafo dele!～",#C0xFF5B545B#【อันดับ 2 อารีน่าข้ามเซิร์ฟเวอร์】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#ออนไลน์แล้ว รีบไปขอลายเซ็นเขากันเถอะ~,跨服竞技场第二（赛季中每日22:00结算时、季终结算时）,跨服競技場第二（賽季中每日22:00結算時、季終結算時）,"Cross-server Arena No.2 (at daily settlement 22:00 during the season, and at season-end settlement)",크로스 서버 아레나 2위 (시즌 중 매일 22:00 정산 및 시즌 종료 시),"Hạng 2 Đấu trường Liên server (tổng kết lúc 22:00 hàng ngày trong mùa giải, và tổng kết cuối mùa)",2º lugar na Arena Inter-servidor (no acerto diário às 22:00 durante a temporada e no acerto final da temporada),อันดับ 2 อารีน่าข้ามเซิร์ฟเวอร์ (สรุปผลเวลา 22:00 ทุกวันในช่วงฤดูกาล และตอนสรุปผลสิ้นสุดฤดูกาล),,,,,,,,0,14,100,0,0,,0,0,
39,英勇斗士,英勇鬥士,Valiant Warrior,Đấu sĩ anh dũng,용맹한 투사,Guerreiro Valente,นักสู้ผู้กล้าหาญ,,spine,<92;153;112>,,title/kfjjc_yingyongdoushi.skel,<254;104>,1,43,1,,,crossArena,3,,1,7,#C0xFF5B545B#【Cross-Server Arena ranked No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【跨服竞技场No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【跨服競技場No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#【Cross-Server Arena ranked No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,"#C0xFF5B545B#【Hạng 3 Đấu trường Liên server】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đi xin chữ ký của anh ấy đi～","#C0xFF5B545B#【크로스 서버 아레나 3위】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다, 어서 가서 사인을 받으세요~","#C0xFF5B545B#【Nº3 da Arena Inter-servidor】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# está online, vá pegar o autógrafo dele!～",#C0xFF5B545B#【อันดับ 3 อารีน่าข้ามเซิร์ฟเวอร์】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#ออนไลน์แล้ว รีบไปขอลายเซ็นเขากันเถอะ~,跨服竞技场第三（赛季中每日22:00结算时、季终结算时）,跨服競技場第三（賽季中每日22:00結算時、季終結算時）,"Cross-server Arena No.3 (at daily settlement 22:00 during the season, and at season-end settlement)",크로스 서버 아레나 3위 (시즌 중 매일 22:00 정산 및 시즌 종료 시),"Hạng 3 Đấu trường Liên server (tổng kết lúc 22:00 hàng ngày trong mùa giải, và tổng kết cuối mùa)",3º lugar na Arena Inter-servidor (no acerto diário às 22:00 durante a temporada e no acerto final da temporada),อันดับ 3 อารีน่าข้ามเซิร์ฟเวอร์ (สรุปผลเวลา 22:00 ทุกวันในช่วงฤดูกาล และตอนสรุปผลสิ้นสุดฤดูกาล),,,,,,,,0,14,100,0,0,,0,0,
40,石英霸主,石英霸主,Indigo Overlord,Bá chủ Cao nguyên Chàm,석영의 패자,Senhor do Planalto Índigo,จ้าวแห่งที่ราบสูงอินดิโก,,spine,<92;153;112>,,title/shiyingbazhu.skel,<254;104>,1,,1,,,crossCraft,1,,1,7,#C0xFF5B545B#【Global Indigo Conference ranked No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【跨服石英大会No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【跨服石英大會No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#【Global Indigo Conference ranked No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,"#C0xFF5B545B#【Hạng 1 Hội nghị Cao nguyên Chàm Liên server】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đi xin chữ ký của anh ấy đi～","#C0xFF5B545B#【크로스 서버 석영 대회 1위】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다, 어서 가서 사인을 받으세요~","#C0xFF5B545B#【Nº1 da Conferência do Planalto Índigo Inter-servidor】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# está online, vá pegar o autógrafo dele!～",#C0xFF5B545B#【อันดับ 1 การประชุมที่ราบสูงอินดิโกข้ามเซิร์ฟเวอร์】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#ออนไลน์แล้ว รีบไปขอลายเซ็นเขากันเถอะ~,跨服石英大会第一（结算时获取，有效期内未能维持本服第一则称号提前失效）,跨服石英第一（每賽季季終結算時）,"Cross-server Indigo Plateau Conference No.1 (obtained at settlement, title expires early if fails to maintain No.1 on the server within the validity period)","크로스 서버 석영 대회 1위 (정산 시 획득, 유효 기간 내 서버 1위 유지 못할 시 칭호 조기 만료)","Hạng 1 Hội nghị Cao nguyên Chàm Liên server (nhận khi tổng kết, danh hiệu sẽ hết hạn sớm nếu không duy trì được hạng 1 server trong thời gian hiệu lực)","1º lugar na Conferência do Planalto Índigo Inter-servidor (obtido no acerto, o título expira antecipadamente se não conseguir manter o 1º lugar no servidor durante o período de validade)","อันดับ 1 การประชุมที่ราบสูงอินดิโกข้ามเซิร์ฟเวอร์ (ได้รับเมื่อสรุปผล, ฉายาจะหมดอายุก่อนกำหนดหากไม่สามารถรักษาอันดับ 1 ของเซิร์ฟเวอร์ได้ภายในระยะเวลาที่กำหนด)",,,,,,,,0,15,200,0,0,,0,0,
41,跨服战神,跨服戰神,Cross-server God of War,Thần chiến tranh Liên server,크로스 서버 전쟁의 신,Deus da Guerra Inter-servidor,เทพสงครามข้ามเซิร์ฟเวอร์,,spine,<92;153;112>,,title/kfjjc_kuafuzhanshen.skel,<254;104>,1,,1,,,crossArenaDaily,1,,1,1,#C0xFF5B545B#【Cross-Server Arena ranked No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【跨服竞技场No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【跨服競技場No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#【Cross-Server Arena ranked No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,"#C0xFF5B545B#【Hạng 1 Đấu trường Liên server】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đi xin chữ ký của anh ấy đi～","#C0xFF5B545B#【크로스 서버 아레나 1위】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다, 어서 가서 사인을 받으세요~","#C0xFF5B545B#【Nº1 da Arena Inter-servidor】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# está online, vá pegar o autógrafo dele!～",#C0xFF5B545B#【อันดับ 1 อารีน่าข้ามเซิร์ฟเวอร์】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#ออนไลน์แล้ว รีบไปขอลายเซ็นเขากันเถอะ~,跨服竞技场第一（赛季中每日22:00结算时、季终结算时）,跨服競技場第一（賽季中每日22:00結算時、季終結算時）,"Cross-server Arena No.1 (at daily settlement 22:00 during the season, and at season-end settlement)",크로스 서버 아레나 1위 (시즌 중 매일 22:00 정산 및 시즌 종료 시),"Hạng 1 Đấu trường Liên server (tổng kết lúc 22:00 hàng ngày trong mùa giải, và tổng kết cuối mùa)",1º lugar na Arena Inter-servidor (no acerto diário às 22:00 durante a temporada e no acerto final da temporada),อันดับ 1 อารีน่าข้ามเซิร์ฟเวอร์ (สรุปผลเวลา 22:00 ทุกวันในช่วงฤดูกาล และตอนสรุปผลสิ้นสุดฤดูกาล),,,,,,,,0,14,100,0,0,,0,0,
42,超强勇者,超強勇者,Super Strong Hero,Dũng sĩ siêu cường,초강력 용사,Herói Super Forte,ผู้กล้าสุดแกร่ง,,spine,<92;153;112>,,title/kfjjc_chaoqiangyongzhe.skel,<254;104>,1,,1,,,crossArenaDaily,2,,1,1,#C0xFF5B545B#【Cross-Server Arena ranked No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【跨服竞技场No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【跨服競技場No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#【Cross-Server Arena ranked No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,"#C0xFF5B545B#【Hạng 2 Đấu trường Liên server】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đi xin chữ ký của anh ấy đi～","#C0xFF5B545B#【크로스 서버 아레나 2위】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다, 어서 가서 사인을 받으세요~","#C0xFF5B545B#【Nº2 da Arena Inter-servidor】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# está online, vá pegar o autógrafo dele!～",#C0xFF5B545B#【อันดับ 2 อารีน่าข้ามเซิร์ฟเวอร์】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#ออนไลน์แล้ว รีบไปขอลายเซ็นเขากันเถอะ~,跨服竞技场第二（赛季中每日22:00结算时、季终结算时）,跨服競技場第二（賽季中每日22:00結算時、季終結算時）,"Cross-server Arena No.2 (at daily settlement 22:00 during the season, and at season-end settlement)",크로스 서버 아레나 2위 (시즌 중 매일 22:00 정산 및 시즌 종료 시),"Hạng 2 Đấu trường Liên server (tổng kết lúc 22:00 hàng ngày trong mùa giải, và tổng kết cuối mùa)",2º lugar na Arena Inter-servidor (no acerto diário às 22:00 durante a temporada e no acerto final da temporada),อันดับ 2 อารีน่าข้ามเซิร์ฟเวอร์ (สรุปผลเวลา 22:00 ทุกวันในช่วงฤดูกาล และตอนสรุปผลสิ้นสุดฤดูกาล),,,,,,,,0,14,100,0,0,,0,0,
43,英勇斗士,英勇鬥士,Valiant Warrior,Đ斗 sĩ anh dũng,용맹한 투사,Guerreiro Valente,นักสู้ผู้กล้าหาญ,,spine,<92;153;112>,,title/kfjjc_yingyongdoushi.skel,<254;104>,1,,1,,,crossArenaDaily,3,,1,1,#C0xFF5B545B#【Cross-Server Arena ranked No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【跨服竞技场No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【跨服競技場No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#【Cross-Server Arena ranked No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,"#C0xFF5B545B#【Hạng 3 Đấu trường Liên server】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đi xin chữ ký của anh ấy đi～","#C0xFF5B545B#【크로스 서버 아레나 3위】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다, 어서 가서 사인을 받으세요~","#C0xFF5B545B#【Nº3 da Arena Inter-servidor】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# está online, vá pegar o autógrafo dele!～",#C0xFF5B545B#【อันดับ 3 อารีน่าข้ามเซิร์ฟเวอร์】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#ออนไลน์แล้ว รีบไปขอลายเซ็นเขากันเถอะ~,跨服竞技场第三（赛季中每日22:00结算时、季终结算时）,跨服競技場第三（賽季中每日22:00結算時、季終結算時）,"Cross-server Arena No.3 (at daily settlement 22:00 during the season, and at season-end settlement)",크로스 서버 아레나 3위 (시즌 중 매일 22:00 정산 및 시즌 종료 시),"Hạng 3 Đấu trường Liên server (tổng kết lúc 22:00 hàng ngày trong mùa giải, và tổng kết cuối mùa)",3º lugar na Arena Inter-servidor (no acerto diário às 22:00 durante a temporada e no acerto final da temporada),อันดับ 3 อารีน่าข้ามเซิร์ฟเวอร์ (สรุปผลเวลา 22:00 ทุกวันในช่วงฤดูกาล และตอนสรุปผลสิ้นสุดฤดูกาล),,,,,,,,0,14,100,0,0,,0,0,
44,荣誉馆主,榮譽館主,Honorary Gym Leader,Thủ lĩnh Nhà thi đấu Danh dự,명예 관장,Líder de Ginásio Honorário,หัวหน้ายิมกิตติมศักดิ์,,spine,<92;153;112>,,title/rongyuguanzhu.skel,<254;104>,1,,1,,,gym,1,,1,7,#C0xFF5B545B#【Gym Honor Leader】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【道馆荣誉馆主】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【道馆荣誉馆主】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【Gym Honor Leader】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,"#C0xFF5B545B#【Thủ lĩnh Nhà thi đấu Danh dự】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đi xin chữ ký của anh ấy đi～","#C0xFF5B545B#【명예 체육관 관장】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다, 어서 가서 사인을 받으세요~","#C0xFF5B545B#【Líder de Ginásio Honorário】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# está online, vá pegar o autógrafo dele!～",#C0xFF5B545B#【หัวหน้ายิมกิตติมศักดิ์】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#ออนไลน์แล้ว รีบไปขอลายเซ็นเขากันเถอะ~,道馆荣誉馆主（周日21:45点结算）,道館榮譽館主（結算獲得）,Honorary Gym Leader (settled at 21:45 on Sunday),명예 체육관 관장 (일요일 21:45 정산),Thủ lĩnh Nhà thi đấu Danh dự (tổng kết lúc 21:45 Chủ nhật),Líder de Ginásio Honorário (acerto às 21:45 de domingo),หัวหน้ายิมกิตติมศักดิ์ (สรุปผลวันอาทิตย์ 21:45),,,,,,,,0,14,100,0,0,,0,0,
45,跨服荣誉馆主,跨服榮譽館主,Cross-server Honorary Gym Leader,Thủ lĩnh Nhà thi đấu Danh dự Liên server,크로스 서버 명예 관장,Líder de Ginásio Honorário Inter-servidor,หัวหน้ายิมกิตติมศักดิ์ข้ามเซิร์ฟเวอร์,,spine,<92;153;112>,,title/kuafurongyuguanzhu.skel,<332;104>,1,,1,,,crossGym,1,,1,7,#C0xFF5B545B#【Global Gym Honor Leader】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【跨服道馆荣誉馆主】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【跨服道馆荣誉馆主】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【Global Gym Honor Leader】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,"#C0xFF5B545B#【Thủ lĩnh Nhà thi đấu Danh dự Liên server】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đi xin chữ ký của anh ấy đi～","#C0xFF5B545B#【크로스 서버 명예 체육관 관장】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다, 어서 가서 사인을 받으세요~","#C0xFF5B545B#【Líder de Ginásio Honorário Inter-servidor】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# está online, vá pegar o autógrafo dele!～",#C0xFF5B545B#【หัวหน้ายิมกิตติมศักดิ์ข้ามเซิร์ฟเวอร์】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#ออนไลน์แล้ว รีบไปขอลายเซ็นเขากันเถอะ~,跨服道馆荣誉馆主（周日21:45点结算）,道館榮譽館主（結算獲得）,Cross-server Honorary Gym Leader (settled at 21:45 on Sunday),크로스 서버 명예 체육관 관장 (일요일 21:45 정산),Thủ lĩnh Nhà thi đấu Danh dự Liên server (tổng kết lúc 21:45 Chủ nhật),Líder de Ginásio Honorário Inter-servidor (acerto às 21:45 de domingo),หัวหน้ายิมกิตติมศักดิ์ข้ามเซิร์ฟเวอร์ (สรุปผลวันอาทิตย์ 21:45),,,,,,,,0,14,100,0,0,,0,0,
46,垂钓圣者,垂釣聖者,Fishing Saint,Thánh câu cá,낚시의 성자,Santo da Pesca,นักบุญแห่งการตกปลา,,spine,<92;153;112>,,title/chuidiaoshengzhe.skel,<254;104>,1,,1,,,crossFishing,1,,1,14,,,,,,,,,钓鱼大赛结算时第1名获得,釣魚大賽結算時第1名獲得,Obtained by ranking 1st at Fishing Tournament settlement,낚시 대회 정산 시 1위 획득,Nhận khi đạt hạng 1 tại tổng kết Giải câu cá,Obtido ao ficar em 1º lugar no acerto do Torneio de Pesca,ได้รับเมื่อได้อันดับที่ 1 ในการสรุปผลการแข่งขันตกปลา,,,,,,,,0,16,100,0,0,,0,0,
47,垂钓大师,垂釣大師,Fishing Master,Đại sư câu cá,낚시의 대가,Mestre da Pesca,ปรมาจารย์การตกปลา,,spine,<92;153;112>,,title/chuidiaodashi.skel,<254;104>,1,,1,,,crossFishing,2,,1,14,,,,,,,,,钓鱼大赛结算时第2名获得,釣魚大賽結算時第2名獲得,Obtained by ranking 2nd at Fishing Tournament settlement,낚시 대회 정산 시 2위 획득,Nhận khi đạt hạng 2 tại tổng kết Giải câu cá,Obtido ao ficar em 2º lugar no acerto do Torneio de Pesca,ได้รับเมื่อได้อันดับที่ 2 ในการสรุปผลการแข่งขันตกปลา,,,,,,,,0,16,100,0,0,,0,0,
48,垂钓能手,垂釣能手,Skilled Angler,Tay câu cừ khôi,낚시의 고수,Pescador Habilidoso,นักตกปลามือฉมัง,,spine,<92;153;112>,,title/chuidiaonengshou.skel,<254;104>,1,,1,,,crossFishing,3,,1,14,,,,,,,,,钓鱼大赛结算时第3名获得,釣魚大賽結算時第3名獲得,Obtained by ranking 3rd at Fishing Tournament settlement,낚시 대회 정산 시 3위 획득,Nhận khi đạt hạng 3 tại tổng kết Giải câu cá,Obtido ao ficar em 3º lugar no acerto do Torneio de Pesca,ได้รับเมื่อได้อันดับที่ 3 ในการสรุปผลการแข่งขันตกปลา,,,,,,,,0,16,100,0,0,,0,0,
49,对决之神,對決之神,God of Dueling,Thần đối quyết,대결의 신,Deus do Duelo,เทพแห่งการดวล,,spine,<92;153;112>,,title/ch_djzs.skel,<254;104>,1,,1,,,onlineFightUnlimited,1,,1,7,"#C0xFF5B545B#[PVP Arena Unlimited Mode No.1]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online now, go ask for a autograph!",#C0xFF5B545B#【对战竞技场无限制模式No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧！,#C0xFF5B545B#【對戰競技場無限制模式No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧！,"#C0xFF5B545B#[PVP Arena Unlimited Mode No.1]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online now, go ask for a autograph!","#C0xFF5B545B#【Hạng 1 Chế độ Không giới hạn Đấu trường Giao đấu】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# đã online, mau đi xin chữ ký của anh ấy đi!","#C0xFF5B545B#【배틀 아레나 무제한 모드 1위】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다, 어서 가서 사인을 받으세요!","#C0xFF5B545B#【Nº1 do Modo Ilimitado da Arena de Batalha】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# está online, vá pegar o autógrafo dele!",#C0xFF5B545B#【อันดับ 1 โหมดไม่จำกัดของอารีน่าต่อสู้】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#ออนไลน์แล้ว รีบไปขอลายเซ็นเขากันเถอะ!,周结算、赛季结算时处于无限制赛模式第1名时获得,周結算、賽季結算時處於無限制賽模式第1名時獲得,Obtained by ranking 1st in Unlimited Mode at weekly and seasonal settlement,주간 및 시즌 정산 시 무제한 모드 1위 획득,Nhận khi đạt hạng 1 trong Chế độ Không giới hạn tại tổng kết tuần và mùa giải,Obtido ao ficar em 1º lugar no Modo Ilimitado nos acertos semanais e de temporada,ได้รับเมื่อได้อันดับที่ 1 ในโหมดไม่จำกัดในการสรุปผลรายสัปดาห์และตามฤดูกาล,,,,,,,,0,16,100,0,0,,0,0,
